panel,book,arm,k,phase,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b
broad,EWALL,NODIAL,5,0,1.150996199540983,0.13886660259136696,1.1014035479033835,-0.25373161074655326,False,False
broad,EWALL,REC,2,0,1.1519748447892975,0.13905087973119623,1.0978054314994392,-0.254952151182141,False,False
broad,EWALL,SEL-CP,21,4,1.1534278192610847,0.1389314920840039,1.1122106030287098,-0.24956313261786012,False,False
broad,EWALL,PH-AVG,5,0,1.150996199540983,0.13886660259136696,1.1014035479033835,-0.25373161074655326,False,False
broad,RULESv2,NODIAL,5,0,1.0693505917089905,0.08327545281344273,1.155065137041133,-0.12226233930350261,False,False
broad,RULESv2,REC,2,0,1.069966725279892,0.08093008033247862,1.154635095142037,-0.10997181785782018,False,False
broad,RULESv2,SEL-CP,30,24,1.1577320276110854,0.07609302624216241,0.8976805643828172,-0.20985910096917637,False,False
broad,RULESv2,PH-AVG,10,0,1.0652365808135222,0.08541769022582235,1.1681724718770325,-0.12542050280384387,False,False
broad,TOP20,NODIAL,5,0,1.0740205822489604,0.14829239212655643,0.9280934157971191,-0.25948128034953377,False,False
broad,TOP20,REC,63,0,1.2390376034595674,0.16047277736600596,0.9119023940030158,-0.2698844664680604,False,False
broad,TOP20,SEL-CP,30,24,1.3493950352122173,0.14670536965301517,0.8872144630622005,-0.2623110460141267,False,False
broad,TOP20,PH-AVG,63,0,1.2390376034595674,0.16047277736600596,0.9119023940030158,-0.2698844664680604,False,False
small,EWALL,NODIAL,5,0,0.775915042076116,0.1007234077936554,0.6365416739585118,-0.36265381065735136,False,False
small,EWALL,REC,1,0,0.8207477811743862,0.10406749442175323,0.6501775918167277,-0.363478762013386,False,False
small,EWALL,SEL-CP,1,0,0.8207477811743862,0.10406749442175323,0.6501775918167277,-0.363478762013386,False,False
small,EWALL,PH-AVG,1,0,0.8207477811743862,0.10406749442175323,0.6501775918167277,-0.363478762013386,False,False
small,RULESv2,NODIAL,5,0,0.6024440520024676,0.03977800284409039,0.5818141301489528,-0.14916310162951285,False,False
small,RULESv2,REC,63,0,0.6375491315649909,0.03951732750795789,0.5287163472313388,-0.21695489514619115,False,False
small,RULESv2,SEL-CP,21,17,0.7172899978038086,0.04127464777665879,0.593526438989305,-0.1563468175065772,False,False
small,RULESv2,PH-AVG,30,0,0.6248859213038813,0.036410041782231506,0.5048679276708616,-0.2107582845068151,False,False
small,TOP20,NODIAL,5,0,0.7646270819093055,0.1490870554834074,0.7216467320483562,-0.3092331027534473,False,False
small,TOP20,REC,30,0,0.7856190529122449,0.13302166784677882,0.650600298023911,-0.3705917203263749,False,False
small,TOP20,SEL-CP,5,4,0.8503414607555164,0.1613506454680984,0.7701016126446575,-0.3343504967009122,False,False
small,TOP20,PH-AVG,10,0,0.7786071863860214,0.16086002554337742,0.7604792673979889,-0.330555497506291,False,False
u56,EWALL,NODIAL,5,0,1.1152868127514632,0.1381791624796853,1.1388433567938807,-0.22531004225602003,False,False
u56,EWALL,REC,63,0,1.1309164038378077,0.1398808279929209,1.1657343315629012,-0.21698849212500326,False,False
u56,EWALL,SEL-CP,63,38,1.1387267442184508,0.13624607035195457,1.1358198876333665,-0.22403131931267584,False,False
u56,EWALL,PH-AVG,63,0,1.1309164038378077,0.1398808279929209,1.1657343315629012,-0.21698849212500326,False,False
u56,RULESv2,NODIAL,5,0,1.091866687668418,0.09634416173965143,1.2903651639774993,-0.12061026871956726,False,False
u56,RULESv2,REC,5,0,1.091866687668418,0.09634416173965143,1.2903651639774993,-0.12061026871956726,False,False
u56,RULESv2,SEL-CP,30,24,1.1766682003898483,0.09204964135450022,1.093205874127091,-0.18284879981979574,False,False
u56,RULESv2,PH-AVG,10,0,1.0710922762445783,0.09785344668161144,1.296530212239547,-0.12147968859952107,False,False
u56,TOP20,NODIAL,5,0,1.1745893831354184,0.17614374476323813,1.2170019454281855,-0.22196648551289144,False,False
u56,TOP20,REC,21,0,1.2452707075123386,0.16815545333907744,1.143749130818586,-0.23634716774557352,False,False
u56,TOP20,SEL-CP,63,50,1.2579125221201413,0.17304768302092888,1.0951446815535126,-0.2709413143883238,False,False
u56,TOP20,PH-AVG,63,0,1.1950360473365014,0.15569700071878678,1.0126425538523425,-0.2719211554686298,False,False
