panel,cost,scope,dials,chooser,cell,cadence,band,gross,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_full,keep4b_oos,keep4a_full,keep4a_oos,oos_rank,n_cells,turn_yr
B136,10,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_SHARPE,b0.08_g1.00_W,W,0.08,1.0,0.1097976270130907,1.0920752045528088,-0.19499212250678077,True,True,False,False,60,100,1.617539830236584
B136,10,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_CALMAR,b0.00_g1.00_M,M,0.0,1.0,0.10942397214463795,1.1373594801839086,-0.16079975991819306,True,True,False,False,11,100,2.1129734067676904
B136,10,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_MINMARG,b0.00_g1.00_M,M,0.0,1.0,0.10942397214463795,1.1373594801839086,-0.16079975991819306,True,True,False,False,11,100,2.1129734067676904
B136,10,BAND_x_GROSS_x_CADENCE,0 dials,MAXGROSS_W,b0.03_g1.00_W,W,0.03,1.0,0.10473004292318344,1.1006130604666327,-0.16158091944280473,True,False,False,False,55,100,2.6663752770669493
B136,10,BAND_x_GROSS_x_CADENCE,0 dials (expectation),RANDCELL,mean-over-scope,-,,,0.07905581184331036,1.1011377239994902,-0.13335144265955473,False,False,False,False,50,100,2.1061808688181354
B136,25,CADENCE_x_GROSS@live_band,2 dials,IS_SHARPE,b0.03_g1.00_M,M,0.03,1.0,0.10654212596718837,1.0517391081666978,-0.2054252509093486,False,False,False,False,16,20,1.8454538268563285
B136,25,CADENCE_x_GROSS@live_band,2 dials,IS_CALMAR,b0.03_g1.00_M,M,0.03,1.0,0.10654212596718837,1.0517391081666978,-0.2054252509093486,False,False,False,False,16,20,1.8454538268563285
B136,25,CADENCE_x_GROSS@live_band,2 dials,IS_MINMARG,b0.03_g1.00_M,M,0.03,1.0,0.10654212596718837,1.0517391081666978,-0.2054252509093486,False,False,False,False,16,20,1.8454538268563285
B136,25,CADENCE_x_GROSS@live_band,0 dials,MAXGROSS_W,b0.03_g1.00_W,W,0.03,1.0,0.10011623648394741,1.056323334346681,-0.16214332877286775,False,False,False,False,15,20,2.6663752770669493
B136,25,CADENCE_x_GROSS@live_band,0 dials (expectation),RANDCELL,mean-over-scope,-,,,0.07564078189139736,1.0655618795737336,-0.12779104204271152,False,False,False,False,10,20,1.9402986337959156
B136,25,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_SHARPE,b0.08_g1.00_W,W,0.08,1.0,0.10692303480271548,1.065988937916227,-0.19528446290347024,True,True,False,False,36,100,1.617539830236584
B136,25,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_CALMAR,b0.00_g1.00_M,M,0.0,1.0,0.10572293332175775,1.1024940607514793,-0.16144759495288996,True,False,False,False,11,100,2.1129734067676904
B136,25,BAND_x_GROSS_x_CADENCE,3 dials (control),IS_MINMARG,b0.00_g1.00_M,M,0.0,1.0,0.10572293332175775,1.1024940607514793,-0.16144759495288996,True,False,False,False,11,100,2.1129734067676904
B136,25,BAND_x_GROSS_x_CADENCE,0 dials,MAXGROSS_W,b0.03_g1.00_W,W,0.03,1.0,0.10011623648394741,1.056323334346681,-0.16214332877286775,False,False,False,False,55,100,2.6663752770669493
B136,25,BAND_x_GROSS_x_CADENCE,0 dials (expectation),RANDCELL,mean-over-scope,-,,,0.07548405132100322,1.0536568818435255,-0.13397031939691345,False,False,False,False,50,100,2.1061808688181354
