panel,volfilter,family,cost,arm,gross,TO,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Calmar,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,pass4b_phi70,pass4b_phi00,bind,adm_S0,adm_S1,adm_S2,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
u56,False,F_GROSS,10.0,gross=0.25,0.2502616944520658,1.4826186159529928,0.04045791930697051,1.1605116711590213,-0.061463791943506596,1.2088618723555595,1.1288725569055928,0.03598213357988844,1.1072471843134066,-0.033405598412503346,1.0771288433623967,0.9323172567536834,1.3223994266586294,0.044166106458313426,1.2028385080874242,-0.061463791943506374,0.2522419729825205,0.2948569151409324,0.32082780710316827,0.14083961975688317,-0.06613839559899586,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=0.375,0.37532286151113237,2.205559508366546,0.06084447920817926,1.1606598290900172,-0.09128358653580915,1.2092784149225448,1.1288465028821242,0.054067642490575496,1.1076423311902448,-0.050013665021924836,1.081057396351047,0.9323378662895834,1.3231715997371425,0.06646984328474059,1.202811847997806,-0.09128358653580904,0.2526585155495058,0.2948308611174637,0.3208011470135501,0.11101982516458062,-0.04575183569778711,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=0.5,0.5003398418012339,2.917741645463735,0.08132138211536621,1.1607797154041828,-0.12050126500978209,1.2096712739038962,1.1287912232167523,0.07220409856226517,1.1080148684179612,-0.0665518702022716,1.0849296697871107,0.9323329973058612,1.3239245905845907,0.0889037502317005,1.2027532382764463,-0.12050126500978187,0.25305137453085713,0.2947755814520918,0.3207425372921904,0.08180214669060767,-0.025274932790600155,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=0.625,0.625314337846767,3.6204315288472895,0.10187687156270364,1.1608694958257941,-0.1491212197342806,1.2100356657770466,1.1287074836219124,0.09038174576281,1.1083603911865012,-0.08301515988524033,1.0887378388206828,0.932300553521855,1.3246512654329143,0.11145439964495396,1.202662765591554,-0.1491212197342806,0.25341576640400754,0.29469184185725195,0.3206520646072981,0.053182191966109155,-0.0047194433432627275,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=0.75,0.75024805537126,4.315175066455967,0.12249842688666623,1.160925914392848,-0.17714792247155398,1.2103690021526505,1.1285915864584881,0.1085903467302003,1.108675801744624,-0.09939895264774079,1.0924697276744235,0.9322376129678137,1.325348243190484,0.13410734169971894,1.2025370886607483,-0.17714792247155398,0.2537491027796115,0.29457594469382764,0.32052638767649233,0.025155489228835787,0.015902111980699865,True,True,CAGR,True,True,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=0.875,0.8751427043316347,5.00340278435555,0.14317318546315327,1.1609485500815582,-0.2045859897523452,1.2106698404964031,1.128444195662942,0.12681934473474654,1.108960158402895,-0.11569836307848314,1.0961204753495049,0.9321429534301362,1.3260147660841954,0.15684774424028203,1.20237622289386,-0.20458598975234488,0.2540499411233641,0.2944285538982816,0.320365521909604,-0.0022825780519554473,0.036576870557186905,False,False,DD,True,True,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,10.0,gross=1.0,1.0,5.68645708169075,0.16388792303199784,1.1609378161468453,-0.2314400588490756,1.2109376572349193,1.1282667009099814,0.1450579227364317,1.109213268132358,-0.13190909885055602,1.0996809469585749,0.9320150006639546,1.3266523095326268,0.1796603072671039,1.2021810790705847,-0.23144005884907537,0.25431775786188027,0.2942510591453209,0.32017037808632876,-0.02913664714868583,0.05729160812603147,False,False,DD,True,True,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,25.0,gross=0.25,0.2502616944520658,1.4826186159529928,0.03814606597588388,1.0956686714792725,-0.06212426342344257,1.141877635129641,1.0653588493308284,0.03368063462362536,1.0380412864416706,-0.03563903238805688,0.945049075880977,0.8549456379765552,1.2621392346671256,0.041845673193777744,1.1410111797967695,-0.06212426342344257,0.18525773575660187,0.23134320756616789,0.25900047881251353,0.1401791482769472,-0.06845024893008249,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,25.0,gross=0.375,0.37532286151113237,2.205559508366546,0.057339396776725504,1.0963626003170528,-0.09224523295393416,1.142825511899964,1.0658925857671948,0.05058428746039256,1.0389803515938842,-0.05329115025465958,0.9492061480877805,0.8555368384672758,1.2634327224152966,0.0629467284516847,1.1415312389252754,-0.09224523295393394,0.1862056125269249,0.23187694400253434,0.2595205379410195,0.1100581787464556,-0.049256918129240865,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
u56,False,F_GROSS,25.0,gross=0.5,0.5003398418012339,2.917741645463735,0.07659684211490303,1.0969971904020763,-0.12174580631128507,1.1437177233389235,1.0663664405708364,0.06751692524673558,1.0398652365620302,-0.07082703783069977,0.9532648451022834,0.8560692120978007,1.2646772219068785,0.0841481502465189,1.1419884476531137,-0.12174580631128529,0.18709782396588448,0.23235079880617593,0.25997774666885776,0.0805576053891047,-0.02999947279106334,False,True,CAGR,True,False,True,0.8820107009842559,0.15450723909089614,-0.33717235283398284
