panel,family,level,cad,con,gross,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,turn_yr,p4a,p4b
SMALL665,QUANTILE,0.2,W,RESPREAD,0.25,0.023773225473882942,0.5059525784390333,-0.141271229187917,0.4705476864323345,0.5447516840687704,0.42777560783990537,0.028159901578738156,0.5486017509756964,-0.14127122918791546,4.123162056511942,False,False
SMALL665,QUANTILE,0.2,W,DEGROSS,0.25,0.004906569666468963,0.5051801425615247,-0.029662264957213025,0.4678960285109944,0.545131885935673,0.4257317809870157,0.005806458134339332,0.5484114747450878,-0.029662264957214135,0.8315916718722265,False,False
SMALL665,QUANTILE,0.2,W,RESPREAD,0.5,0.04571707351688703,0.5064592910562126,-0.2670085862388939,0.4722876616646707,0.5444712330759278,0.4297521303271571,0.054168935521686556,0.5484272031347598,-0.2670085862388929,8.210694169712584,False,False
SMALL665,QUANTILE,0.2,W,DEGROSS,0.5,0.009745249845717341,0.5053087219143956,-0.05866198313576765,0.4682692552589093,0.5451021789374373,0.42615047037792075,0.011534433241235709,0.5484051723817731,-0.05866198313576676,1.6610676370521729,False,False
SMALL665,QUANTILE,0.2,W,RESPREAD,0.75,0.06564761973249511,0.5068357308153344,-0.37834412227175007,0.473926419320543,0.5440491883186924,0.4316372937000349,0.07776957125488138,0.5481048997369137,-0.3783441222717506,12.286953147682327,False,False
SMALL665,QUANTILE,0.2,W,DEGROSS,0.75,0.014514582564065792,0.5054328625396899,-0.08700833284061482,0.4686390375231766,0.5450676058150964,0.4265659604546741,0.017181897659635625,0.5483938529933065,-0.08700833284061604,2.4885862260112823,False,False
SMALL665,QUANTILE,0.2,W,RESPREAD,1.0,0.08338048592927616,0.5070808226547449,-0.4763955917707796,0.47546083141594203,0.543488000909163,0.4334241571591742,0.09870298013881507,0.5476372105869041,-0.47639559177078006,16.378714215712883,False,False
SMALL665,QUANTILE,0.2,W,DEGROSS,1.0,0.019213112889170825,0.5055526773627071,-0.11471046469771262,0.46900566028112733,0.5450281798677075,0.42697862259649366,0.02274681985377347,0.5483775132194463,-0.11471046469771373,3.3143038064158756,False,False
SMALL665,QUANTILE,0.2,M,RESPREAD,0.25,0.03194250948471544,0.6526356992206166,-0.13240151098736053,0.7490835840627014,0.6032837076473798,0.7390827547510257,0.032729039143205796,0.6185796839175903,-0.13240151098736108,1.9448476559433547,False,False
SMALL665,QUANTILE,0.2,M,DEGROSS,0.25,0.006498346021889478,0.6509274798797184,-0.027271973313809816,0.7453307036134819,0.6025387055121186,0.7333454321235091,0.0067010312544864,0.6185449292042244,-0.027271973313807818,0.39247234598848135,False,False
SMALL665,QUANTILE,0.2,M,RESPREAD,0.5,0.0626835685031466,0.6545875011224277,-0.2560867957026618,0.7528667327854307,0.6042902701808727,0.7439267088219557,0.06370045271715852,0.6192621027887989,-0.25608679570266035,3.86855451233341,False,False
SMALL665,QUANTILE,0.2,M,DEGROSS,0.5,0.012953477848466788,0.6513824562868716,-0.054196047901872935,0.746083773069626,0.6028040966966333,0.7343030735781059,0.013338363393160968,0.6187560290498715,-0.05419604790187471,0.7838031207927698,False,False
SMALL665,QUANTILE,0.2,M,RESPREAD,0.75,0.09205274476613567,0.6562969361150551,-0.37099687048380736,0.7566956536428134,0.6051078020861744,0.7488590784374914,0.09268599662577359,0.6196829627868518,-0.3709968704838066,5.781508528833682,False,False
SMALL665,QUANTILE,0.2,M,DEGROSS,0.75,0.01936413536223025,0.6518259949772544,-0.08077115305469584,0.7468382275702283,0.6030561992791778,0.7352638090261967,0.01991029521554366,0.618952473484019,-0.08077115305469718,1.174056094064047,False,False
SMALL665,QUANTILE,0.2,M,RESPREAD,1.0,0.11986735661790116,0.657801459760909,-0.47713106132804417,0.7605870678217266,0.6058742738174706,0.7539024929518859,0.11944169565485718,0.6199373366206737,-0.4771310613280444,7.694807641635778,False,False
