panel,family,constr,gross,cadence,n_q,n_DD,n_CAGR,n_BOTH,n_4b,n_4a,q_DD,q_CAGR,q_BOTH,q_gap
B136,MADIST,DEGROSS,0.75,M,9,9,1,1,1,2,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
B136,MADIST,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
B136,MADIST,DEGROSS,0.95,M,9,8,2,1,1,2,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
B136,MADIST,DEGROSS,0.95,W,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
B136,MADIST,DEGROSS,1.0,M,9,7,2,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,MADIST,DEGROSS,1.0,W,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
B136,MADIST,RESPREAD,0.75,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MADIST,RESPREAD,0.75,W,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
B136,MADIST,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MADIST,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MADIST,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MADIST,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MOM,DEGROSS,0.75,M,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,MOM,DEGROSS,0.75,W,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
B136,MOM,DEGROSS,0.95,M,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,MOM,DEGROSS,0.95,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,MOM,DEGROSS,1.0,M,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,MOM,DEGROSS,1.0,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,MOM,RESPREAD,0.75,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MOM,RESPREAD,0.75,W,10,1,10,1,1,0,1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,1,
B136,MOM,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MOM,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MOM,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,MOM,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,RAND,DEGROSS,0.75,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
B136,RAND,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
B136,RAND,DEGROSS,0.95,M,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,RAND,DEGROSS,0.95,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,RAND,DEGROSS,1.0,M,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,RAND,DEGROSS,1.0,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,RAND,RESPREAD,0.75,M,10,2,7,2,2,0,0.15;0.3,0.15;0.3;0.4;0.5;0.7;0.9;1,0.15;0.3,
B136,RAND,RESPREAD,0.75,W,10,3,1,1,1,0,0.5;0.7;1,1,1,
B136,RAND,RESPREAD,0.95,M,10,0,8,0,0,0,,0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,RAND,RESPREAD,0.95,W,10,0,3,0,0,0,,0.7;0.9;1,,
B136,RAND,RESPREAD,1.0,M,10,0,9,0,0,0,,0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,RAND,RESPREAD,1.0,W,10,0,3,0,0,0,,0.7;0.9;1,,
B136,VOLHI,DEGROSS,0.75,M,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,VOLHI,DEGROSS,0.75,W,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
B136,VOLHI,DEGROSS,0.95,M,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,VOLHI,DEGROSS,0.95,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,VOLHI,DEGROSS,1.0,M,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,VOLHI,DEGROSS,1.0,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
B136,VOLHI,RESPREAD,0.75,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,VOLHI,RESPREAD,0.75,W,10,1,10,1,1,0,1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,1,
B136,VOLHI,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,VOLHI,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,VOLHI,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,VOLHI,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
B136,VOLLO,DEGROSS,0.75,M,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
B136,VOLLO,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
B136,VOLLO,DEGROSS,0.95,M,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,VOLLO,DEGROSS,0.95,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,VOLLO,DEGROSS,1.0,M,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,VOLLO,DEGROSS,1.0,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
B136,VOLLO,RESPREAD,0.75,M,10,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.9;1,,0.4
B136,VOLLO,RESPREAD,0.75,W,10,10,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,1,1,
B136,VOLLO,RESPREAD,0.95,M,10,4,4,0,0,0,0.05;0.15;0.2;0.3,0.5;0.7;0.9;1,,0.2
B136,VOLLO,RESPREAD,0.95,W,10,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.9;1,,0.4
B136,VOLLO,RESPREAD,1.0,M,10,3,5,0,0,0,0.05;0.15;0.2,0.4;0.5;0.7;0.9;1,,0.2
B136,VOLLO,RESPREAD,1.0,W,10,4,2,0,0,0,0.05;0.1;0.15;0.2,0.9;1,,0.7
SMALL,MADIST,DEGROSS,0.75,M,9,7,0,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,MADIST,DEGROSS,0.75,W,9,7,0,0,0,1,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,MADIST,DEGROSS,0.95,M,9,6,1,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4,0.9,,0.5
SMALL,MADIST,DEGROSS,0.95,W,9,6,0,0,0,1,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,MADIST,DEGROSS,1.0,M,9,6,1,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4,0.9,,0.5
SMALL,MADIST,DEGROSS,1.0,W,9,5,0,0,0,1,0.05;0.1;0.15;0.2;0.3,,,
SMALL,MADIST,RESPREAD,0.75,M,10,0,8,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,,
SMALL,MADIST,RESPREAD,0.75,W,10,0,4,0,0,0,,0.05;0.1;0.15;0.2,,
SMALL,MADIST,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,MADIST,RESPREAD,0.95,W,10,0,6,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.5,,
SMALL,MADIST,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,MADIST,RESPREAD,1.0,W,10,0,7,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,
SMALL,MOM,DEGROSS,0.75,M,9,7,0,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,MOM,DEGROSS,0.75,W,9,7,0,0,0,1,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,MOM,DEGROSS,0.95,M,9,6,1,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4,0.9,,0.5
SMALL,MOM,DEGROSS,0.95,W,9,6,0,0,0,1,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,MOM,DEGROSS,1.0,M,9,6,1,0,0,2,0.05;0.1;0.15;0.2;0.3;0.4,0.9,,0.5
SMALL,MOM,DEGROSS,1.0,W,9,6,0,0,0,1,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,MOM,RESPREAD,0.75,M,10,0,7,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,
SMALL,MOM,RESPREAD,0.75,W,10,0,4,0,0,0,,0.05;0.1;0.15;0.2,,
SMALL,MOM,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,MOM,RESPREAD,0.95,W,10,0,6,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4,,
SMALL,MOM,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,MOM,RESPREAD,1.0,W,10,0,7,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,
SMALL,RAND,DEGROSS,0.75,M,9,7,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,RAND,DEGROSS,0.75,W,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,RAND,DEGROSS,0.95,M,9,5,0,0,0,0,0.05;0.1;0.15;0.2;0.3,,,
SMALL,RAND,DEGROSS,0.95,W,9,4,0,0,0,0,0.05;0.1;0.15;0.2,,,
SMALL,RAND,DEGROSS,1.0,M,9,5,1,0,0,0,0.05;0.1;0.15;0.2;0.3,0.9,,0.6000000000000001
SMALL,RAND,DEGROSS,1.0,W,9,4,0,0,0,0,0.05;0.1;0.15;0.2,,,
SMALL,RAND,RESPREAD,0.75,M,10,0,0,0,0,0,,,,
SMALL,RAND,RESPREAD,0.75,W,10,0,0,0,0,0,,,,
SMALL,RAND,RESPREAD,0.95,M,10,0,4,0,0,0,,0.05;0.7;0.9;1,,
SMALL,RAND,RESPREAD,0.95,W,10,0,0,0,0,0,,,,
SMALL,RAND,RESPREAD,1.0,M,10,0,6,0,0,0,,0.05;0.1;0.5;0.7;0.9;1,,
SMALL,RAND,RESPREAD,1.0,W,10,0,0,0,0,0,,,,
SMALL,VOLHI,DEGROSS,0.75,M,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,VOLHI,DEGROSS,0.75,W,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,VOLHI,DEGROSS,0.95,M,9,5,1,0,0,0,0.05;0.1;0.15;0.2;0.3,0.9,,0.6000000000000001
SMALL,VOLHI,DEGROSS,0.95,W,9,5,0,0,0,0,0.05;0.1;0.15;0.2;0.3,,,
SMALL,VOLHI,DEGROSS,1.0,M,9,5,1,0,0,0,0.05;0.1;0.15;0.2;0.3,0.9,,0.6000000000000001
SMALL,VOLHI,DEGROSS,1.0,W,9,5,0,0,0,0,0.05;0.1;0.15;0.2;0.3,,,
SMALL,VOLHI,RESPREAD,0.75,M,10,0,5,0,0,0,,0.05;0.1;0.15;0.2;0.3,,
SMALL,VOLHI,RESPREAD,0.75,W,10,0,3,0,0,0,,0.05;0.1;0.15,,
SMALL,VOLHI,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,VOLHI,RESPREAD,0.95,W,10,0,4,0,0,0,,0.05;0.1;0.15;0.2,,
SMALL,VOLHI,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
SMALL,VOLHI,RESPREAD,1.0,W,10,0,4,0,0,0,,0.05;0.1;0.15;0.2,,
SMALL,VOLLO,DEGROSS,0.75,M,9,7,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,VOLLO,DEGROSS,0.75,W,9,7,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,,,
SMALL,VOLLO,DEGROSS,0.95,M,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,VOLLO,DEGROSS,0.95,W,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,VOLLO,DEGROSS,1.0,M,9,5,0,0,0,0,0.05;0.1;0.15;0.2;0.3,,,
SMALL,VOLLO,DEGROSS,1.0,W,9,6,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4,,,
SMALL,VOLLO,RESPREAD,0.75,M,10,0,0,0,0,0,,,,
SMALL,VOLLO,RESPREAD,0.75,W,10,0,0,0,0,0,,,,
SMALL,VOLLO,RESPREAD,0.95,M,10,0,2,0,0,0,,0.9;1,,
SMALL,VOLLO,RESPREAD,0.95,W,10,0,0,0,0,0,,,,
SMALL,VOLLO,RESPREAD,1.0,M,10,0,2,0,0,0,,0.9;1,,
SMALL,VOLLO,RESPREAD,1.0,W,10,0,0,0,0,0,,,,
U56,MADIST,DEGROSS,0.75,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,MADIST,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
U56,MADIST,DEGROSS,0.95,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MADIST,DEGROSS,0.95,W,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MADIST,DEGROSS,1.0,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MADIST,DEGROSS,1.0,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
U56,MADIST,RESPREAD,0.75,M,10,3,10,3,3,0,0.7;0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.7;0.9;1,
U56,MADIST,RESPREAD,0.75,W,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
U56,MADIST,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MADIST,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MADIST,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MADIST,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MOM,DEGROSS,0.75,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,MOM,DEGROSS,0.75,W,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,MOM,DEGROSS,0.95,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MOM,DEGROSS,0.95,W,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MOM,DEGROSS,1.0,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,MOM,DEGROSS,1.0,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
U56,MOM,RESPREAD,0.75,M,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
U56,MOM,RESPREAD,0.75,W,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
U56,MOM,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MOM,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MOM,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,MOM,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,RAND,DEGROSS,0.75,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,RAND,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
U56,RAND,DEGROSS,0.95,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,RAND,DEGROSS,0.95,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
U56,RAND,DEGROSS,1.0,M,9,8,2,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.7;0.9,0.7,
U56,RAND,DEGROSS,1.0,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
U56,RAND,RESPREAD,0.75,M,10,3,10,3,3,0,0.7;0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.7;0.9;1,
U56,RAND,RESPREAD,0.75,W,10,3,2,2,2,0,0.7;0.9;1,0.9;1,0.9;1,
U56,RAND,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,RAND,RESPREAD,0.95,W,10,0,3,0,0,0,,0.7;0.9;1,,
U56,RAND,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,RAND,RESPREAD,1.0,W,10,0,3,0,0,0,,0.7;0.9;1,,
U56,VOLHI,DEGROSS,0.75,M,9,9,2,2,2,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.7;0.9,0.7;0.9,
U56,VOLHI,DEGROSS,0.75,W,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,VOLHI,DEGROSS,0.95,M,9,7,3,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.5;0.7;0.9,0.5,
U56,VOLHI,DEGROSS,0.95,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
U56,VOLHI,DEGROSS,1.0,M,9,7,3,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.5;0.7;0.9,0.5,
U56,VOLHI,DEGROSS,1.0,W,9,7,2,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5,0.7;0.9,,0.19999999999999996
U56,VOLHI,RESPREAD,0.75,M,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
U56,VOLHI,RESPREAD,0.75,W,10,2,10,2,2,0,0.9;1,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,0.9;1,
U56,VOLHI,RESPREAD,0.95,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,VOLHI,RESPREAD,0.95,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,VOLHI,RESPREAD,1.0,M,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,VOLHI,RESPREAD,1.0,W,10,0,10,0,0,0,,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,,
U56,VOLLO,DEGROSS,0.75,M,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
U56,VOLLO,DEGROSS,0.75,W,9,9,0,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,,,
U56,VOLLO,DEGROSS,0.95,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,VOLLO,DEGROSS,0.95,W,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,VOLLO,DEGROSS,1.0,M,9,9,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9,0.9,0.9,
U56,VOLLO,DEGROSS,1.0,W,9,8,1,0,0,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7,0.9,,0.20000000000000007
U56,VOLLO,RESPREAD,0.75,M,10,9,2,2,2,0,0.05;0.1;0.15;0.3;0.4;0.5;0.7;0.9;1,0.9;1,0.9;1,
U56,VOLLO,RESPREAD,0.75,W,10,10,1,1,1,0,0.05;0.1;0.15;0.2;0.3;0.4;0.5;0.7;0.9;1,1,1,
U56,VOLLO,RESPREAD,0.95,M,10,6,3,1,1,0,0.05;0.1;0.3;0.4;0.5;0.7,0.7;0.9;1,0.7,
U56,VOLLO,RESPREAD,0.95,W,10,5,2,0,0,0,0.05;0.1;0.15;0.3;0.7,0.9;1,,0.20000000000000007
U56,VOLLO,RESPREAD,1.0,M,10,5,3,0,0,0,0.05;0.1;0.3;0.4;0.5,0.7;0.9;1,,0.19999999999999996
U56,VOLLO,RESPREAD,1.0,W,10,4,2,0,0,0,0.05;0.1;0.15;0.3,0.9;1,,0.6000000000000001
