diag,panel,H,a,b,delta_pp,se_pp,sigmas,decisive
D1_steps,B136,21,6,1.0,7.274791564024307,0.49610672427121816,14.663763275353688,True
D1_steps,B136,42,4,0.0,10.267238167151715,0.526340933040214,19.506820622608252,True
D1_steps,B136,52,4,1.0,6.970668618361553,0.4810097421260523,14.491741035329873,True
D1_steps,B136,63,7,0.0,10.871484836996403,0.45168682983842384,24.068633661258886,True
D1_steps,B136,76,6,0.0,9.101993959759458,0.4685591823919769,19.425494797250845,True
D1_steps,B136,90,4,0.0,5.999224883705012,0.4465029002277942,13.436026687943938,True
D1_steps,B136,126,5,1.0,3.8638365903854606,0.4983559622091512,7.753166177158882,True
D1_steps,U56,21,4,1.0,4.597793198313738,0.5020562058306545,9.15792523808498,True
D1_steps,U56,42,5,0.0,8.418478191010015,0.4962049147521708,16.96572915891939,True
D1_steps,U56,52,4,1.0,6.0573615878671605,0.4751239522302273,12.74901330365258,True
D1_steps,U56,63,5,1.0,6.454359346341254,0.44678314202808506,14.446291140357147,True
D1_steps,U56,76,3,0.0,7.013486553176019,0.501074250029171,13.996900764243453,True
D1_steps,U56,90,5,1.0,5.790618934234837,0.5117643275790011,11.315010879379706,True
D1_steps,U56,126,4,0.0,5.5448805698742,0.39362531615728846,14.086697024483367,True
D2_drier_share,B136,21,5,,8.074180556042931,0.575,,
D2_drier_share,B136,21,8,,4.841524077006398,0.725,,
D2_drier_share,B136,21,10,,5.543762346830761,0.5,,
D2_drier_share,B136,21,12,,4.597443977202509,0.575,,
D2_drier_share,B136,21,15,,3.071948148342607,0.9,,
D2_drier_share,B136,21,20,,4.397894884543763,0.525,,
D2_drier_share,B136,21,25,,3.3695349510038275,0.175,,
D2_drier_share,B136,21,30,,1.593745038593919,0.475,,
D2_drier_share,B136,21,40,,0.7993889920186237,0.6,,
D2_drier_share,B136,42,5,,10.974365794518404,0.325,,
D2_drier_share,B136,42,8,,5.154320841757409,0.725,,
D2_drier_share,B136,42,10,,5.638694420470058,0.45,,
D2_drier_share,B136,42,12,,5.57308076414288,0.6,,
D2_drier_share,B136,42,15,,4.692179874413971,0.475,,
D2_drier_share,B136,42,20,,4.021648401050026,0.4,,
D2_drier_share,B136,42,25,,2.1295739516349,0.425,,
D2_drier_share,B136,42,30,,1.0594551017456322,0.825,,
D2_drier_share,B136,42,40,,0.7071276273666882,0.725,,
D2_drier_share,B136,52,5,,7.951260731039511,0.4,,
D2_drier_share,B136,52,8,,4.946758339857116,0.75,,
D2_drier_share,B136,52,10,,4.573571236820739,0.55,,
D2_drier_share,B136,52,12,,4.220852027208066,0.475,,
D2_drier_share,B136,52,15,,4.2188944138978,0.7,,
D2_drier_share,B136,52,20,,2.2689093986648423,0.75,,
D2_drier_share,B136,52,25,,1.5721447554753132,0.9,,
D2_drier_share,B136,52,30,,2.4655249462035678,0.15,,
D2_drier_share,B136,52,40,,0.9805921126779582,0.425,,
D2_drier_share,B136,63,5,,11.268996037496814,0.525,,
