period,D,claim_set,bar,n,moved,to_inside,to_outside,net,moved_share,mv_VENUE,mv_VENUE_rate,nm_VENUE_rate,lift_VENUE,mv_CITED,mv_CITED_rate,nm_CITED_rate,lift_CITED,mv_ECHO,mv_ECHO_rate,nm_ECHO_rate,lift_ECHO,mv_QUEUED,mv_QUEUED_rate,nm_QUEUED_rate,lift_QUEUED,mv_ANY,mv_ANY_rate,nm_ANY_rate,lift_ANY,mv_STRICT,mv_STRICT_rate,nm_STRICT_rate,lift_STRICT
FULL,3,ALL,1.0,607,21,21,0,21,0.03459637561779242,13,0.6190476190476191,0.7235494880546075,-0.10450186900698843,2,0.09523809523809523,0.27986348122866894,-0.1846253859905737,15,0.7142857142857143,0.4351535836177474,0.2791321306679669,0,0.0,0.03754266211604096,-0.03754266211604096,19,0.9047619047619048,0.9368600682593856,-0.03209816349748085,10,0.47619047619047616,0.3993174061433447,0.07687307004713145
FULL,3,ALL,2.0,607,35,34,1,33,0.057660626029654036,23,0.6571428571428571,0.7237762237762237,-0.06663336663336661,9,0.2571428571428571,0.2744755244755245,-0.017332667332667362,20,0.5714285714285714,0.4370629370629371,0.1343656343656343,1,0.02857142857142857,0.03671328671328671,-0.008141858141858142,33,0.9428571428571428,0.9353146853146853,0.007542457542457526,16,0.45714285714285713,0.3986013986013986,0.058541458541458535
FULL,3,2PANEL,1.0,345,12,12,0,12,0.034782608695652174,7,0.5833333333333334,0.6816816816816816,-0.09834834834834827,1,0.08333333333333333,0.3123123123123123,-0.228978978978979,7,0.5833333333333334,0.3993993993993994,0.18393393393393398,0,0.0,0.03003003003003003,-0.03003003003003003,10,0.8333333333333334,0.924924924924925,-0.09159159159159158,5,0.4166666666666667,0.36036036036036034,0.05630630630630634
FULL,3,2PANEL,2.0,345,15,15,0,15,0.043478260869565216,10,0.6666666666666666,0.6787878787878788,-0.0121212121212122,5,0.3333333333333333,0.30303030303030304,0.030303030303030276,5,0.3333333333333333,0.4090909090909091,-0.0757575757575758,0,0.0,0.030303030303030304,-0.030303030303030304,14,0.9333333333333333,0.9212121212121213,0.012121212121212088,5,0.3333333333333333,0.36363636363636365,-0.03030303030303033
FULL,3,3PANEL,1.0,262,9,9,0,9,0.03435114503816794,6,0.6666666666666666,0.7786561264822134,-0.11198945981554675,1,0.1111111111111111,0.23715415019762845,-0.12604303908651734,8,0.8888888888888888,0.48221343873517786,0.406675450153711,0,0.0,0.04743083003952569,-0.04743083003952569,9,1.0,0.9525691699604744,0.04743083003952564,5,0.5555555555555556,0.4505928853754941,0.1049626701800615
FULL,3,3PANEL,2.0,262,20,19,1,18,0.07633587786259542,13,0.65,0.7851239669421488,-0.1351239669421488,4,0.2,0.23553719008264462,-0.03553719008264461,15,0.75,0.47520661157024796,0.27479338842975204,1,0.05,0.045454545454545456,0.004545454545454547,19,0.95,0.9545454545454546,-0.00454545454545463,11,0.55,0.4462809917355372,0.10371900826446284
FULL,3,NESTED_PAIR,1.0,366,12,12,0,12,0.03278688524590164,6,0.5,0.7175141242937854,-0.21751412429378536,1,0.08333333333333333,0.268361581920904,-0.18502824858757067,9,0.75,0.4463276836158192,0.3036723163841808,0,0.0,0.02824858757062147,-0.02824858757062147,10,0.8333333333333334,0.9378531073446328,-0.10451977401129942,6,0.5,0.3785310734463277,0.12146892655367231
FULL,3,NESTED_PAIR,2.0,366,10,9,1,8,0.0273224043715847,6,0.6,0.7134831460674157,-0.11348314606741572,4,0.4,0.25842696629213485,0.14157303370786517,8,0.8,0.44662921348314605,0.353370786516854,0,0.0,0.028089887640449437,-0.028089887640449437,10,1.0,0.9325842696629213,0.0674157303370787,6,0.6,0.37640449438202245,0.22359550561797753
FULL,3,NZ,1.0,465,21,21,0,21,0.04516129032258064,13,0.6190476190476191,0.7297297297297297,-0.11068211068211065,2,0.09523809523809523,0.2702702702702703,-0.17503217503217505,15,0.7142857142857143,0.47297297297297297,0.24131274131274133,0,0.0,0.038288288288288286,-0.038288288288288286,19,0.9047619047619048,0.9481981981981982,-0.043436293436293405,10,0.47619047619047616,0.4099099099099099,0.06628056628056628
FULL,3,NZ,2.0,465,35,34,1,33,0.07526881720430108,23,0.6571428571428571,0.7302325581395349,-0.07308970099667778,9,0.2571428571428571,0.2627906976744186,-0.005647840531561477,20,0.5714285714285714,0.47674418604651164,0.09468438538205975,1,0.02857142857142857,0.037209302325581395,-0.008637873754152824,33,0.9428571428571428,0.9465116279069767,-0.0036544850498339,16,0.45714285714285713,0.40930232558139534,0.047840531561461785
