construction,claim_set,n,n_moved,do_nothing,always_act,delta,t_delta,mean_d_full
C_1252,CS_ALL,72,58,0.8289395434118787,0.8378659300699693,0.008926386658090528,0.6619492726079775,0.01814473824671123
C_1252,CS_SHARPE,24,17,0.8289395434118787,0.8426129516652624,0.013673408253383694,0.6554105304898936,0.026881857279634613
C_1252,CS_LARGE,48,38,0.9835294386486845,0.9850030676979212,0.0014736290492366095,0.09262346587207994,0.007144845841084713
C_1252,CS_NODEG,54,46,0.8289395434118788,0.8408358719398381,0.011896328527959403,0.660905132953902,0.02419231131830482
C_1246,CS_ALL,72,59,0.7922475401971669,0.8015992709093419,0.009351730712174842,0.7154719027955139,0.020619750815787798
C_1246,CS_SHARPE,24,18,0.792247540197167,0.7984870101975817,0.0062394700004148665,0.3021937299233645,0.025710625409561556
C_1246,CS_LARGE,48,38,0.9835294386486845,0.9850030676979212,0.0014736290492366095,0.09262346587207994,0.007144845841084713
C_1246,CS_NODEG,54,47,0.7922475401971673,0.8046525128547997,0.012404972657632836,0.7110996127428599,0.02746694468867252
C_1260,CS_ALL,72,59,0.7922475401971669,0.8016998115247317,0.009452271327564606,0.7234685744014113,0.020697169465400678
C_1260,CS_SHARPE,24,18,0.792247540197167,0.7985955872440865,0.006348047046919489,0.3074683198487555,0.02583582281604983
C_1260,CS_LARGE,48,38,0.9835294386486845,0.9850030676979212,0.0014736290492366095,0.09262346587207994,0.007144845841084713
C_1260,CS_NODEG,54,47,0.7922475401971673,0.8047865670086526,0.012539026811485854,0.7191060715374421,0.02756915946733404
C_1252_VINTAGE,CS_ALL,72,58,0.8267722993734866,0.8357236911818844,0.008951391808397846,0.6646786100831014,0.01815253746258973
C_1252_VINTAGE,CS_SHARPE,24,17,0.8267722993734866,0.840306225099044,0.01353392572555741,0.6495105734391362,0.02679089890108687
C_1252_VINTAGE,CS_LARGE,48,38,0.9802785725910962,0.981789709365794,0.001511136774697587,0.095182805186611,0.007156544664902465
C_1252_VINTAGE,CS_NODEG,54,46,0.8267722993734866,0.8387006373050406,0.011928337931554064,0.6635627024241794,0.024201950177205337
