claimset,kill_cost,n,h1_share,h1_alone,oos_lives
RECORD8,25.0,6,0.6666666666666666,0.3333333333333333,0.8333333333333334
RECORD8,50.0,7,0.7142857142857143,0.0,0.2857142857142857
CORE30,25.0,12,0.8333333333333334,0.3333333333333333,0.75
CORE30,50.0,15,0.8666666666666667,0.0,0.13333333333333333
WIDE,25.0,18,0.5555555555555556,0.2222222222222222,0.5
WIDE,50.0,23,0.782608695652174,0.0,0.08695652173913043
