panel,regime,armed_frac,armed_days,frac_IS,frac_OOS
u56,always,1.0,4439,1.0,1.0
u56,spy200,0.17053390403243973,757,0.17737917289486796,0.16488486842105263
u56,breadth20,0.08650596981302094,384,0.03089187842551071,0.13240131578947367
u56,hivol80,0.10858301419238567,482,0.03338315894369706,0.17064144736842105
broad,always,1.0,4439,1.0,1.0
broad,spy200,0.17053390403243973,757,0.17737917289486796,0.16488486842105263
broad,breadth20,0.0808740707366524,359,0.02491280518186348,0.12705592105263158
broad,hivol80,0.10858301419238567,482,0.03338315894369706,0.17064144736842105
small,always,1.0,3934,1.0,1.0
small,spy200,0.15327910523640062,603,0.13448735019973368,0.16488486842105263
small,breadth20,0.12302999491611591,484,0.0492676431424767,0.16858552631578946
small,hivol80,0.17539400101677682,690,0.07723035952063914,0.23601973684210525
