pair,n,keep4b_asym,keep4b_sym,keep4a_asym,keep4a_sym,d_oos_Sharpe,win_oos_Sharpe,d_oos_MaxDD_pp,d_oos_CAGR_pp,d_turn_py,d_crash_gross
ASYMH vs FIXH,270,144,136,41,30,0.0008482945126561954,0.4703703703703704,1.012559820170019,-0.3259213817193841,0.26304839083222886,-0.033450630419729774
ASYMG vs FRACG,210,103,92,34,22,0.007692295782450241,0.5238095238095238,0.6131674244799735,-0.16044081672607916,0.23140023672879978,-0.011246490216423148
