panel,cadence,pick_lag,IS_Sharpe,OOS_Sharpe_pick,OOS_Sharpe_lag1,OOS_CAGR_pick,OOS_MaxDD_pick,delta,pass4b_pick,pass4b_lag1,pass4a_pick,pass4a_lag1
U56,W,10,1.1504772568051869,1.13290979445404,1.1837143680307356,0.16821778924597441,-0.20907715697252982,-0.050804573576695544,False,True,False,False
U56,M,2,1.1362650097116076,1.1274489107217518,1.0568959556464201,0.16679284003840267,-0.23846545279612585,0.07055295507533166,False,False,False,False
B136,W,3,1.256033753984114,1.0673553482656515,1.0244937706927486,0.1741902670110418,-0.2161459047485682,0.042861577572902876,False,False,False,False
B136,M,10,1.1530543638789452,1.1957701130761897,1.0821913577885103,0.21013212418563088,-0.2580823874531124,0.11357875528767947,False,False,False,False
SMALL,W,10,0.7027574543138723,0.4593384162252602,0.45424585897421693,0.07290847099267284,-0.3757575565225961,0.005092557251043295,False,False,False,False
SMALL,M,1,0.6667564344591853,0.2482748072679797,0.2482748072679797,0.029795606721338075,-0.385223239824134,0.0,False,False,False,False
