rule,tol,cells,disagree,share,median_cross,median_within,share_within_gt_cross
M1,0.02,91,86,0.945054945054945,0.13552324158594264,0.660181007970624,0.978021978021978
M1,0.05,91,77,0.8461538461538461,0.13552324158594264,0.660181007970624,0.978021978021978
M1,0.1,91,62,0.6813186813186813,0.13552324158594264,0.660181007970624,0.978021978021978
M1,0.2,91,28,0.3076923076923077,0.13552324158594264,0.660181007970624,0.978021978021978
M2,0.02,301,225,0.7475083056478405,0.07057618895203022,0.3994069654893902,0.973421926910299
M2,0.05,301,182,0.6046511627906976,0.07057618895203022,0.3994069654893902,0.973421926910299
M2,0.1,301,117,0.38870431893687707,0.07057618895203022,0.3994069654893902,0.973421926910299
M2,0.2,301,68,0.22591362126245848,0.07057618895203022,0.3994069654893902,0.973421926910299
M3,0.02,492,281,0.5711382113821138,0.0322385508867033,0.12213025554149765,0.9349593495934959
M3,0.05,492,183,0.3719512195121951,0.0322385508867033,0.12213025554149765,0.9349593495934959
M3,0.1,492,109,0.22154471544715448,0.0322385508867033,0.12213025554149765,0.9349593495934959
M3,0.2,492,59,0.11991869918699187,0.0322385508867033,0.12213025554149765,0.9349593495934959
