label,kind,nbin,skill_IS,skill_OOF,brier_OOF,outcome,folds,tag,outcome_IS,outcome_OOS,is_amplitude,skill_OOS
LEVEL (name/market),record,2.0,0.00235849056603743,0.00038699690402466125,0.018454218106995886,pass4a,panel,full/panel-folds,,,,
SHAPE (nameRS/nameDG/mktDG),record,3.0,0.022012578616352196,0.006191950464396245,0.018347050754458163,pass4a,panel,full/panel-folds,,,,
SD/q2,amplitude,2.0,0.002096436058700024,-0.0030882080935339395,0.018518375126555294,pass4a,panel,full/panel-folds,,,,
SD/q3,amplitude,3.0,0.022012578616352196,0.006191950464396245,0.018347050754458163,pass4a,panel,full/panel-folds,,,,
SD/q4,amplitude,4.0,0.010482180293501009,-0.0032482352185239094,0.01852132944533512,pass4a,panel,full/panel-folds,,,,
SD/e2,amplitude,2.0,0.00235849056603743,0.00038699690402466125,0.018454218106995886,pass4a,panel,full/panel-folds,,,,
SD/e3,amplitude,3.0,0.010335039129132362,0.003573502017351071,0.018395390880681046,pass4a,panel,full/panel-folds,,,,
SD/e4,amplitude,4.0,0.03183962264150941,0.011357459735607423,0.018251688414803315,pass4a,panel,full/panel-folds,,,,
IQR/q2,amplitude,2.0,0.008385744234800985,0.004418815684280597,0.018379785238567523,pass4a,panel,full/panel-folds,,,,
IQR/q3,amplitude,3.0,0.009433962264151052,-0.01590283412441007,0.01875495058425837,pass4a,panel,full/panel-folds,,,,
IQR/q4,amplitude,4.0,0.03677101200686117,0.004016284969472483,0.01838721650405009,pass4a,panel,full/panel-folds,,,,
IQR/e2,amplitude,2.0,0.003281378178835226,0.00037283760567430324,0.018454479506936853,pass4a,panel,full/panel-folds,,,,
IQR/e3,amplitude,2.0,0.003281378178835226,0.00037283760567430324,0.018454479506936853,pass4a,panel,full/panel-folds,,,,
IQR/e4,amplitude,3.0,0.004288164665523286,0.0012601274373791327,0.018438098927624973,pass4a,panel,full/panel-folds,,,,
SDDIFF/q2,amplitude,2.0,0.0,-0.015479876160990447,0.018747142203932324,pass4a,panel,full/panel-folds,,,,
SDDIFF/q3,amplitude,3.0,0.022012578616352196,0.006191950464396245,0.018347050754458163,pass4a,panel,full/panel-folds,,,,
SDDIFF/q4,amplitude,4.0,0.019103773584905448,-0.02678126107667489,0.018955781168710904,pass4a,panel,full/panel-folds,,,,
SDDIFF/e2,amplitude,2.0,0.005105438401775797,3.226979667780849e-05,0.01846076685274766,pass4a,panel,full/panel-folds,,,,
SDDIFF/e3,amplitude,3.0,0.0035699556655323095,-0.0019034522871745896,0.018496502920025,pass4a,panel,full/panel-folds,,,,
SDDIFF/e4,amplitude,4.0,0.005140299951620686,-0.004396714826281345,0.01854253194380938,pass4a,panel,full/panel-folds,,,,
MAD/q2,amplitude,2.0,0.008385744234800985,0.005265911991297667,0.01836414668648896,pass4a,panel,full/panel-folds,,,,
MAD/q3,amplitude,3.0,0.022365519729381167,0.015929619115266136,0.018167280122643407,pass4a,panel,full/panel-folds,,,,
MAD/q4,amplitude,4.0,0.03563941299790352,0.01007809605577259,0.01827530721159039,pass4a,panel,full/panel-folds,,,,
MAD/e2,amplitude,2.0,0.0003717361106104766,-0.0022630536062644424,0.018503141650367136,pass4a,panel,full/panel-folds,,,,
MAD/e3,amplitude,3.0,0.0038640604678338297,-0.00549392529356818,0.018562787944091365,pass4a,panel,full/panel-folds,,,,
MAD/e4,amplitude,4.0,0.00501019985916229,-0.03693705128745717,0.019143270894252894,pass4a,panel,full/panel-folds,,,,
LEVEL (name/market),record,2.0,0.0005839416058391889,-4.8543689320279526e-05,0.14718364197530864,pass4b,panel,full/panel-folds,,,,
SHAPE (nameRS/nameDG/mktDG),record,3.0,0.0005839416058391889,-0.0007766990291262488,0.14729080932784638,pass4b,panel,full/panel-folds,,,,
SD/q2,amplitude,2.0,0.004671532846715398,0.0014526129076337657,0.14696270700519223,pass4b,panel,full/panel-folds,,,,
SD/q3,amplitude,3.0,0.0005839416058391889,-0.0007766990291262488,0.14729080932784638,pass4b,panel,full/panel-folds,,,,
SD/q4,amplitude,4.0,0.02948905109489064,0.04064053069323792,0.14119516652177141,pass4b,panel,full/panel-folds,,,,
SD/e2,amplitude,2.0,0.0005839416058391889,-4.8543689320279526e-05,0.14718364197530864,pass4b,panel,full/panel-folds,,,,
SD/e3,amplitude,3.0,0.00139873962914272,-0.0014695226817795781,0.14739277668641876,pass4b,panel,full/panel-folds,,,,
SD/e4,amplitude,4.0,0.057393117831073925,0.05100041694883539,0.13967043474832813,pass4b,panel,full/panel-folds,,,,
IQR/q2,amplitude,2.0,0.014306569343065623,0.01668602317802126,0.14472070703684245,pass4b,panel,full/panel-folds,,,,
IQR/q3,amplitude,3.0,0.019416058394160496,0.011986439845294017,0.14541237525139278,pass4b,panel,full/panel-folds,,,,
IQR/q4,amplitude,4.0,0.029485967922054934,0.017433876400657633,0.14461064061890186,pass4b,panel,full/panel-folds,,,,
IQR/e2,amplitude,2.0,0.01691209139955574,0.010669234118142246,0.14560623697678235,pass4b,panel,full/panel-folds,,,,
IQR/e3,amplitude,2.0,0.01691209139955574,0.010669234118142246,0.14560623697678235,pass4b,panel,full/panel-folds,,,,
IQR/e4,amplitude,3.0,0.01934638354346374,0.007809613244403435,0.14602710596111462,pass4b,panel,full/panel-folds,,,,
SDDIFF/q2,amplitude,2.0,0.00029197080291976096,-0.004271844660194146,0.14780521262002744,pass4b,panel,full/panel-folds,,,,
SDDIFF/q3,amplitude,3.0,0.0005839416058391889,-0.0007766990291262488,0.14729080932784638,pass4b,panel,full/panel-folds,,,,
SDDIFF/q4,amplitude,4.0,0.015596937867188632,0.008377535371357547,0.1459435211716252,pass4b,panel,full/panel-folds,,,,
SDDIFF/e2,amplitude,2.0,0.009408927137976697,0.005541989207269005,0.14636084692451318,pass4b,panel,full/panel-folds,,,,
SDDIFF/e3,amplitude,3.0,0.042183212442620355,0.001578040708660411,0.14694424698074987,pass4b,panel,full/panel-folds,,,,
SDDIFF/e4,amplitude,4.0,0.0372278816074435,0.01062648327939586,0.1456125288954936,pass4b,panel,full/panel-folds,,,,
MAD/q2,amplitude,2.0,0.0026277372262775156,-0.0030343012796429925,0.147623075319792,pass4b,panel,full/panel-folds,,,,
MAD/q3,amplitude,3.0,0.002184586480047046,-0.0039633472158797645,0.14775980904669014,pass4b,panel,full/panel-folds,,,,
MAD/q4,amplitude,4.0,0.022481751824817486,0.02636405687943566,0.14329632793412514,pass4b,panel,full/panel-folds,,,,
MAD/e2,amplitude,2.0,0.007608498114331952,0.006374374125471816,0.14623833942769263,pass4b,panel,full/panel-folds,,,,
MAD/e3,amplitude,3.0,0.03280194258296454,-0.001919983569828032,0.14745907394217578,pass4b,panel,full/panel-folds,,,,
MAD/e4,amplitude,4.0,0.018380146210080772,-0.0014397597490176661,0.14738839628221997,pass4b,panel,full/panel-folds,,,,
LEVEL (name/market),record,2.0,0.017636684303350858,0.010699687424861937,0.2939600480109739,sign_holds,panel,full/panel-folds,,,,
SHAPE (nameRS/nameDG/mktDG),record,3.0,0.02139917695473237,0.01149314739120011,0.2937242798353909,sign_holds,panel,full/panel-folds,,,,
SD/q2,amplitude,2.0,0.059611992945326486,0.04522554605618123,0.2837010569524708,sign_holds,panel,full/panel-folds,,,,
SD/q3,amplitude,3.0,0.02139917695473237,0.01149314739120011,0.2937242798353909,sign_holds,panel,full/panel-folds,,,,
SD/q4,amplitude,4.0,0.13337252596511862,0.07648733656070505,0.2744119489629078,sign_holds,panel,full/panel-folds,,,,
SD/e2,amplitude,2.0,0.017636684303350858,0.010699687424861937,0.2939600480109739,sign_holds,panel,full/panel-folds,,,,
SD/e3,amplitude,3.0,0.03639953601766355,0.013938269584166774,0.2929977378257495,sign_holds,panel,full/panel-folds,,,,
SD/e4,amplitude,4.0,0.1822650541698161,0.14400233302656806,0.2543505870586494,sign_holds,panel,full/panel-folds,,,,
IQR/q2,amplitude,2.0,0.03766411914560064,0.0368866601186385,0.28617886806745707,sign_holds,panel,full/panel-folds,,,,
IQR/q3,amplitude,3.0,0.08912404467960022,0.04160078220165442,0.2847781169141032,sign_holds,panel,full/panel-folds,,,,
