block,k,q,book,n,D_mean,D_sd,D_min,D_max,share_pos,t,raw_mean,ewall_mean
A,20,0.25,CAND10,60,-0.024968106348897633,0.05117840381368635,-0.12398421453725339,0.11518038523538665,0.2833333333333333,-3.778979134544872,0.8155648774772113,0.840532983826109
A,20,0.25,CAND20,60,-0.0016261012285101813,0.011536662498466672,-0.05918530429660762,0.019866815710013808,0.4166666666666667,-1.091799812658886,0.8389068825975987,0.840532983826109
A,20,0.5,CAND10,60,-0.003172257861190109,0.056971280364801105,-0.14665529102103447,0.21869025204047443,0.4166666666666667,-0.4313086097975655,0.6532219713353806,0.6563942291965704
A,20,0.5,CAND20,60,-0.002959901044847653,0.01520191954253517,-0.06510081349568364,0.03019513946470087,0.48333333333333334,-1.508184202796424,0.653434328151723,0.6563942291965704
A,20,0.75,CAND10,60,-0.0028603192133787657,0.04203083257607028,-0.09152472748059931,0.15514556726692863,0.45,-0.527135343236582,0.4454490502337692,0.44830936944714794
A,20,0.75,CAND20,60,-0.003041882485123568,0.019692856808076486,-0.057454964640610895,0.05626511459086614,0.45,-1.1964907195356125,0.4452674869620243,0.44830936944714794
A,40,0.25,CAND10,60,-0.06058826724949065,0.08674555193641707,-0.3216930445955225,0.06294020945280132,0.25,-5.410245131758253,0.8034283852335125,0.8640166524830032
A,40,0.25,CAND20,60,0.007181292510561679,0.036639096575215205,-0.1030556804188294,0.07596033048910011,0.6166666666666667,1.5182157256826996,0.8711979449935647,0.8640166524830032
A,40,0.5,CAND10,60,-0.023013025706839472,0.10410638438917622,-0.35342317079649177,0.2208570743202325,0.43333333333333335,-1.7122689608592163,0.6991435903084167,0.722156616015256
A,40,0.5,CAND20,60,0.003366973985960223,0.044375565123246016,-0.1059900251511876,0.07738800922778866,0.5666666666666667,0.5877213794808197,0.7255235900012164,0.722156616015256
A,40,0.75,CAND10,60,0.01139743931873426,0.09873212796365442,-0.1999140286066998,0.25832899761939665,0.5333333333333333,0.8941788976151132,0.5374843658014575,0.5260869264827233
A,40,0.75,CAND20,60,-0.004590729317882038,0.028545217645599776,-0.07924038756615681,0.0652953183437448,0.36666666666666664,-1.245730084516908,0.5214961971648413,0.5260869264827233
A,80,0.25,CAND10,60,-0.16474592173465102,0.10016134694265476,-0.3929992792774753,0.015671531233099056,0.05,-12.74060764376902,0.7079042004821197,0.8726501222167706
A,80,0.25,CAND20,60,-0.06431321716532168,0.06926305862279925,-0.20473681831769563,0.06841502164762236,0.2,-7.192405994624128,0.8083369050514491,0.8726501222167706
A,80,0.5,CAND10,60,-0.10654541259407457,0.11151680276322432,-0.2989218817517719,0.16408813434596192,0.2,-7.400653504526959,0.6260345952863011,0.7325800078803758
A,80,0.5,CAND20,60,-0.0018510731551950293,0.06027579536057117,-0.17255341865857865,0.16257882709800542,0.4666666666666667,-0.23787908429231985,0.730728934725181,0.7325800078803758
A,80,0.75,CAND10,60,-0.0046053674113342435,0.13190739588067898,-0.28318425601820973,0.25469972656288586,0.5166666666666667,-0.27043989714418243,0.5184520744507998,0.523057441862134
A,80,0.75,CAND20,60,0.022975457198123172,0.07374685505478969,-0.13859366351376762,0.1790932188754606,0.5833333333333334,2.4132164831631853,0.5460328990602572,0.523057441862134
B,20,0.25,CAND10,60,-0.01821597005964954,0.05589136729156144,-0.18396867117349602,0.1054439425157041,0.36666666666666664,-2.52454545647472,0.754093073380636,0.7723090434402857
B,20,0.25,CAND20,60,-0.00047785797855815865,0.007293502759822103,-0.03032261946258541,0.009805978389421877,0.5166666666666667,-0.5075026509904909,0.7718311854617274,0.7723090434402857
B,20,0.5,CAND10,60,-2.5989843953794224e-05,0.05781945690866205,-0.10646276768098528,0.10425421800347245,0.5166666666666667,-0.003481811770130783,0.6572633376235799,0.6572893274675339
B,20,0.5,CAND20,60,0.0009870097790102084,0.011292691581627682,-0.031704008618682056,0.03784939403992105,0.5,0.6770170617020279,0.658276337246544,0.6572893274675339
B,20,0.75,CAND10,60,0.005281660269599715,0.04140176293516808,-0.08679047874521739,0.1112658968509389,0.5,0.9881599629714911,0.48197470053138647,0.47669304026178666
B,20,0.75,CAND20,60,-0.002195772331934927,0.012710622101678896,-0.03481909572680342,0.042565830552490413,0.4166666666666667,-1.3381232807674632,0.4744972679298518,0.47669304026178666
B,40,0.25,CAND10,60,-0.08129518547125343,0.09033252671648592,-0.294068739137764,0.14052279275474144,0.21666666666666667,-6.971019430137248,0.7869210134458038,0.8682161989170573
B,40,0.25,CAND20,60,-0.012050738195047456,0.040586699178780286,-0.10487196724170045,0.10018075446348107,0.4166666666666667,-2.2998819457250095,0.8561654607220098,0.8682161989170573
B,40,0.5,CAND10,60,-0.019332569371906756,0.1102011481990979,-0.2972398258622126,0.21542658682839644,0.4166666666666667,-1.358873667659433,0.690799324404349,0.7101318937762559
B,40,0.5,CAND20,60,-0.006702043729370032,0.039157714443817035,-0.1053244210238804,0.08646843041680119,0.45,-1.3257619408122812,0.7034298500468857,0.7101318937762559
B,40,0.75,CAND10,60,0.009561241548380698,0.11211283340932428,-0.2591992415438674,0.23231347430819738,0.6,0.6605939420110148,0.5093590801753382,0.4997978386269574
