panel,cost_bps,n_cells,n_arms,modal_share,degenerate,modal_arm,mean_u_oos,loser_share,full_panel_IS_argmax,full_panel_u_oos,full_panel_oos_rank
u56,10.0,30,11,0.5333333333333333,False,control,0.9433333333333334,1.0,b0-g1.00-M,0.1,2/11
u56,25.0,30,11,0.6,False,control,0.9,0.9666666666666667,b0-g1.00-M,0.1,2/11
broad136,10.0,30,11,0.7,False,control,0.5866666666666667,0.5333333333333333,control,0.7,8/11
broad136,25.0,30,11,0.8666666666666667,False,control,0.3266666666666666,0.26666666666666666,control,0.2,3/11
small484,10.0,30,11,0.6,False,control,0.18666666666666665,0.1,control,0.0,1/11
small484,25.0,30,11,0.6666666666666666,False,control,0.08666666666666667,0.03333333333333333,control,0.0,1/11
