gate,value,bar,passed
G2 b_band_dg(0.75) == baseline.rules_v2_weights (full frame),0.0,0.0,True
G1 U56 fast vs engine [BAND-DG g0.75] max|dr| / max|dturn|,6.938893903907228e-18,1e-12,True
G1 U56 fast vs engine [QUANT-RESP q0.50] max|dr| / max|dturn|,1.3877787807814457e-17,1e-12,True
G1 U56 fast vs engine [EWELIG g0.75] max|dr| / max|dturn|,1.3877787807814457e-17,1e-12,True
G6 U56 cost-rung identity r(25)=r(0)-turn*25/1e4,0.0,1e-12,True
G3 U56 SPY b&h == idea 742 (15.11% / 0.8835 / -33.72%),2.743224379758713e-05,0.0005,True
G4 U56 B_EW742 == idea 742 (17.94% / 1.1357 / -28.87% / 1.2129 / 1.0743 / OOS 18.64% / 1.1448),4.535786512760431e-05,0.0005,True
G4b U56 Sharpe(B_EW742) - Sharpe(B_EWW10) > 0 (the weekly/10bps bar is the weaker bar),0.011986363541896417,0.0,True
G5 U56 BAND-DG g1.00 == standing memo line 3 (11.55% / 1.2067 / -15.70% / 1.2405 / 1.1798),4.953945571775642e-05,0.0005,True
G1 B136 fast vs engine [BAND-DG g0.75] max|dr| / max|dturn|,1.734723475976807e-17,1e-12,True
G1 B136 fast vs engine [QUANT-RESP q0.50] max|dr| / max|dturn|,2.0816681711721685e-17,1e-12,True
G1 B136 fast vs engine [EWELIG g0.75] max|dr| / max|dturn|,2.0816681711721685e-17,1e-12,True
G6 B136 cost-rung identity r(25)=r(0)-turn*25/1e4,0.0,1e-12,True
