cell,L,null_median,observed,N_IID,phi
MEGA/V2BAND,1,0.12169300757880941,0.12054948821512834,0.12169300757880941,-0.0
MEGA/V2BAND,2,0.12068282739258979,0.12054948821512834,0.12169300757880941,0.8833957852430092
MEGA/V2BAND,3,0.12164406424640928,0.12054948821512834,0.12169300757880941,0.04280061532371345
MEGA/V2BAND,4,0.1221396333088095,0.12054948821512834,0.12169300757880941,-0.3905711999159992
MEGA/V2BAND,6,0.12211246145122229,0.12054948821512834,0.12169300757880941,-0.3668095930292143
MEGA/V2BAND,8,0.1195116829038888,0.12054948821512834,0.12169300757880941,1.9075537714540929
MEGA/V2BAND,11,0.11844555393693507,0.12054948821512834,0.12169300757880941,2.8398763895178543
MEGA/V2BAND,16,0.12170589868675158,0.12054948821512834,0.12169300757880941,-0.011273187277452582
MEGA/V2BAND,23,0.12165148568641054,0.12054948821512834,0.12169300757880941,0.03631061590877134
MEGA/V2BAND,32,0.12090937783778571,0.12054948821512834,0.12169300757880941,0.6852789431576717
MEGA/V2BAND,45,0.12054948821512856,0.12054948821512834,0.12169300757880941,0.9999999999998058
MEGA/V2BAND,64,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,91,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,128,0.1205494882151284,0.12054948821512834,0.12169300757880941,0.9999999999999515
MEGA/V2BAND,181,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,256,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,362,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,512,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,724,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,1024,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,1448,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,2048,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,2896,0.12054948821512845,0.12054948821512834,0.12169300757880941,0.999999999999903
MEGA/V2BAND,4096,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/V2BAND,4446,0.12054948821512834,0.12054948821512834,0.12169300757880941,1.0
MEGA/TOP20EW,1,0.20578368407897152,0.19391483881874172,0.20578368407897152,-0.0
MEGA/TOP20EW,2,0.20282708799779126,0.19391483881874172,0.20578368407897152,0.24910562201760633
MEGA/TOP20EW,3,0.2044023384169416,0.19391483881874172,0.20578368407897152,0.1163841664242208
MEGA/TOP20EW,4,0.20711648625839402,0.19391483881874172,0.20578368407897152,-0.11229417438682604
MEGA/TOP20EW,6,0.20623636680462615,0.19391483881874172,0.20578368407897152,-0.03814041852676955
MEGA/TOP20EW,8,0.20218810658492753,0.19391483881874172,0.20578368407897152,0.3029424864179561
MEGA/TOP20EW,11,0.19992277462077923,0.19391483881874172,0.20578368407897152,0.4938062068962226
MEGA/TOP20EW,16,0.20448782279587796,0.19391483881874172,0.20578368407897152,0.10918174891332841
MEGA/TOP20EW,23,0.20567476544066393,0.19391483881874172,0.20578368407897152,0.009176852163752788
MEGA/TOP20EW,32,0.20145087930864303,0.19391483881874172,0.20578368407897152,0.3650569769282342
MEGA/TOP20EW,45,0.20071393578161506,0.19391483881874172,0.20578368407897152,0.4271475603733922
MEGA/TOP20EW,64,0.19435043263219842,0.19391483881874172,0.20578368407897152,0.9632993940096015
MEGA/TOP20EW,91,0.19391483881874183,0.19391483881874172,0.20578368407897152,0.9999999999999907
MEGA/TOP20EW,128,0.19391483881874172,0.19391483881874172,0.20578368407897152,1.0
