corpus,metric,selector,n,mean_lift,sd,t,wins,losses,sign_p
A,OOS_CAGR,K_ANTI,98,-0.022110443961622542,0.02867532802180474,-7.633120286466475,20,78,2.872091466975468e-09
A,OOS_CAGR,K_CAGR,98,0.01953085981147002,0.012177440569284867,15.877363285926853,98,0,6.310887241768095e-30
A,OOS_CAGR,K_Calmar,98,0.006919114599006029,0.019007862070793,3.603547820559202,69,29,6.572240952992274e-05
A,OOS_CAGR,K_MEDIAN,98,0.002641624791257489,0.015828427276282392,1.6521383198105934,68,30,0.00015615831700632916
A,OOS_CAGR,K_MaxDD,98,-0.017748859160041427,0.022416284901813473,-7.838263216009055,23,75,1.3172242120654852e-07
A,OOS_CAGR,K_RANDOM,98,0.0,0.0,,0,0,
A,OOS_CAGR,K_Sharpe,98,0.006917678108617479,0.018368731252690243,3.728157294442339,66,32,0.0007698826407272646
A,OOS_Sharpe,K_ANTI,98,-0.0631427781396619,0.08848830403816096,-7.064002630309285,27,71,1.011275213759831e-05
A,OOS_Sharpe,K_CAGR,98,0.04559157397140933,0.037783710133772616,11.9451889209446,86,12,5.9330047473754754e-15
A,OOS_Sharpe,K_Calmar,98,0.019226884492924604,0.060210292459264056,3.1611945052965607,71,27,1.011275213759831e-05
A,OOS_Sharpe,K_MEDIAN,98,0.008871464557686011,0.060093305566257915,1.4614442930304485,67,31,0.0003545338559868335
A,OOS_Sharpe,K_MaxDD,98,-0.021699487336139738,0.1021971158142917,-2.1019572157157076,51,47,0.7620362195292433
A,OOS_Sharpe,K_RANDOM,98,0.0,0.0,,0,0,
A,OOS_Sharpe,K_Sharpe,98,0.014369109194130153,0.06804063227158338,2.090617311478451,71,27,1.011275213759831e-05
B,IS_Sharpe,K_ANTI,36,-0.06241322584197436,0.04747905539633117,-7.887253693778902,0,36,2.9103830456733704e-11
B,IS_Sharpe,K_CAGR,36,0.05909165258119834,0.06349132849994926,5.584225812623741,34,2,1.941225491464138e-08
B,IS_Sharpe,K_Calmar,36,0.06484764640464864,0.05700012692525144,6.826052842621376,33,3,2.2721360437572002e-07
B,IS_Sharpe,K_MEDIAN,36,0.010079355946199553,0.015547137539435329,3.8898566069670086,28,8,0.0011932429624721408
B,IS_Sharpe,K_MaxDD,36,0.0021409411759997932,0.06128643172597184,0.20960017893414173,16,20,0.617719317029696
B,IS_Sharpe,K_RANDOM,36,0.0,0.0,,0,0,
B,IS_Sharpe,K_Sharpe,36,0.07063780310473404,0.05904456687527266,7.178083286201549,36,0,2.9103830456733704e-11
B,IS_Sharpe,K_Sortino,36,0.0695691947470335,0.059734869977693686,6.987797389331776,36,0,2.9103830456733704e-11
B,IS_Sharpe,K_TO,36,0.01382271641995073,0.06515953268306103,1.2728191118728607,13,23,0.13249816396273673
B,IS_Sharpe,K_Vol,36,-0.039178248138374255,0.053129823015654234,-4.4244357591965695,5,31,1.2913485988974571e-05
B,OOS_CAGR,K_ANTI,36,-0.021814926092102935,0.02345131473055611,-5.581331283830917,2,34,1.941225491464138e-08
B,OOS_CAGR,K_CAGR,36,0.03774542248358753,0.02700572297802351,8.386094128486103,36,0,2.9103830456733704e-11
B,OOS_CAGR,K_Calmar,36,0.02633949215224703,0.02569532356126372,6.150416924569359,33,3,2.2721360437572002e-07
B,OOS_CAGR,K_MEDIAN,36,-0.006419357833824534,0.019677049796945466,-1.957414724280781,14,22,0.2429849540349096
B,OOS_CAGR,K_MaxDD,36,-0.031834022463883935,0.031035889206025017,-6.154298770541553,7,29,0.00031255115754902363
B,OOS_CAGR,K_RANDOM,36,0.0,0.0,,0,0,
B,OOS_CAGR,K_Sharpe,36,0.030258720569345136,0.025984488015671665,6.986950187610919,34,2,1.941225491464138e-08
B,OOS_CAGR,K_Sortino,36,0.03120867683770859,0.025351826657308705,7.386136847550133,34,2,1.941225491464138e-08
B,OOS_CAGR,K_TO,36,-0.01693551778895376,0.04655880826881879,-2.1824679477841054,11,25,0.028816719655878842
B,OOS_CAGR,K_Vol,36,-0.03429066516526993,0.029256539527277185,-7.032410336834102,3,33,2.2721360437572002e-07
B,OOS_Sharpe,K_ANTI,36,-0.04710847724980969,0.10677435907586323,-2.647179209926557,17,19,0.8679394004284404
B,OOS_Sharpe,K_CAGR,36,0.0027095773431331702,0.07810366074120663,0.20815239522085247,16,20,0.617719317029696
B,OOS_Sharpe,K_Calmar,36,0.010963458932172558,0.09457446988669295,0.6955445129308728,21,15,0.40503224614076316
B,OOS_Sharpe,K_MEDIAN,36,0.020506249124304075,0.04499207938903143,2.7346478850635125,28,8,0.0011932429624721408
B,OOS_Sharpe,K_MaxDD,36,0.017670412273097187,0.10165346205528455,1.0429794666601957,30,6,6.960169412195683e-05
B,OOS_Sharpe,K_RANDOM,36,0.0,0.0,,0,0,
B,OOS_Sharpe,K_Sharpe,36,0.007480055932438957,0.08591123580861229,0.522403561911452,19,17,0.8679394004284404
B,OOS_Sharpe,K_Sortino,36,0.005586661151473172,0.08857801981343089,0.37842307808913644,18,18,1.0
B,OOS_Sharpe,K_TO,36,-0.011496010691369497,0.11445676223839549,-0.6026386104173614,20,16,0.617719317029696
B,OOS_Sharpe,K_Vol,36,0.005785020280740803,0.10217203885538768,0.3397223161375183,25,11,0.028816719655878842
