offgrid,rung,comparand,n_books,med_spread_H1,med_spread_H2,med_absmargin_H1,med_absmargin_H2,med_ratio_H1,med_ratio_H2,flips_H1,flips_H2,books_spreadH1_gt_H2
FULL,10.0,4b,47,0.07733046392669429,0.10766348878247234,0.22586056513045594,0.24655903579299066,2.925571823238211,2.648312237727456,8,0,16
FULL,10.0,4a,47,0.07733046392669429,0.10766348878247234,0.08608447240717165,0.07036029344462102,0.8716018091957005,0.3813231288711848,35,63,16
FULL,25.0,4b,47,0.0801743321832109,0.10239899426322219,0.12148147775968088,0.14818683926509024,1.5636184149606036,1.8050201047802021,15,9,16
FULL,25.0,4a,47,0.0801743321832109,0.10239899426322219,0.11832719031880545,0.047849883229809986,1.8827935062953725,0.38590473299257205,32,81,16
HALF,10.0,4b,47,0.06741142259804,0.044658745251080156,0.22586056513045594,0.24655903579299066,3.280308522084146,5.901587971507964,5,0,33
HALF,10.0,4a,47,0.06741142259804,0.044658745251080156,0.08608447240717165,0.07036029344462102,0.8716018091957005,1.3046942194383406,21,30,33
HALF,25.0,4b,47,0.06728510317098113,0.04304690660425903,0.12148147775968088,0.14818683926509024,1.7327388468579081,3.001321451270009,9,3,34
HALF,25.0,4a,47,0.06728510317098113,0.04304690660425903,0.11832719031880545,0.047849883229809986,1.983312428795407,0.7302165283936795,17,34,34
ALT,10.0,4b,47,0.03510254260582646,0.07958939531913145,0.22586056513045594,0.24655903579299066,5.652590451059886,3.4828398882392055,4,0,10
ALT,10.0,4a,47,0.03510254260582646,0.07958939531913145,0.08608447240717165,0.07036029344462102,1.5755314004772238,0.3813231288711848,15,32,10
ALT,25.0,4b,47,0.03722424207377595,0.08273853607527681,0.12148147775968088,0.14818683926509024,2.4265348666986726,2.2698438221377315,7,4,10
ALT,25.0,4a,47,0.03722424207377595,0.08273853607527681,0.11832719031880545,0.047849883229809986,2.430517882440578,0.5297515108351387,16,44,10
