char,K,levelset,n_overlap,mean_gap,mean_abs_gap,mean_sd,gap_over_floor,mean_abs_resid,ratio_568,n_within_floor,mean_gap_IS,mean_gap_OOS
mrho,20,Q5,5,0.03605003526345194,0.10736177765359597,0.08368024953737595,1.2830002090952493,0.09901320651599252,0.5474848427006425,2,0.17849178738280042,-0.03507291870595775
mrho,20,Q9,9,0.06210393455795779,0.10172156921914893,0.08912637213553241,1.141318408702458,0.09902958539212353,0.5187229434938753,4,0.14422448856602474,0.022200163545685422
mrho,28,Q5,4,0.013573443997070181,0.09039799521953304,0.07819434081909174,1.1560682559966242,0.10536051166244648,0.46097906792214705,2,0.13126862892837957,-0.04754615572287994
mrho,28,Q9,8,0.05663521054162483,0.10923727909959577,0.08037614400036266,1.3590758857392173,0.10217127179628699,0.5570488480346546,4,0.11564239400959866,0.027501554767967992
mrho,36,Q5,3,0.080105513368532,0.080105513368532,0.06611100187137632,1.2116820362877423,0.09711784425309429,0.40849318392928097,2,0.17319521654537504,0.035902538791483335
mrho,36,Q9,7,0.09324386726310019,0.10804625988597302,0.07666293420017287,1.4093676561329607,0.09975783496077054,0.5509753181334678,4,0.1282885847136366,0.07779151078782383
cvol,20,Q5,1,0.19923111897769463,0.19923111897769463,0.09438849329418267,2.1107564282941427,0.11605683061716249,1.0159669504216962,0,0.3530182388271364,0.11947255170718168
cvol,20,Q9,3,0.14382741191214016,0.14382741191214016,0.07640640380748612,1.8823999657741814,0.12325435624497177,0.7334391224484454,0,0.25992340683164633,0.08215744998236103
cvol,28,Q5,1,0.12403360774913946,0.12403360774913946,0.0827411703911789,1.4990555144765367,0.1196821685551705,0.6325018243199361,0,0.2196687391896197,0.07376900766973626
cvol,28,Q9,2,0.11311798222698996,0.11311798222698996,0.056522230736917124,2.0013007404732117,0.1233006929915692,0.5768382571493624,0,0.18442370755172394,0.07536164983865642
cvol,36,Q5,1,0.134952276803615,0.134952276803615,0.07655497853718474,1.7628151608463345,0.11874021417769332,0.6881809117981387,0,0.2143970696008391,0.09160773446965201
cvol,36,Q9,1,0.134952276803615,0.134952276803615,0.07655497853718474,1.7628151608463345,0.11874021417769332,0.6881809117981387,0,0.2143970696008391,0.09160773446965201
