L,reach,resolution_rate,mean_P_pick,mean_B_BOOT95,mean_B_PCTRANK
1,14.0,0.1527777777777778,0.5604027777777777,0.08126946611816731,0.5903055555555556
2,14.0,0.16666666666666666,0.563625,0.08089519975963794,0.59375
5,14.0,0.16666666666666666,0.5632777777777778,0.08103113451673935,0.5928749999999999
10,14.0,0.18055555555555555,0.5672083333333333,0.07888470061421694,0.573486111111111
21,14.0,0.19444444444444445,0.5781388888888889,0.07880113944111539,0.5637361111111111
42,14.0,0.2222222222222222,0.5948888888888889,0.07696731138333451,0.5419444444444445
63,14.0,0.2222222222222222,0.6070138888888889,0.07662887864057737,0.527375
126,14.0,0.2361111111111111,0.6275694444444445,0.07399218267654317,0.4942361111111111
252,14.0,0.2777777777777778,0.6589583333333333,0.06910715983488629,0.5118472222222222
504,14.0,0.3194444444444444,0.6903611111111112,0.06481357977998664,0.41630555555555554
1008,14.0,0.4722222222222222,0.7054444444444444,0.048961653998936865,0.27290277777777777
T,14.0,1.0,1.0,0.015500326697099014,0.875
