file,stem,n,panels,n_panel_unstated,raw_modal,noise253_modal,noiseB_modal,flip253,flipnull
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,722,B136|U56,0,H2,CAGR,CAGR,0.2894736842105263,0.4626038781163435
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-04_drawdown-insurance-price-list_B,204,B136|U56,0,DD,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,2026-09-04_gross-matched-turnover-constraints_B,368,B136|U56,0,DD,DD,DD,0.17119565217391305,0.2554347826086957
2026-09-04_turnover-budget_B.grid.csv,2026-09-04_turnover-budget_B,176,B136|U56,0,CAGR,CAGR,CAGR,0.125,0.09090909090909091
2026-09-04_which-4b-bar-binds_B.gladder.csv,2026-09-04_which-4b-bar-binds_B,312,B136|U56,0,CAGR,CAGR,CAGR,0.13141025641025642,0.10897435897435898
2026-09-04_which-4b-bar-binds_B.grid.csv,2026-09-04_which-4b-bar-binds_B,480,B136|U56,0,CAGR,CAGR,CAGR,0.10416666666666667,0.15208333333333332
2026-09-05_absorbing-state-audit_B.ddctl.csv,2026-09-05_absorbing-state-audit_B,1340,B136|U56,0,H1,CAGR,CAGR,0.26492537313432835,0.5216417910447761
2026-09-05_absorbing-state-audit_B.stop.csv,2026-09-05_absorbing-state-audit_B,396,B136|U56,0,H2,CAGR,CAGR,0.1994949494949495,0.4696969696969697
2026-09-05_band-width-at-g085_cloud.grid.csv,2026-09-05_band-width-at-g085_cloud,200,B136|U56,0,CAGR,CAGR,CAGR,0.13,0.15
2026-09-05_cagr-floor-calibration_B.grid.csv,2026-09-05_cagr-floor-calibration_B,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_crisis-depth-as-the-price-denominator_B.grid.csv,2026-09-05_crisis-depth-as-the-price-denominator_B,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_defensive-class-census_B.grid.csv,2026-09-05_defensive-class-census_B,2244,B136|SMALL439|U56,0,H2,CAGR,CAGR,0.13419117647058823,0.20036764705882354
2026-09-05_gross-as-the-missing-third-bar_B.grid.csv,2026-09-05_gross-as-the-missing-third-bar_B,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_gross-dispersion-not-gross-level_cloud.grid.csv,2026-09-05_gross-dispersion-not-gross-level_cloud,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_gross-dispersion-not-gross-level_cloud.ladder.csv,2026-09-05_gross-dispersion-not-gross-level_cloud,342,B136|SMALL439|U56,0,CAGR,CAGR,CAGR,0.21929824561403508,0.22807017543859648
2026-09-05_is-Calmar-immunity-general_C.grid.csv,2026-09-05_is-Calmar-immunity-general_C,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_is-the-defensive-class-one-book_cloud.census.csv,2026-09-05_is-the-defensive-class-one-book_cloud,138,B136|U56,0,CAGR,CAGR,CAGR,0.0,0.0
2026-09-05_is-the-defensive-class-one-book_cloud.grid.csv,2026-09-05_is-the-defensive-class-one-book_cloud,816,B136|SMALL439|U56,0,H2,CAGR,CAGR,0.16013071895424835,0.23202614379084968
2026-09-05_is-the-ladder-even-a-candidate_C.corpus.csv,2026-09-05_is-the-ladder-even-a-candidate_C,306,B136|SMALL439|U56,0,H2,DD,CAGR,0.11274509803921569,0.4166666666666667
2026-09-05_pin-m-or-let-the-screen-choose_cloud.walkforward.csv,2026-09-05_pin-m-or-let-the-screen-choose_cloud,56,B136|U56,0,DD,DD,DD,0.23214285714285715,0.14285714285714285
