leg,rstar,is_rate,oos_rate,is_cells,oos_cells,panel,book,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
WF-CENSUS,1.25,0.4702765478696378,0.5472189657418263,13777.0,7677.0,,,,,,,,,,
WF-CENSUS,1.5,0.329752486027437,0.419564934219096,13777.0,7677.0,,,,,,,,,,
WF-CENSUS,2.0,0.1913333817231618,0.21427641005601147,13777.0,7677.0,,,,,,,,,,
WF-CENSUS,3.0,0.07817376787399288,0.08023967695714472,13777.0,7677.0,,,,,,,,,,
WF-CENSUS,5.0,0.03251796472381505,0.03751465416178194,13777.0,7677.0,,,,,,,,,,
WF-CENSUS,10.0,0.015460550192349569,0.01875732708089097,13777.0,7677.0,,,,,,,,,,
WF-BOOK,,,,,,U56,RULES v2 (live),0.08644750633071019,1.2037308291391255,-0.12054947359101975,1.2308642464341357,1.182843123927143,0.0950629792087272,1.2816876607860581,-0.12054947359101964
WF-BOOK,,,,,,U56,RULES v1,0.06419373995428534,0.6611011896775674,-0.13827804260512722,0.6428944530146987,0.6804042828966702,0.07657544479101164,0.7407821445671212,-0.13827804260512733
WF-BOOK,,,,,,U56,SPY,0.15188355769560324,0.8871396799528589,-0.33717289200673806,0.9586943616589273,0.8286721229522932,0.153780735432695,0.878646168321868,-0.3371728920067377
WF-BOOK,,,,,,B136,RULES v2 (live),0.0803031894255104,1.1057901818007876,-0.12240793860208032,1.229067725847855,0.9843850631086558,0.07983337481604336,1.1185082795688426,-0.12240793860208021
WF-BOOK,,,,,,B136,RULES v1,0.06385177680442844,0.6349911081998837,-0.21191263611532518,0.7562149489638127,0.5320307500704073,0.05941502665859644,0.5762505378038233,-0.2119126361153264
WF-BOOK,,,,,,B136,SPY,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.1545044425578177,0.8820239235972316,-0.3371595330739301
