panel,cadence,cost_bps,chooser,pick_cap,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beats_spy,beats_ewbh,beats_blend,beats_base,spy_OOS_Sharpe,ewbh_OOS_Sharpe,blend_OOS_Sharpe,full4b_spy,full4b_blend,full4b_blend_strict
U56,W,0.0,C_ISSHARPE,0.020,0.75,0.13168913356431755,1.3693466954314064,-0.14765004422980454,True,True,True,True,0.8831406547160487,1.1216505977478437,1.1438420487189844,True,False,False
U56,W,0.0,C_ISCALMAR,INF,0.75,0.14353853330986377,1.2803390722324455,-0.17274816551070737,True,True,True,False,0.8831406547160487,1.1216505977478437,1.139344546395122,True,False,False
U56,W,10.0,C_ISSHARPE,0.020,0.75,0.12773946456006335,1.3318413815124672,-0.14809080759214632,True,True,True,True,0.8831406547160487,1.1216505977478437,1.1348185286547345,True,False,False
U56,W,10.0,C_ISCALMAR,INF,0.75,0.13852464950781207,1.2397071765466101,-0.17392304314971785,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1370766170497362,True,False,False
U56,W,25.0,C_ISSHARPE,0.020,0.75,0.12183969460699817,1.275468963789105,-0.14875179387181792,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1212635599488583,True,False,False
U56,W,25.0,C_ISCALMAR,INF,0.75,0.13104300062203,1.1786655678511138,-0.1756836938565105,True,True,True,False,0.8831406547160487,1.1216505977478437,1.13367442028756,True,False,False
U56,W,50.0,C_ISSHARPE,0.020,0.75,0.1120723488705766,1.181260845927782,-0.14985301432639275,True,True,True,False,0.8831406547160487,1.1216505977478437,1.0986214078884324,False,False,False
U56,W,50.0,C_ISCALMAR,INF,0.75,0.11867736655768191,1.0767540132346374,-0.17861367175230713,True,False,False,False,0.8831406547160487,1.1216505977478437,1.128003294252527,False,False,False
U56,M,0.0,C_ISSHARPE,0.020,0.75,0.13139469881981514,1.2908715346839947,-0.17879512552700583,True,True,True,True,0.8831406547160487,1.1216505977478437,1.1482657547932729,True,False,False
U56,M,0.0,C_ISCALMAR,0.020,0.75,0.13139469881981514,1.2908715346839947,-0.17879512552700583,True,True,True,True,0.8831406547160487,1.1216505977478437,1.1482657547932729,True,False,False
