panel,anchor,ladder,K,chooser,anchor_rung,pick_rung,pick_is_boundary,anchor_is_boundary,reach,P_boot,chance,pick_IS,pick_OOS,anchor_OOS,delta,pick_full_CAGR,pick_full_Sharpe,pick_full_MaxDD,pick_h1,pick_h2,mean_OOS,best_OOS,worst_OOS,rank_IS_OOS,spy_full_Sharpe,spy_oos_Sharpe,live_full_Sharpe,keep4a,keep4b,fail4a,fail4b
U56,A,N,2,C_ISSHARPE,20,15,1,1,0,0.425,0.5,1.1333503228153903,1.1928585103411742,1.1690155684196564,0.023842941921517813,0.1701535773900349,1.1634816395513727,-0.20974138929433583,1.2514568166567486,1.108748594755413,1.1809370393804153,1.1928585103411742,1.1690155684196564,,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,A,N,2,C_ISCAGR,20,15,1,1,0,0.244,0.5,1.1333503228153903,1.1928585103411742,1.1690155684196564,0.023842941921517813,0.1701535773900349,1.1634816395513727,-0.20974138929433583,1.2514568166567486,1.108748594755413,1.1809370393804153,1.1928585103411742,1.1690155684196564,,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,A,N,2,C_ISDD,20,20,1,1,1,0.654,0.5,1.1121763073381954,1.1690155684196564,1.1690155684196564,0.0,0.15618726699090724,1.1424328977344387,-0.19127563591226426,1.2051807432714048,1.1011635298139153,1.1809370393804153,1.1928585103411742,1.1690155684196564,,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,A,N,3,C_ISSHARPE,20,15,1,0,0,0.226,0.3333333333333333,1.1333503228153903,1.1928585103411742,1.1690155684196564,0.023842941921517813,0.1701535773900349,1.1634816395513727,-0.20974138929433583,1.2514568166567486,1.108748594755413,1.1748438285253715,1.1928585103411742,1.162657406815284,1.0,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,A,N,3,C_ISCAGR,20,15,1,0,0,0.177,0.3333333333333333,1.1333503228153903,1.1928585103411742,1.1690155684196564,0.023842941921517813,0.1701535773900349,1.1634816395513727,-0.20974138929433583,1.2514568166567486,1.108748594755413,1.1748438285253715,1.1928585103411742,1.162657406815284,1.0,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,A,N,3,C_ISDD,20,20,0,0,1,0.209,0.3333333333333333,1.1121763073381954,1.1690155684196564,1.1690155684196564,0.0,0.15618726699090724,1.1424328977344387,-0.19127563591226426,1.2051807432714048,1.1011635298139153,1.1748438285253715,1.1928585103411742,1.162657406815284,1.0,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,A,N,4,C_ISSHARPE,20,12,1,0,0,0.096,0.25,1.1664081732806384,1.1750718567424734,1.1690155684196564,0.006056288322817016,0.17693915159214124,1.1687398571612753,-0.20169232195329845,1.2743664631061042,1.088643924366616,1.1749008355796469,1.1928585103411742,1.162657406815284,0.7999999999999998,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H2,DD",-
U56,A,N,4,C_ISCAGR,20,12,1,0,0,0.023,0.25,1.1664081732806384,1.1750718567424734,1.1690155684196564,0.006056288322817016,0.17693915159214124,1.1687398571612753,-0.20169232195329845,1.2743664631061042,1.088643924366616,1.1749008355796469,1.1928585103411742,1.162657406815284,0.7999999999999998,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H2,DD",-
U56,A,N,4,C_ISDD,20,20,0,0,1,0.191,0.25,1.1121763073381954,1.1690155684196564,1.1690155684196564,0.0,0.15618726699090724,1.1424328977344387,-0.19127563591226426,1.2051807432714048,1.1011635298139153,1.1749008355796469,1.1928585103411742,1.162657406815284,0.7999999999999998,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,A,N,6,C_ISSHARPE,20,12,0,0,0,0.074,0.16666666666666666,1.1664081732806384,1.1750718567424734,1.1690155684196564,0.006056288322817016,0.17693915159214124,1.1687398571612753,-0.20169232195329845,1.2743664631061042,1.088643924366616,1.1555563314593165,1.1928585103411742,1.0974346731743851,0.3142857142857143,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H2,DD",-
U56,A,N,6,C_ISCAGR,20,10,1,0,0,0.02,0.16666666666666666,1.140905835950679,1.0974346731743851,1.1690155684196564,-0.07158089524527123,0.17143120060429773,1.11368499380519,-0.20771055519190806,1.2460786161264206,1.00703012526175,1.1555563314593165,1.1928585103411742,1.0974346731743851,0.3142857142857143,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,A,N,6,C_ISDD,20,20,0,0,1,0.097,0.16666666666666666,1.1121763073381954,1.1690155684196564,1.1690155684196564,0.0,0.15618726699090724,1.1424328977344387,-0.19127563591226426,1.2051807432714048,1.1011635298139153,1.1555563314593165,1.1928585103411742,1.0974346731743851,0.3142857142857143,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,A,N,8,C_ISSHARPE,20,12,0,0,0,0.048,0.125,1.1664081732806384,1.1750718567424734,1.1690155684196564,0.006056288322817016,0.17693915159214124,1.1687398571612753,-0.20169232195329845,1.2743664631061042,1.088643924366616,1.1149363036677493,1.1928585103411742,0.9060838087852843,0.40476190476190477,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H2,DD",-
U56,A,N,8,C_ISCAGR,20,5,1,0,0,0.01,0.125,1.1166700991092464,0.9060838087852843,1.1690155684196564,-0.2629317596343721,0.1789829066444839,0.9893393325945896,-0.25853595033656995,1.1946892109813998,0.8353240146529841,1.1149363036677493,1.1928585103411742,0.9060838087852843,0.40476190476190477,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H1,H2,DD",DD
U56,A,N,8,C_ISDD,20,20,0,0,1,0.089,0.125,1.1121763073381954,1.1690155684196564,1.1690155684196564,0.0,0.15618726699090724,1.1424328977344387,-0.19127563591226426,1.2051807432714048,1.1011635298139153,1.1149363036677493,1.1928585103411742,0.9060838087852843,0.40476190476190477,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
