panel,window,cagr,ann_mean,vol
U56,full,0.013145859632957446,0.01315405554274435,0.013679863054734261
U56,H1,0.007768690884395246,0.00778979220551812,0.010101467339887704
U56,H2,0.018551719433357983,0.018518318879970578,0.01649525176528321
U56,IS,0.008107863097783552,0.008127641273867232,0.01023324554823448
U56,OOS,0.01730356208199968,0.017283410204077292,0.015961491350542645
B136,full,0.013096203856249211,0.013105529284172877,0.013715534009275079
B136,H1,0.007811618032762757,0.007832691373501649,0.010131321760479381
B136,H2,0.01840850006412298,0.018378367194844106,0.01653638206108356
B136,IS,0.008109455774958585,0.008129487006079955,0.010259135079226434
B136,OOS,0.01721480153985122,0.01719685122277693,0.016005387648112348
