arm,contrast,point,lo5,hi95,frac_pos
BAND3DG@0.80,composition (arm - timed ctrl),-0.058911733712599876,-0.3956622225682041,0.2815281033151362,0.385
BAND3DG@0.80,total (arm - static ctrl),-0.1786998020887804,-0.48421167048290553,0.12060397571390089,0.16
BAND6DG@0.80,composition (arm - timed ctrl),-0.09453295739104123,-0.42411677349981636,0.22747131661984968,0.2985
BAND6DG@0.80,total (arm - static ctrl),-0.20176212099038118,-0.506106277068952,0.09333626274922244,0.1235
MA200DG@0.80,composition (arm - timed ctrl),-0.11305297209075942,-0.44105174730164376,0.19790620905966338,0.2655
MA200DG@0.80,total (arm - static ctrl),-0.19722150986102757,-0.5023905191323763,0.08623746571419504,0.1285
ABSDG@0.80,composition (arm - timed ctrl),-0.2844090908427046,-0.6166604344456151,0.03754309892068346,0.0665
ABSDG@0.80,total (arm - static ctrl),-0.30485576354096944,-0.6247877071216887,-0.0005447386945182731,0.05
GROSSCUT@0.80,composition (arm - timed ctrl),-0.4382329644109571,-0.7856455646233846,-0.14901177496086881,0.0085
GROSSCUT@0.80,total (arm - static ctrl),-0.21399106101997997,-0.540725017470516,0.09595842553989808,0.1205
