universe,sleeve,f,conv,dSharpe_full,dSharpe_ex2022,shrink
u56,S9,0.25,natural,-0.0076236733012458036,-0.012954039494126768,-0.005330366192880964
u56,S9,0.25,matched,-0.0036032856881453856,-0.007176216811010772,-0.003572931122865386
u56,S9,0.5,natural,-0.031201801153839526,-0.044434828379577684,-0.013233027225738159
u56,S9,0.5,matched,-0.020334540706679727,-0.030365290286189284,-0.010030749579509557
u56,S4,0.25,natural,0.05142275421602527,0.04547114192929569,-0.0059516122867295795
u56,S4,0.25,matched,0.04975775363452595,0.03778463785929964,-0.011973115775226306
u56,S4,0.5,natural,0.1002123650322877,0.08230398753694157,-0.01790837749534613
u56,S4,0.5,matched,0.08720661213266045,0.056165539718148194,-0.03104107241451226
broad,S9,0.25,natural,0.015257522677887825,0.01085131319787136,-0.004406209480016465
broad,S9,0.25,matched,0.017147652504857502,0.015717584094316672,-0.0014300684105408301
broad,S9,0.5,natural,0.025925803720592056,0.01433302367686462,-0.011592780043727435
broad,S9,0.5,matched,0.029977429455827487,0.02562132803877648,-0.004356101417051006
broad,S4,0.25,natural,0.05342781324740575,0.04865781994126461,-0.00476999330614114
broad,S4,0.25,matched,0.05408267558993951,0.04577778526315357,-0.00830489032678594
broad,S4,0.5,natural,0.12634698388944154,0.11140501944047654,-0.014941964448965006
broad,S4,0.5,matched,0.11143151030885434,0.08996591548275257,-0.021465594826101775
