panel,form,cadence,cash_bps,lo,hi,width,n_pts,interval,empty_reason,scale_lo,scale_hi,scale_width,scale_pts,sharpe_pts,x_lo,x_hi,x_width,x_pts,x_interval,x_empty_reason
B136,EWall,M,0.0,,,0.0,0,True,SCALE,,,0.0,0,17,,,0.0,0,True,SCALE
B136,EWall,M,150.0,0.55,0.55,0.0,1,True,-,0.55,0.55,0.0,1,17,0.55,0.55,0.0,1,True,-
B136,EWall,M,300.0,0.5,0.6,0.09999999999999998,3,True,-,0.5,0.6,0.09999999999999998,3,17,0.5,0.6,0.09999999999999998,3,True,-
B136,EWall,W,0.0,,,0.0,0,True,SCALE,,,0.0,0,17,,,0.0,0,True,SCALE
B136,EWall,W,150.0,0.55,0.55,0.0,1,True,-,0.55,0.55,0.0,1,17,0.55,0.55,0.0,1,True,-
B136,EWall,W,300.0,0.5,0.55,0.050000000000000044,2,True,-,0.5,0.55,0.050000000000000044,2,17,0.5,0.55,0.050000000000000044,2,True,-
B136,MA-DG,M,0.0,0.95,1.0,0.050000000000000044,2,True,-,0.95,1.0,0.050000000000000044,2,17,0.95,1.0,0.050000000000000044,2,True,-
B136,MA-DG,M,150.0,0.9,1.0,0.09999999999999998,3,True,-,0.9,1.0,0.09999999999999998,3,17,0.9,1.0,0.09999999999999998,3,True,-
B136,MA-DG,M,300.0,0.85,1.0,0.15000000000000002,4,True,-,0.85,1.0,0.15000000000000002,4,17,0.85,1.0,0.15000000000000002,4,True,-
B136,MA-DG,W,0.0,,,0.0,0,True,SCALE,,,0.0,0,17,,,0.0,0,True,SCALE
B136,MA-DG,W,150.0,1.0,1.0,0.0,1,True,-,1.0,1.0,0.0,1,17,1.0,1.0,0.0,1,True,-
B136,MA-DG,W,300.0,0.95,1.0,0.050000000000000044,2,True,-,0.95,1.0,0.050000000000000044,2,17,0.95,1.0,0.050000000000000044,2,True,-
B136,MA-RS,M,0.0,0.65,0.65,0.0,1,True,-,0.65,0.65,0.0,1,17,0.65,0.65,0.0,1,True,-
B136,MA-RS,M,150.0,0.65,0.65,0.0,1,True,-,0.65,0.65,0.0,1,17,0.65,0.65,0.0,1,True,-
B136,MA-RS,M,300.0,0.6,0.65,0.050000000000000044,2,True,-,0.6,0.65,0.050000000000000044,2,17,0.6,0.65,0.050000000000000044,2,True,-
B136,MA-RS,W,0.0,0.7,0.75,0.050000000000000044,2,True,-,0.7,0.75,0.050000000000000044,2,17,0.7,0.75,0.050000000000000044,2,True,-
B136,MA-RS,W,150.0,0.7,0.75,0.050000000000000044,2,True,-,0.7,0.75,0.050000000000000044,2,17,0.7,0.75,0.050000000000000044,2,True,-
B136,MA-RS,W,300.0,0.65,0.75,0.09999999999999998,3,True,-,0.65,0.75,0.09999999999999998,3,17,0.65,0.75,0.09999999999999998,3,True,-
B136,MA20,M,0.0,0.5,0.55,0.050000000000000044,2,True,-,0.5,0.55,0.050000000000000044,2,17,0.5,0.55,0.050000000000000044,2,True,-
B136,MA20,M,150.0,0.45,0.55,0.10000000000000003,3,True,-,0.45,0.55,0.10000000000000003,3,17,0.45,0.55,0.10000000000000003,3,True,-
B136,MA20,M,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.4,0.55,0.15000000000000002,4,17,0.4,0.55,0.15000000000000002,4,True,-
B136,MA20,W,0.0,0.55,0.6,0.04999999999999993,2,True,-,0.55,0.6,0.04999999999999993,2,17,0.55,0.6,0.04999999999999993,2,True,-
B136,MA20,W,150.0,0.5,0.6,0.09999999999999998,3,True,-,0.5,0.6,0.09999999999999998,3,17,0.5,0.6,0.09999999999999998,3,True,-
B136,MA20,W,300.0,0.45,0.6,0.14999999999999997,4,True,-,0.45,0.6,0.14999999999999997,4,17,0.45,0.6,0.14999999999999997,4,True,-
B136,TOP10,M,0.0,0.45,0.5,0.04999999999999999,2,True,-,0.45,0.5,0.04999999999999999,2,17,0.45,0.5,0.04999999999999999,2,True,-
B136,TOP10,M,150.0,0.4,0.5,0.09999999999999998,3,True,-,0.4,0.5,0.09999999999999998,3,17,0.4,0.5,0.09999999999999998,3,True,-
B136,TOP10,M,300.0,0.35,0.5,0.15000000000000002,4,True,-,0.35,0.5,0.15000000000000002,4,17,0.35,0.5,0.15000000000000002,4,True,-
B136,TOP10,W,0.0,,,0.0,0,True,SHARPE,0.5,0.55,0.050000000000000044,2,0,,,0.0,0,True,SHARPE
B136,TOP10,W,150.0,,,0.0,0,True,SCALE,0.45,0.55,0.10000000000000003,3,5,,,0.0,0,True,SHARPE
B136,TOP10,W,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.4,0.55,0.15000000000000002,4,9,,,0.0,0,True,SHARPE
B136,TOP20,M,0.0,0.5,0.55,0.050000000000000044,2,True,-,0.5,0.55,0.050000000000000044,2,17,0.5,0.55,0.050000000000000044,2,True,-
B136,TOP20,M,150.0,0.45,0.55,0.10000000000000003,3,True,-,0.45,0.55,0.10000000000000003,3,17,0.45,0.55,0.10000000000000003,3,True,-
B136,TOP20,M,300.0,0.4,0.55,0.15000000000000002,4,True,-,0.4,0.55,0.15000000000000002,4,17,0.4,0.55,0.15000000000000002,4,True,-
B136,TOP20,W,0.0,0.55,0.6,0.04999999999999993,2,True,-,0.55,0.6,0.04999999999999993,2,17,0.55,0.6,0.04999999999999993,2,True,-
B136,TOP20,W,150.0,0.5,0.6,0.09999999999999998,3,True,-,0.5,0.6,0.09999999999999998,3,17,0.5,0.6,0.09999999999999998,3,True,-
B136,TOP20,W,300.0,0.45,0.6,0.14999999999999997,4,True,-,0.45,0.6,0.14999999999999997,4,17,0.45,0.6,0.14999999999999997,4,True,-
SMALL663,EWall,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,EWall,M,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,EWall,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,3,,,0.0,0,True,SHARPE
SMALL663,EWall,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,EWall,W,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,EWall,W,300.0,,,0.0,0,True,SCALE,,,0.0,0,3,,,0.0,0,True,SHARPE
SMALL663,MA-DG,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA-DG,M,150.0,,,0.0,0,True,SCALE,,,0.0,0,5,,,0.0,0,True,SHARPE
SMALL663,MA-DG,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,11,,,0.0,0,True,SHARPE
SMALL663,MA-DG,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA-DG,W,150.0,,,0.0,0,True,SCALE,,,0.0,0,4,,,0.0,0,True,SHARPE
SMALL663,MA-DG,W,300.0,,,0.0,0,True,SCALE,,,0.0,0,9,,,0.0,0,True,SHARPE
SMALL663,MA-RS,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA-RS,M,150.0,,,0.0,0,True,SCALE,,,0.0,0,2,,,0.0,0,True,SHARPE
SMALL663,MA-RS,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,5,,,0.0,0,True,SHARPE
SMALL663,MA-RS,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA-RS,W,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA-RS,W,300.0,,,0.0,0,True,SCALE,,,0.0,0,3,,,0.0,0,True,SHARPE
SMALL663,MA20,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA20,M,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA20,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,2,,,0.0,0,True,SHARPE
SMALL663,MA20,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA20,W,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,MA20,W,300.0,,,0.0,0,True,SCALE,0.45,0.45,0.0,1,2,,,0.0,0,True,SHARPE
SMALL663,TOP10,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP10,M,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP10,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,3,,,0.0,0,True,SHARPE
SMALL663,TOP10,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP10,W,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP10,W,300.0,,,0.0,0,True,SCALE,0.35,0.4,0.050000000000000044,2,1,,,0.0,0,True,SHARPE
SMALL663,TOP20,M,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP20,M,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP20,M,300.0,,,0.0,0,True,SCALE,,,0.0,0,2,,,0.0,0,True,SHARPE
SMALL663,TOP20,W,0.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP20,W,150.0,,,0.0,0,True,SHARPE,,,0.0,0,0,,,0.0,0,True,SHARPE
SMALL663,TOP20,W,300.0,,,0.0,0,True,SCALE,0.4,0.45,0.04999999999999999,2,2,,,0.0,0,True,SHARPE
U56,EWall,M,0.0,0.65,0.65,0.0,1,True,-,0.65,0.65,0.0,1,17,0.65,0.65,0.0,1,True,-
U56,EWall,M,150.0,0.6,0.65,0.050000000000000044,2,True,-,0.6,0.65,0.050000000000000044,2,17,0.6,0.65,0.050000000000000044,2,True,-
U56,EWall,M,300.0,0.55,0.65,0.09999999999999998,3,True,-,0.55,0.65,0.09999999999999998,3,17,0.55,0.65,0.09999999999999998,3,True,-
U56,EWall,W,0.0,0.65,0.65,0.0,1,True,-,0.65,0.65,0.0,1,17,0.65,0.65,0.0,1,True,-
U56,EWall,W,150.0,0.6,0.65,0.050000000000000044,2,True,-,0.6,0.65,0.050000000000000044,2,17,0.6,0.65,0.050000000000000044,2,True,-
U56,EWall,W,300.0,0.55,0.65,0.09999999999999998,3,True,-,0.55,0.65,0.09999999999999998,3,17,0.55,0.65,0.09999999999999998,3,True,-
U56,MA-DG,M,0.0,0.9,1.0,0.09999999999999998,3,True,-,0.9,1.0,0.09999999999999998,3,17,0.9,1.0,0.09999999999999998,3,True,-
U56,MA-DG,M,150.0,0.85,1.0,0.15000000000000002,4,True,-,0.85,1.0,0.15000000000000002,4,17,0.85,1.0,0.15000000000000002,4,True,-
U56,MA-DG,M,300.0,0.8,1.0,0.19999999999999996,5,True,-,0.8,1.0,0.19999999999999996,5,17,0.8,1.0,0.19999999999999996,5,True,-
U56,MA-DG,W,0.0,1.0,1.0,0.0,1,True,-,1.0,1.0,0.0,1,17,1.0,1.0,0.0,1,True,-
U56,MA-DG,W,150.0,0.95,1.0,0.050000000000000044,2,True,-,0.95,1.0,0.050000000000000044,2,17,0.95,1.0,0.050000000000000044,2,True,-
U56,MA-DG,W,300.0,0.9,1.0,0.09999999999999998,3,True,-,0.9,1.0,0.09999999999999998,3,17,0.9,1.0,0.09999999999999998,3,True,-
U56,MA-RS,M,0.0,0.65,0.8,0.15000000000000002,4,True,-,0.65,0.8,0.15000000000000002,4,17,0.65,0.8,0.15000000000000002,4,True,-
U56,MA-RS,M,150.0,0.6,0.8,0.20000000000000007,5,True,-,0.6,0.8,0.20000000000000007,5,17,0.6,0.8,0.20000000000000007,5,True,-
U56,MA-RS,M,300.0,0.6,0.8,0.20000000000000007,5,True,-,0.6,0.8,0.20000000000000007,5,17,0.6,0.8,0.20000000000000007,5,True,-
U56,MA-RS,W,0.0,0.7,0.8,0.10000000000000009,3,True,-,0.7,0.8,0.10000000000000009,3,17,0.7,0.8,0.10000000000000009,3,True,-
U56,MA-RS,W,150.0,0.7,0.8,0.10000000000000009,3,True,-,0.7,0.8,0.10000000000000009,3,17,0.7,0.8,0.10000000000000009,3,True,-
U56,MA-RS,W,300.0,0.65,0.8,0.15000000000000002,4,True,-,0.65,0.8,0.15000000000000002,4,17,0.65,0.8,0.15000000000000002,4,True,-
U56,MA20,M,0.0,0.5,0.7,0.19999999999999996,5,True,-,0.5,0.7,0.19999999999999996,5,17,0.5,0.7,0.19999999999999996,5,True,-
U56,MA20,M,150.0,0.5,0.7,0.19999999999999996,5,True,-,0.5,0.7,0.19999999999999996,5,17,0.5,0.7,0.19999999999999996,5,True,-
U56,MA20,M,300.0,0.45,0.7,0.24999999999999994,6,True,-,0.45,0.7,0.24999999999999994,6,17,0.45,0.7,0.24999999999999994,6,True,-
U56,MA20,W,0.0,0.6,0.7,0.09999999999999998,3,True,-,0.6,0.7,0.09999999999999998,3,17,0.6,0.7,0.09999999999999998,3,True,-
U56,MA20,W,150.0,0.55,0.7,0.1499999999999999,4,True,-,0.55,0.7,0.1499999999999999,4,17,0.55,0.7,0.1499999999999999,4,True,-
U56,MA20,W,300.0,0.5,0.7,0.19999999999999996,5,True,-,0.5,0.7,0.19999999999999996,5,17,0.5,0.7,0.19999999999999996,5,True,-
U56,TOP10,M,0.0,0.45,0.55,0.10000000000000003,3,True,-,0.45,0.55,0.10000000000000003,3,17,0.45,0.55,0.10000000000000003,3,True,-
U56,TOP10,M,150.0,0.4,0.55,0.15000000000000002,4,True,-,0.4,0.55,0.15000000000000002,4,17,0.4,0.55,0.15000000000000002,4,True,-
U56,TOP10,M,300.0,0.35,0.55,0.20000000000000007,5,True,-,0.35,0.55,0.20000000000000007,5,17,0.35,0.55,0.20000000000000007,5,True,-
U56,TOP10,W,0.0,0.5,0.6,0.09999999999999998,3,True,-,0.5,0.6,0.09999999999999998,3,17,0.5,0.6,0.09999999999999998,3,True,-
U56,TOP10,W,150.0,0.45,0.6,0.14999999999999997,4,True,-,0.45,0.6,0.14999999999999997,4,17,0.45,0.6,0.14999999999999997,4,True,-
U56,TOP10,W,300.0,0.4,0.6,0.19999999999999996,5,True,-,0.4,0.6,0.19999999999999996,5,17,0.4,0.6,0.19999999999999996,5,True,-
U56,TOP20,M,0.0,0.5,0.7,0.19999999999999996,5,True,-,0.5,0.7,0.19999999999999996,5,17,0.5,0.7,0.19999999999999996,5,True,-
U56,TOP20,M,150.0,0.45,0.7,0.24999999999999994,6,True,-,0.45,0.7,0.24999999999999994,6,17,0.45,0.7,0.24999999999999994,6,True,-
U56,TOP20,M,300.0,0.4,0.7,0.29999999999999993,7,True,-,0.4,0.7,0.29999999999999993,7,17,0.4,0.7,0.29999999999999993,7,True,-
U56,TOP20,W,0.0,0.55,0.65,0.09999999999999998,3,True,-,0.55,0.65,0.09999999999999998,3,17,0.55,0.65,0.09999999999999998,3,True,-
U56,TOP20,W,150.0,0.5,0.65,0.15000000000000002,4,True,-,0.5,0.65,0.15000000000000002,4,17,0.5,0.65,0.15000000000000002,4,True,-
U56,TOP20,W,300.0,0.45,0.65,0.2,5,True,-,0.45,0.65,0.2,5,17,0.45,0.65,0.2,5,True,-
