panel,k_bps,n,L_H1,L_H2,L_OOS,L_DD,L_CAGR,pass4b,pass4a
U56,0,32,1.0,1.0,1.0,0.75,0.65625,0.40625,0.0
U56,10,256,1.0,1.0,1.0,0.75,0.65625,0.40625,0.0
U56,25,256,1.0,1.0,1.0,0.75,0.65625,0.40625,0.0
U56,50,256,1.0,1.0,1.0,0.75,0.65625,0.40625,0.0
U56,100,256,1.0,1.0,1.0,0.75,0.625,0.375,0.0
U56,200,256,0.88671875,0.96484375,0.98046875,0.74609375,0.58203125,0.3359375,0.0
U56,400,256,0.75,0.75390625,0.765625,0.74609375,0.43359375,0.27734375,0.015625
B136,0,32,1.0,0.75,1.0,0.5,0.875,0.375,0.0
B136,10,256,1.0,0.75,0.9921875,0.5,0.875,0.375,0.0
B136,25,256,1.0,0.7578125,0.98046875,0.5,0.875,0.375,0.0
B136,50,256,1.0,0.75390625,0.9765625,0.5,0.875,0.375,0.0
B136,100,256,1.0,0.75,0.92578125,0.47265625,0.875,0.375,0.0
B136,200,256,0.94921875,0.75,0.75,0.39453125,0.84375,0.34375,0.0
B136,400,256,0.75,0.5625,0.72265625,0.3359375,0.625,0.25,0.0
