panel,mode,points,p4a,p4b
B136,DRIFT,24,0,4
B136,FRESH,3,0,1
B136,TRANS,18,0,3
U56,DRIFT,24,0,4
U56,FRESH,3,0,1
U56,TRANS,18,0,6
