test,panel,arm,pick,isSharpe,oCAGR,oSharpe,oMaxDD,vs_SPY,vs_RULESv2
WF-A,B136,MA-THRESH/DEGROSS,theta -0.25 cad Q,1.2156044088420448,0.13580129917386707,1.1384051662705015,-0.24163593668050243,0.2563812426732699,-0.14667964463114425
WF-A,B136,MA-THRESH/RESPREAD,theta +0.20 cad Q,1.4584969655039113,0.21106474661139196,1.0664525071109843,-0.2952507655794452,0.1844285835137527,-0.21863230379066145
WF-A,B136,QUANTILE-F/DEGROSS,theta +0.30 cad Q,1.679729746769527,0.011521757126825127,1.0395942568107592,-0.017013510612959637,0.15757033321352765,-0.2454905540908865
WF-A,B136,QUANTILE-F/RESPREAD,theta +0.30 cad Q,1.6812273599777836,0.286317737777563,1.097359632655937,-0.33311134925916486,0.21533570905870536,-0.18772517824570878
WF-A,B136,QUANTILE-M/DEGROSS,theta +0.30 cad Q,1.6920626932734042,0.011973634580880077,1.007014636118324,-0.017856605567415196,0.1249907125210925,-0.27807017478332163
WF-A,B136,QUANTILE-M/RESPREAD,theta +0.30 cad Q,1.6641792238226476,0.2649615104321117,1.0593464766435776,-0.3192860762127061,0.17732255304634603,-0.2257383342580681
WF-A,SMALL439,MA-THRESH/DEGROSS,theta -0.40 cad Q,0.7368408498827737,0.07975352536349556,0.5874263980687731,-0.3246766886644833,-0.294584102981735,-0.6976584128328727
WF-A,SMALL439,MA-THRESH/RESPREAD,theta +0.30 cad M,0.8874006931164304,0.24022985785064388,1.1041600612175628,-0.3077804460589927,0.22214956016705478,-0.1809247496840829
WF-A,SMALL439,QUANTILE-F/DEGROSS,theta -0.12 cad Q,0.7161922147039942,0.0700635529594471,0.6358458957606494,-0.25301807512682406,-0.24616460528985862,-0.6492389151409963
WF-A,SMALL439,QUANTILE-F/RESPREAD,theta -0.12 cad Q,0.7149540647812789,0.09327594784120907,0.6294146020393402,-0.347538564984211,-0.25259589901116786,-0.6556702088623055
WF-A,SMALL439,QUANTILE-M/DEGROSS,theta -0.12 cad Q,0.7213779117886006,0.070284119437932,0.6364559184268215,-0.2542594664480021,-0.24555458262368657,-0.6486288924748242
WF-A,SMALL439,QUANTILE-M/RESPREAD,theta -0.12 cad Q,0.7192034473130972,0.09351835230738037,0.630666654070711,-0.3483239520605923,-0.25134384697979706,-0.6544181568309347
WF-A,U56,MA-THRESH/DEGROSS,theta +0.30 cad Q,1.2402236316509476,0.010463121750692306,0.5676700137783639,-0.033800585095968394,-0.31097615454350414,-0.7140176470076942
WF-A,U56,MA-THRESH/RESPREAD,theta +0.20 cad Q,1.408760308216809,0.21384920836366406,0.9389440910869066,-0.32510635940216404,0.060297922765038536,-0.34274356969915154
WF-A,U56,QUANTILE-F/DEGROSS,theta +0.30 cad Q,1.4742727753158178,0.012217383125935788,0.8529767361791104,-0.02502597686765895,-0.02566943214275763,-0.4287109246069477
WF-A,U56,QUANTILE-F/RESPREAD,theta +0.20 cad Q,1.481468781105229,0.21930976502036748,0.9781154447151003,-0.327366140823813,0.09946927639323222,-0.30357221607095786
WF-A,U56,QUANTILE-M/DEGROSS,theta +0.30 cad W,1.5148518481104825,0.01619101768002551,1.0736473612224007,-0.02033753101922664,0.19500119290053264,-0.20804029956365744
WF-A,U56,QUANTILE-M/RESPREAD,theta +0.30 cad W,1.5238506548556647,0.29695538425198076,1.0897316298205413,-0.32205533760018146,0.21108546149867324,-0.19195603096551683
WF-B,U56,family pick (DEGROSS),MA in 6/27,,0.0850949924842186,1.1214079803664212,,,0.7037037037037037
WF-B,B136,family pick (DEGROSS),MA in 11/27,,0.07997382207879113,1.0764559971080703,,,0.5925925925925926
WF-B,SMALL439,family pick (DEGROSS),MA in 15/27,,0.04680772900027868,0.6221039937671992,,,0.5925925925925926
WF-C,U56,MA-THRESH,IS-mean constant,-0.3161627705143136,-0.3377357074249473,0.2348426761489872,0.33815918143946705,,0.2716685671528887
WF-C,U56,QUANTILE-M,IS-mean constant,-0.027057214507940935,-0.035149814047120885,0.028313715459212352,0.03573823046935804,,0.020427740364185678
WF-C,U56,QUANTILE-F,IS-mean constant,-0.02263782508521908,-0.03628747682282935,0.02767507066116038,0.03638177529005176,,0.020346026024347128
WF-C,B136,MA-THRESH,IS-mean constant,-0.28641194432312383,-0.5287278473518929,0.35618927417803925,0.5351729957853456,,0.3215073945863053
WF-C,B136,QUANTILE-M,IS-mean constant,-0.03029519901804468,-0.03338288955939142,0.02610340674980085,0.03338288955939142,,0.015030316997142733
WF-C,B136,QUANTILE-F,IS-mean constant,-0.03174132996512243,-0.03353270621685232,0.026004138496264557,0.03353270621685232,,0.012585493959830128
WF-C,SMALL439,MA-THRESH,IS-mean constant,-0.020087613597061547,-0.5917511576366304,0.5789221409058265,0.597521783125328,,0.596560274835983
WF-C,SMALL439,QUANTILE-M,IS-mean constant,-0.03266382763989183,-0.00016509507986892,0.03477798344979069,0.021575799073174723,,0.03343835090561726
WF-C,SMALL439,QUANTILE-F,IS-mean constant,-0.03314069429721336,2.5883199980055355e-05,0.0347957823792481,0.02127936458688367,,0.03363298909597344
