panel,m,n,n_elig,n_held,realised_share,ov_INV_NONE,ov_POS_NONE,ov_INV_POS
u56,0.05,2,37.499662086055416,1.9556206352782157,0.05215035353626375,0.06854021175940526,0.48531951640759935,0.0020274836674926784
u56,0.1,4,37.499662086055416,3.9443568371254787,0.10518379680525769,0.15936262993595723,0.5459927697143286,0.04078674948240165
u56,0.2,7,37.499662086055416,6.912142374408651,0.18432545761469654,0.3043349681781761,0.6203712534868201,0.15499038770045753
u56,0.35,13,37.499662086055416,12.687767515206128,0.33834351589861894,0.5249168934018111,0.7029864674992524,0.3601934113232022
u56,0.53,20,37.499662086055416,19.08988510925884,0.509068190146641,0.6935221299088437,0.7991699702848111,0.5611286262790304
u56,0.75,28,37.499662086055416,25.914845685965307,0.6910687788731295,0.8295153262399294,0.8750264790301057,0.7376127861263412
u56,1.0,37,37.499662086055416,32.78463617931967,0.8742648428160351,0.9327712345795801,0.9510506538999611,0.8939609788001616
broad,0.05,5,91.45956296463167,4.9599008785762555,0.054230533339573235,0.11577709479827075,0.4247435251039666,0.010630879970821398
broad,0.1,9,91.45956296463167,8.932191935120523,0.09766274455711854,0.2191727780970191,0.49405295565930574,0.05269922588972984
broad,0.2,18,91.45956296463167,17.77382293309304,0.19433531450359495,0.3943175788667702,0.6027529102254409,0.20243340189121473
broad,0.35,32,91.45956296463167,31.307501689569722,0.342309767013392,0.5803444151675222,0.7079791361875957,0.4027283364261179
broad,0.53,48,91.45956296463167,46.138094165352555,0.5044644066711167,0.7188998980408731,0.7981550858487737,0.5773446501268079
broad,0.75,69,91.45956296463167,64.40482090560937,0.7041890297520376,0.8461122390354546,0.8793869130602024,0.7520895906887287
broad,1.0,91,91.45956296463167,81.04956071187205,0.8861791821945916,0.9455733205804969,0.9554239279160739,0.9092429574510931
small,0.05,7,141.22572445348246,6.970005083884088,0.04935365076622353,0.09184325011937522,0.3968166280141871,0.011284518797867389
small,0.1,14,141.22572445348246,13.922216573462125,0.09858130752976159,0.19043541557013632,0.46506838088433977,0.03919992969134333
small,0.2,28,141.22572445348246,27.778342653787494,0.19669463733526285,0.3568366772679598,0.5483151613249758,0.15660509513922116
small,0.35,49,141.22572445348246,48.1067615658363,0.3406373856604426,0.5439433920906206,0.6364347727717176,0.3327845150715465
small,0.53,75,141.22572445348246,72.02948652770716,0.5100309225280877,0.7002749076297982,0.7387552736254653,0.5227762264863793
small,0.75,106,141.22572445348246,97.84011184544993,0.6927924230806614,0.8249788584262148,0.844171066731791,0.7096577434956115
small,1.0,141,141.22572445348246,121.14743263853585,0.8578283673697132,0.9297573979310043,0.9326972542027094,0.8768366768461919
