output,cls,noise_mult,seed_noise,tol,L_lo,L_hi,n_rungs,band_ok,wider_than_point,covers_BAND_REC,covers_BAND_NEAR,swing_at_21,swing_at_42,swing_at_126,swing_at_252,first_unsafe_below,first_unsafe_above
O_REACH,OBS,1.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_REACH,OBS,1.5,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_REACH,OBS,2.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_REACH,OBS,3.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
B_PPICK,BAR,1.0,0.03237500000000001,0.03237500000000001,42,100,5,True,True,False,False,0.051583333333333335,0.02533333333333333,0.042249999999999996,0.08413888888888889,32.0,126.0
B_PPICK,BAR,1.5,0.03237500000000001,0.04856250000000001,26,126,8,True,True,False,True,0.051583333333333335,0.02533333333333333,0.042249999999999996,0.08413888888888889,21.0,160.0
B_PPICK,BAR,2.0,0.03237500000000001,0.06475000000000002,10,200,13,True,True,False,True,0.051583333333333335,0.02533333333333333,0.042249999999999996,0.08413888888888889,5.0,252.0
B_PPICK,BAR,3.0,0.03237500000000001,0.09712500000000002,1,252,17,True,True,True,True,0.051583333333333335,0.02533333333333333,0.042249999999999996,0.08413888888888889,,378.0
B_Q95,BAR,1.0,0.027238117650985764,0.027238117650985764,16,200,12,True,True,False,True,0.017844081245302505,0.012501818848226518,0.013418492261268658,0.04481710559393131,10.0,252.0
B_Q95,BAR,1.5,0.027238117650985764,0.04085717647647864,1,200,16,True,True,False,True,0.017844081245302505,0.012501818848226518,0.013418492261268658,0.04481710559393131,,252.0
B_Q95,BAR,2.0,0.027238117650985764,0.05447623530197153,1,252,17,True,True,True,True,0.017844081245302505,0.012501818848226518,0.013418492261268658,0.04481710559393131,,378.0
B_Q95,BAR,3.0,0.027238117650985764,0.08171435295295729,1,756,20,True,True,True,True,0.017844081245302505,0.012501818848226518,0.013418492261268658,0.04481710559393131,,1008.0
B_NULLMED,BAR,1.0,0.015510691698623224,0.015510691698623224,16,160,11,True,True,False,True,0.012392291478511189,0.008139114845105646,0.011010435352936516,0.024236091796688872,10.0,200.0
B_NULLMED,BAR,1.5,0.015510691698623224,0.023266037547934836,1,200,16,True,True,False,True,0.012392291478511189,0.008139114845105646,0.011010435352936516,0.024236091796688872,,252.0
B_NULLMED,BAR,2.0,0.015510691698623224,0.031021383397246447,1,252,17,True,True,True,True,0.012392291478511189,0.008139114845105646,0.011010435352936516,0.024236091796688872,,378.0
B_NULLMED,BAR,3.0,0.015510691698623224,0.04653207509586967,1,378,18,True,True,True,True,0.012392291478511189,0.008139114845105646,0.011010435352936516,0.024236091796688872,,504.0
B_RECRANGE,BAR,1.0,0.03634760034521756,0.03634760034521756,32,160,8,True,True,False,True,0.049911553056559955,0.022674257649740907,0.0201933890538913,0.06771321025042415,26.0,200.0
B_RECRANGE,BAR,1.5,0.03634760034521756,0.054521400517826335,21,200,11,True,True,False,True,0.049911553056559955,0.022674257649740907,0.0201933890538913,0.06771321025042415,16.0,252.0
B_RECRANGE,BAR,2.0,0.03634760034521756,0.07269520069043511,16,252,13,True,True,True,True,0.049911553056559955,0.022674257649740907,0.0201933890538913,0.06771321025042415,10.0,378.0
B_RECRANGE,BAR,3.0,0.03634760034521756,0.10904280103565267,1,504,19,True,True,True,True,0.049911553056559955,0.022674257649740907,0.0201933890538913,0.06771321025042415,,756.0
B_BOOT95,BAR,1.0,0.007440887176473926,0.007440887176473926,1,126,14,True,True,False,True,0.004520794198989405,0.0029405362214397525,0.005206278239681139,0.010644448570745958,,160.0
B_BOOT95,BAR,1.5,0.007440887176473926,0.011161330764710889,1,252,17,True,True,True,True,0.004520794198989405,0.0029405362214397525,0.005206278239681139,0.010644448570745958,,378.0
B_BOOT95,BAR,2.0,0.007440887176473926,0.014881774352947852,1,252,17,True,True,True,True,0.004520794198989405,0.0029405362214397525,0.005206278239681139,0.010644448570745958,,378.0
B_BOOT95,BAR,3.0,0.007440887176473926,0.022322661529421778,1,756,20,True,True,True,True,0.004520794198989405,0.0029405362214397525,0.005206278239681139,0.010644448570745958,,1008.0
B_PCTRANK,BAR,1.0,0.04325,0.04325,32,160,8,True,True,False,True,0.050972222222222224,0.02634722222222223,0.03598611111111111,0.07033333333333333,26.0,200.0
B_PCTRANK,BAR,1.5,0.04325,0.06487499999999999,16,200,12,True,True,False,True,0.050972222222222224,0.02634722222222223,0.03598611111111111,0.07033333333333333,10.0,252.0
B_PCTRANK,BAR,2.0,0.04325,0.0865,1,252,17,True,True,True,True,0.050972222222222224,0.02634722222222223,0.03598611111111111,0.07033333333333333,,378.0
B_PCTRANK,BAR,3.0,0.04325,0.12974999999999998,1,378,18,True,True,True,True,0.050972222222222224,0.02634722222222223,0.03598611111111111,0.07033333333333333,,504.0
B_PMAX,BAR,1.0,0.03148611111111112,0.03148611111111112,42,100,5,True,True,False,False,0.04686111111111112,0.024430555555555553,0.038,0.07254166666666666,32.0,126.0
B_PMAX,BAR,1.5,0.03148611111111112,0.047229166666666676,21,160,10,True,True,False,True,0.04686111111111112,0.024430555555555553,0.038,0.07254166666666666,16.0,200.0
B_PMAX,BAR,2.0,0.03148611111111112,0.06297222222222223,5,200,14,True,True,False,True,0.04686111111111112,0.024430555555555553,0.038,0.07254166666666666,2.0,252.0
B_PMAX,BAR,3.0,0.03148611111111112,0.09445833333333335,1,252,17,True,True,True,True,0.04686111111111112,0.024430555555555553,0.038,0.07254166666666666,,378.0
B_MODALRUNG,BAR,1.0,0.2222222222222222,0.2222222222222222,32,100,6,True,True,False,False,0.20833333333333334,0.1527777777777778,0.2361111111111111,0.4166666666666667,26.0,126.0
B_MODALRUNG,BAR,1.5,0.2222222222222222,0.3333333333333333,1,200,16,True,True,False,True,0.20833333333333334,0.1527777777777778,0.2361111111111111,0.4166666666666667,,252.0
B_MODALRUNG,BAR,2.0,0.2222222222222222,0.4444444444444444,1,252,17,True,True,True,True,0.20833333333333334,0.1527777777777778,0.2361111111111111,0.4166666666666667,,378.0
B_MODALRUNG,BAR,3.0,0.2222222222222222,0.6666666666666666,1,378,18,True,True,True,True,0.20833333333333334,0.1527777777777778,0.2361111111111111,0.4166666666666667,,504.0
B_MODALMATCH,BAR,1.0,0.1111111111111111,0.1111111111111111,16,100,9,True,True,False,False,0.09722222222222222,0.09722222222222222,0.125,0.16666666666666666,10.0,126.0
B_MODALMATCH,BAR,1.5,0.1111111111111111,0.16666666666666666,1,252,17,True,True,True,True,0.09722222222222222,0.09722222222222222,0.125,0.16666666666666666,,378.0
B_MODALMATCH,BAR,2.0,0.1111111111111111,0.2222222222222222,1,378,18,True,True,True,True,0.09722222222222222,0.09722222222222222,0.125,0.16666666666666666,,504.0
B_MODALMATCH,BAR,3.0,0.1111111111111111,0.3333333333333333,1,1008,21,True,True,True,True,0.09722222222222222,0.09722222222222222,0.125,0.16666666666666666,,
B_SD,BAR,1.0,0.009079398668726944,0.009079398668726944,42,160,7,True,True,False,True,0.015190873411048487,0.005799708986528488,0.006387446241436328,0.021161336943129605,32.0,200.0
