panel,book,gross,cadence,control,target_gross,realised_gross,realised_gross_sd,max_realised_gross,max_target_gross,gross_dev_mean,gross_dev_max,turn_per_yr
U56,TOP05,CORE,D,DRIFT,0.7418390287769784,0.7418390287769784,0.03576237002560223,0.9,0.9,0.0,0.0,42.26879883911186
U56,TOP05,CORE,D,NODRIFT_G,0.7418390287769784,0.7418390287769784,0.03576237002560223,0.9,0.9,0.0,0.0,42.26879883911186
U56,TOP05,CORE,D,NODRIFT_W,0.7418390287769784,0.7418390287769784,0.03576237002560223,0.9,0.9,0.0,0.0,42.26879883911186
U56,TOP05,EXT,D,DRIFT,0.9891187050359713,0.9891187050359713,0.0476831600341363,1.2000000000000002,1.2,0.0,0.0,56.34525483159362
U56,TOP05,EXT,D,NODRIFT_G,0.9891187050359713,0.9891187050359713,0.04768316003413628,1.2000000000000002,1.2,6.26497255352775e-18,1.1102230246251565e-16,56.34525483159362
U56,TOP05,EXT,D,NODRIFT_W,0.9891187050359713,0.9891187050359713,0.0476831600341363,1.2000000000000002,1.2,0.0,0.0,56.34525483159362
U56,TOP10,CORE,D,DRIFT,0.7370840827338129,0.737084082733813,0.05029249105694188,0.825,0.8249999999999998,0.0,0.0,32.862028191746866
U56,TOP10,CORE,D,NODRIFT_G,0.7370840827338129,0.737084082733813,0.05029249105694188,0.825,0.8249999999999998,0.0,0.0,32.862028191746866
U56,TOP10,CORE,D,NODRIFT_W,0.7370840827338129,0.737084082733813,0.05029249105694188,0.825,0.8249999999999998,0.0,0.0,32.862028191746866
U56,TOP10,EXT,D,DRIFT,0.9827787769784172,0.9827787769784172,0.06705665474258918,1.1,1.0999999999999999,0.0,0.0,43.80623939218606
U56,TOP10,EXT,D,NODRIFT_G,0.9827787769784172,0.9827787769784172,0.06705665474258918,1.1,1.0999999999999999,8.361616754708351e-19,1.1102230246251565e-16,43.80623939218606
U56,TOP10,EXT,D,NODRIFT_W,0.9827787769784172,0.9827787769784172,0.06705665474258918,1.1,1.0999999999999999,0.0,0.0,43.80623939218606
U56,TOP20,CORE,D,DRIFT,0.7158217176258992,0.7158217176258994,0.10440330370782006,0.7875000000000001,0.7874999999999998,0.0,0.0,23.02620470442472
U56,TOP20,CORE,D,NODRIFT_G,0.7158217176258992,0.7158217176258994,0.10440330370782006,0.7875000000000001,0.7874999999999998,0.0,0.0,23.02620470442472
U56,TOP20,CORE,D,NODRIFT_W,0.7158217176258992,0.7158217176258994,0.10440330370782006,0.7875000000000001,0.7874999999999998,0.0,0.0,23.02620470442472
U56,TOP20,EXT,D,DRIFT,0.9544289568345327,0.9544289568345322,0.13920440494376007,1.0500000000000003,1.0500000000000003,0.0,0.0,30.688497976072018
U56,TOP20,EXT,D,NODRIFT_G,0.9544289568345327,0.9544289568345322,0.13920440494376007,1.0500000000000003,1.0500000000000003,2.839205689098731e-18,2.220446049250313e-16,30.688497976072018
