panel,book,cost,direction,k,phase,lam,turnover,bracketed,dSharpe,dCAGR,dMaxDD,TE_cad,TE_lam,dTE
broad,EWALL,0.0,CAD->LAM,1.0,0.0,,1.8431001951477257,False,,,,0.0027080138464830876,,
broad,EWALL,0.0,CAD->LAM,5.0,0.0,,0.8458126283037612,True,0.0,0.0,0.0,0.0,0.0,0.0
broad,EWALL,0.0,CAD->LAM,5.0,1.0,,0.849118186292111,False,,,,0.00203335148347097,,
broad,EWALL,0.0,CAD->LAM,5.0,2.0,,0.8521617673044567,False,,,,0.0024226238549228734,,
broad,EWALL,0.0,CAD->LAM,5.0,3.0,,0.8496512325470619,False,,,,0.002411409601772756,,
broad,EWALL,0.0,CAD->LAM,5.0,4.0,,0.8509187827896603,False,,,,0.0024688140709669985,,
broad,EWALL,0.0,CAD->LAM,21.0,0.0,,0.4292681910269116,False,,,,0.004333526530304502,,
broad,EWALL,0.0,CAD->LAM,21.0,4.0,,0.425815017963791,False,,,,0.004794700291131366,,
broad,EWALL,0.0,CAD->LAM,21.0,8.0,,0.4198442590145047,False,,,,0.004732336312991146,,
broad,EWALL,0.0,CAD->LAM,21.0,13.0,,0.42511815382591933,False,,,,0.00460519105200254,,
broad,EWALL,0.0,CAD->LAM,21.0,17.0,,0.42393227151061275,False,,,,0.004571258390656037,,
broad,EWALL,0.0,CAD->LAM,63.0,0.0,,0.24981198530417748,False,,,,0.007911524730199161,,
broad,EWALL,0.0,CAD->LAM,63.0,13.0,,0.25000180426097734,False,,,,0.007240904062798203,,
broad,EWALL,0.0,CAD->LAM,63.0,25.0,,0.24828746793460899,False,,,,0.007952585051721438,,
broad,EWALL,0.0,CAD->LAM,63.0,38.0,,0.2470681926761036,False,,,,0.006758973230049468,,
broad,EWALL,0.0,CAD->LAM,63.0,50.0,,0.24961523621269108,False,,,,0.007098998181532454,,
broad,EWALL,0.0,LAM->CAD,,,1.0,0.8458126283037612,True,0.00036719877703306203,-0.00014636082663255223,0.0009635044875644927,0.0018912384376886067,0.0,0.0018912384376886067
broad,EWALL,0.0,LAM->CAD,,,0.7,0.8456267391201243,True,0.0003471599148416882,-0.00014805191105302096,0.0009655935442454688,0.0018924376896511347,3.0457930857104915e-05,0.0018619797587940297
broad,EWALL,0.0,LAM->CAD,,,0.5,0.845380074897722,True,0.00035683030967303964,-0.00014489767338726756,0.0009683656019400244,0.0018940290278183893,7.703535768065271e-05,0.0018169936701377366
broad,EWALL,0.0,LAM->CAD,,,0.35,0.8451791625490633,True,0.0003595316016002936,-0.00014260955570799538,0.0009706234916996848,0.001895325200751698,0.0001371185738585019,0.0017582066268931962
broad,EWALL,0.0,LAM->CAD,,,0.25,0.8449546709795016,True,0.0003207699273604092,-0.00014619111216288005,0.000973146369062039,0.001896773493493107,0.00019751242719166128,0.0016992610663014458
broad,EWALL,0.0,LAM->CAD,,,0.15,0.8445951568250757,True,0.00012446187034331757,-0.0001712908362283827,0.0009771866549539987,0.0018990928756476592,0.00029020203289634183,0.0016088908427513175
broad,EWALL,0.0,LAM->CAD,,,0.1,0.8442294506009179,True,-0.00016358711545882976,-0.0002102408188281446,0.0009812965279245578,0.001901452205536839,0.0003665945385338936,0.0015348576670029452
broad,EWALL,0.0,LAM->CAD,,,0.06,0.8437925149369372,True,-0.0006541155305694879,-0.0002787473965042142,0.0009862035608247388,0.0019042710675183446,0.0004761433408313278,0.0014281277266870167
broad,EWALL,5.0,CAD->LAM,1.0,0.0,,1.8431001951477257,False,,,,0.0027080138464830876,,
broad,EWALL,5.0,CAD->LAM,5.0,0.0,,0.8458126283037612,True,0.0,0.0,0.0,0.0,0.0,0.0
broad,EWALL,5.0,CAD->LAM,5.0,1.0,,0.849118186292111,False,,,,0.00203335148347097,,
broad,EWALL,5.0,CAD->LAM,5.0,2.0,,0.8521617673044567,False,,,,0.0024226238549228734,,
broad,EWALL,5.0,CAD->LAM,5.0,3.0,,0.8496512325470619,False,,,,0.002411409601772756,,
broad,EWALL,5.0,CAD->LAM,5.0,4.0,,0.8509187827896603,False,,,,0.0024688140709669985,,
broad,EWALL,5.0,CAD->LAM,21.0,0.0,,0.4292681910269116,False,,,,0.004333526530304502,,
broad,EWALL,5.0,CAD->LAM,21.0,4.0,,0.425815017963791,False,,,,0.004794700291131366,,
broad,EWALL,5.0,CAD->LAM,21.0,8.0,,0.4198442590145047,False,,,,0.004732336312991146,,
broad,EWALL,5.0,CAD->LAM,21.0,13.0,,0.42511815382591933,False,,,,0.00460519105200254,,
broad,EWALL,5.0,CAD->LAM,21.0,17.0,,0.42393227151061275,False,,,,0.004571258390656037,,
broad,EWALL,5.0,CAD->LAM,63.0,0.0,,0.24981198530417748,False,,,,0.007911524730199161,,
broad,EWALL,5.0,CAD->LAM,63.0,13.0,,0.25000180426097734,False,,,,0.007240904062798203,,
broad,EWALL,5.0,CAD->LAM,63.0,25.0,,0.24828746793460899,False,,,,0.007952585051721438,,
broad,EWALL,5.0,CAD->LAM,63.0,38.0,,0.2470681926761036,False,,,,0.006758973230049468,,
broad,EWALL,5.0,CAD->LAM,63.0,50.0,,0.24961523621269108,False,,,,0.007098998181532454,,
broad,EWALL,5.0,LAM->CAD,,,1.0,0.8458126283037612,True,0.0003368988129843764,-0.00014670079994991148,0.0009699717228162652,0.0018912384376886067,0.0,0.0018912384376886067
broad,EWALL,5.0,LAM->CAD,,,0.7,0.8456267391201243,True,0.0003169308773953716,-0.0001483903171375367,0.0009720750120503219,0.0018924376896511347,3.0457930857104915e-05,0.0018619797587940297
broad,EWALL,5.0,LAM->CAD,,,0.5,0.845380074897722,True,0.00032666040092155235,-0.00014523690563805758,0.000974865955520765,0.0018940290278183893,7.703535768065271e-05,0.0018169936701377366
broad,EWALL,5.0,LAM->CAD,,,0.35,0.8451791625490633,True,0.0003294406971396935,-0.00014294903327777275,0.000977139228077628,0.001895325200751698,0.0001371185738585019,0.0017582066268931962
broad,EWALL,5.0,LAM->CAD,,,0.25,0.8449546709795016,True,0.00029075125418787096,-0.00014652847198956542,0.000979679293573621,0.001896773493493107,0.00019751242719166128,0.0016992610663014458
broad,EWALL,5.0,LAM->CAD,,,0.15,0.8445951568250757,True,9.450489658568983e-05,-0.00017161745050836563,0.0009837471055652025,0.0018990928756476592,0.00029020203289634183,0.0016088908427513175
broad,EWALL,5.0,LAM->CAD,,,0.1,0.8442294506009179,True,-0.00019352193557464759,-0.00021055121967103463,0.000987884978727982,0.001901452205536839,0.0003665945385338936,0.0015348576670029452
broad,EWALL,5.0,LAM->CAD,,,0.06,0.8437925149369372,True,-0.0006840549209734537,-0.0002790293197023619,0.0009928254628877031,0.0019042710675183446,0.0004761433408313278,0.0014281277266870167
broad,EWALL,10.0,CAD->LAM,1.0,0.0,,1.8431001951477257,False,,,,0.0027080138464830876,,
broad,EWALL,10.0,CAD->LAM,5.0,0.0,,0.8458126283037612,True,0.0,0.0,0.0,0.0,0.0,0.0
broad,EWALL,10.0,CAD->LAM,5.0,1.0,,0.849118186292111,False,,,,0.00203335148347097,,
broad,EWALL,10.0,CAD->LAM,5.0,2.0,,0.8521617673044567,False,,,,0.0024226238549228734,,
broad,EWALL,10.0,CAD->LAM,5.0,3.0,,0.8496512325470619,False,,,,0.002411409601772756,,
broad,EWALL,10.0,CAD->LAM,5.0,4.0,,0.8509187827896603,False,,,,0.0024688140709669985,,
broad,EWALL,10.0,CAD->LAM,21.0,0.0,,0.4292681910269116,False,,,,0.004333526530304502,,
broad,EWALL,10.0,CAD->LAM,21.0,4.0,,0.425815017963791,False,,,,0.004794700291131366,,
broad,EWALL,10.0,CAD->LAM,21.0,8.0,,0.4198442590145047,False,,,,0.004732336312991146,,
broad,EWALL,10.0,CAD->LAM,21.0,13.0,,0.42511815382591933,False,,,,0.00460519105200254,,
broad,EWALL,10.0,CAD->LAM,21.0,17.0,,0.42393227151061275,False,,,,0.004571258390656037,,
broad,EWALL,10.0,CAD->LAM,63.0,0.0,,0.24981198530417748,False,,,,0.007911524730199161,,
broad,EWALL,10.0,CAD->LAM,63.0,13.0,,0.25000180426097734,False,,,,0.007240904062798203,,
broad,EWALL,10.0,CAD->LAM,63.0,25.0,,0.24828746793460899,False,,,,0.007952585051721438,,
broad,EWALL,10.0,CAD->LAM,63.0,38.0,,0.2470681926761036,False,,,,0.006758973230049468,,
broad,EWALL,10.0,CAD->LAM,63.0,50.0,,0.24961523621269108,False,,,,0.007098998181532454,,
broad,EWALL,10.0,LAM->CAD,,,1.0,0.8458126283037612,True,0.000306756095455718,-0.00014704085945529966,0.0009764380284506546,0.0018912384376886067,0.0,0.0018912384376886067
broad,EWALL,10.0,LAM->CAD,,,0.7,0.8456267391201243,True,0.00028685895152036345,-0.00014872882960320633,0.0009785555486669928,0.0018924376896511347,3.0457930857104915e-05,0.0018619797587940297
broad,EWALL,10.0,LAM->CAD,,,0.5,0.845380074897722,True,0.00029664766364412287,-0.000145576269564629,0.0009813653758304897,0.0018940290278183893,7.703535768065271e-05,0.0018169936701377366
broad,EWALL,10.0,LAM->CAD,,,0.35,0.8451791625490633,True,0.0002995069202442746,-0.0001432886629677832,0.000983654029487191,0.001895325200751698,0.0001371185738585019,0.0017582066268931962
broad,EWALL,10.0,LAM->CAD,,,0.25,0.8449546709795016,True,0.0002608897096634255,-0.0001468660082043216,0.0009862112812204504,0.001896773493493107,0.00019751242719166128,0.0016992610663014458
broad,EWALL,10.0,LAM->CAD,,,0.15,0.8445951568250757,True,6.470535187208526e-05,-0.00017194428331265832,0.0009903066162741947,0.0018990928756476592,0.00029020203289634183,0.0016088908427513175
broad,EWALL,10.0,LAM->CAD,,,0.1,0.8442294506009179,True,-0.00022329891341144048,-0.00021086188459323862,0.0009944724865412202,0.001901452205536839,0.0003665945385338936,0.0015348576670029452
broad,EWALL,10.0,LAM->CAD,,,0.06,0.8437925149369372,True,-0.0007138359107894399,-0.00027931156511187827,0.000999446418269101,0.0019042710675183446,0.0004761433408313278,0.0014281277266870167
broad,EWALL,15.0,CAD->LAM,1.0,0.0,,1.8431001951477257,False,,,,0.0027080138464830876,,
broad,EWALL,15.0,CAD->LAM,5.0,0.0,,0.8458126283037612,True,0.0,0.0,0.0,0.0,0.0,0.0
broad,EWALL,15.0,CAD->LAM,5.0,1.0,,0.849118186292111,False,,,,0.00203335148347097,,
broad,EWALL,15.0,CAD->LAM,5.0,2.0,,0.8521617673044567,False,,,,0.0024226238549228734,,
broad,EWALL,15.0,CAD->LAM,5.0,3.0,,0.8496512325470619,False,,,,0.002411409601772756,,
broad,EWALL,15.0,CAD->LAM,5.0,4.0,,0.8509187827896603,False,,,,0.0024688140709669985,,
broad,EWALL,15.0,CAD->LAM,21.0,0.0,,0.4292681910269116,False,,,,0.004333526530304502,,
broad,EWALL,15.0,CAD->LAM,21.0,4.0,,0.425815017963791,False,,,,0.004794700291131366,,
broad,EWALL,15.0,CAD->LAM,21.0,8.0,,0.4198442590145047,False,,,,0.004732336312991146,,
broad,EWALL,15.0,CAD->LAM,21.0,13.0,,0.42511815382591933,False,,,,0.00460519105200254,,
broad,EWALL,15.0,CAD->LAM,21.0,17.0,,0.42393227151061275,False,,,,0.004571258390656037,,
broad,EWALL,15.0,CAD->LAM,63.0,0.0,,0.24981198530417748,False,,,,0.007911524730199161,,
broad,EWALL,15.0,CAD->LAM,63.0,13.0,,0.25000180426097734,False,,,,0.007240904062798203,,
broad,EWALL,15.0,CAD->LAM,63.0,25.0,,0.24828746793460899,False,,,,0.007952585051721438,,
