contrast,additive,pairs,same_w,forced,identical,median_tau,median_rank_move,max_rank_move
C_MEAN,True,36,3,3,4,0.7836257309941521,0.0,3
C_MED,False,36,3,0,0,0.49707602339181284,3.0,10
C_T,False,36,3,0,0,0.6198830409356726,3.0,7
C_WIN,False,36,3,0,0,0.5087719298245614,2.0,15
C_TRIM,False,36,3,0,0,0.7251461988304093,1.0,4
