cadence,panel,fold,named_ladder,boundary_def,chooser,boundary_pick,ladder,rung,moved,OOS_Sharpe,OOS_MaxDD
QUARTER,U56,20101,N,B_NONE,CH_ARGMAX,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_NONE,CH_SUPP_ANCHOR,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_NONE,CH_SUPP_INTERIOR,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_NONE,CH_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,N,B_STRICT,CH_ARGMAX,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_STRICT,CH_SUPP_ANCHOR,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_STRICT,CH_SUPP_INTERIOR,False,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_STRICT,CH_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,N,B_WIDE,CH_ARGMAX,True,N,10,True,1.6630722436199081,-0.06417185571711248
QUARTER,U56,20101,N,B_WIDE,CH_SUPP_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,N,B_WIDE,CH_SUPP_INTERIOR,True,N,20,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,N,B_WIDE,CH_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_NONE,CH_ARGMAX,False,H,252,True,1.4568970755054729,-0.06551759889634545
QUARTER,U56,20101,H,B_NONE,CH_SUPP_ANCHOR,False,H,252,True,1.4568970755054729,-0.06551759889634545
QUARTER,U56,20101,H,B_NONE,CH_SUPP_INTERIOR,False,H,252,True,1.4568970755054729,-0.06551759889634545
QUARTER,U56,20101,H,B_NONE,CH_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_STRICT,CH_ARGMAX,True,H,252,True,1.4568970755054729,-0.06551759889634545
QUARTER,U56,20101,H,B_STRICT,CH_SUPP_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_STRICT,CH_SUPP_INTERIOR,True,H,126,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_STRICT,CH_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_WIDE,CH_ARGMAX,True,H,252,True,1.4568970755054729,-0.06551759889634545
QUARTER,U56,20101,H,B_WIDE,CH_SUPP_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_WIDE,CH_SUPP_INTERIOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,H,B_WIDE,CH_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,GROSS,B_NONE,CH_ARGMAX,False,GROSS,0.3,True,1.061881151733321,-0.030033171651056345
QUARTER,U56,20101,GROSS,B_NONE,CH_SUPP_ANCHOR,False,GROSS,0.3,True,1.061881151733321,-0.030033171651056345
QUARTER,U56,20101,GROSS,B_NONE,CH_SUPP_INTERIOR,False,GROSS,0.3,True,1.061881151733321,-0.030033171651056345
QUARTER,U56,20101,GROSS,B_NONE,CH_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,GROSS,B_STRICT,CH_ARGMAX,True,GROSS,0.3,True,1.061881151733321,-0.030033171651056345
QUARTER,U56,20101,GROSS,B_STRICT,CH_SUPP_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,GROSS,B_STRICT,CH_SUPP_INTERIOR,True,GROSS,0.4,True,1.0630036274233894,-0.03991674407275425
QUARTER,U56,20101,GROSS,B_STRICT,CH_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,GROSS,B_WIDE,CH_ARGMAX,True,GROSS,0.3,True,1.061881151733321,-0.030033171651056345
QUARTER,U56,20101,GROSS,B_WIDE,CH_SUPP_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,GROSS,B_WIDE,CH_SUPP_INTERIOR,True,GROSS,0.5,True,1.064103362706587,-0.049737108237447036
QUARTER,U56,20101,GROSS,B_WIDE,CH_ANCHOR,True,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,CADENCE,B_NONE,CH_ARGMAX,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,CADENCE,B_NONE,CH_SUPP_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,CADENCE,B_NONE,CH_SUPP_INTERIOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
QUARTER,U56,20101,CADENCE,B_NONE,CH_ANCHOR,False,CADENCE,W,False,1.0666133380913525,-0.07401403695638153
