window,n,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
IS,186,-0.46308518829413714,-0.46706614432709476,-0.46153960958473184,-0.46843170744119883,-0.4339607159341505,-0.4485423494911161,-0.44631708154476035,-0.5686286942453925,-0.5556322235639123,-0.9999160796124744
OOS,482,-0.4477892695655601,-0.4581438316789875,-0.29418785379749984,-0.29881235437063736,-0.28051482480492046,-0.2941891621307101,-0.3278815742891308,-0.5008715777252672,-0.4401343472243708,-0.9997752806701032
