panel,arm,bps,real_gross,turn_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,ov_all,ov_elig,fail4a,fail4b,n
B136,EW_ALL,0,0.7502196524570406,0.8657057588560485,0.14256296328763862,1.128916871234413,-0.2535754258368845,1.2379454247183432,1.0311832593913524,1.152481658708275,1.1094375225693065,0.1403681035306461,-0.2535754258368843,1.0,0.6570451676908077,"H1,DD",DD,
B136,EW_ALL,10,0.7502196524570406,0.8657057588560485,0.14157411947237497,1.1219549467170127,-0.2537106610635024,1.2311809584625346,1.0240240275629426,1.145853501085796,1.1022031339130582,0.13933574083806333,-0.2537106610635026,1.0,0.6570451676908077,DD,DD,
B136,EW_ALL,25,0.7502196524570406,0.8657057588560485,0.1400924235152614,1.111511168713029,-0.2539134786931566,1.2210337678029723,1.0132839604042894,1.1359109440642106,1.0913501695849346,0.13778891144087613,-0.2539134786931567,1.0,0.6570451676908077,DD,DD,
B136,EW_ELIG,0,0.7501903807790332,8.26644308750018,0.11621497801125158,1.1045946948289191,-0.17342689518610743,1.218273859028446,0.9984573969830796,1.1086731511675438,1.1009907296471892,0.11532660012902696,-0.17342689518610765,0.6570451676908077,0.9466666666666667,"H1,H2,DD",,
B136,EW_ELIG,10,0.7501903807790332,8.26644308750018,0.10702640667075825,1.0252614722702598,-0.17687931105226462,1.1433299623842001,0.9149464031023785,1.032487069663541,1.0190519497098376,0.10588426010291863,-0.17687931105226407,0.6570451676908077,0.9466666666666667,"H1,H2,DD",,
B136,EW_ELIG,25,0.7501903807790332,8.26644308750018,0.0933800852069322,0.9059874589571602,-0.1821704348434573,1.030618431921335,0.7894335073044948,0.9179428113916178,0.8958630391723803,0.09186507164492186,-0.1821704348434573,0.6570451676908077,0.9466666666666667,"H1,H2,DD","H2,CAGR",
B136,NORM5,0,0.7503762717583414,21.883816969723267,0.19212132196495402,0.9863622449423475,-0.23408963470956212,1.1115333136424532,0.8895667240412239,1.0720357489881003,0.9306342332030443,0.1903840415706599,-0.23408963470956246,0.035822934111821685,0.06790631618499968,"H1,H2,DD",DD,5.0
B136,NORM5,10,0.7503762717583414,21.883816969723267,0.16633229591191312,0.8759512186202089,-0.2398884377180861,0.9964109867910508,0.7822263375851602,0.9550528539914069,0.8243073644786649,0.16392587618324272,-0.23988843771808577,0.035822934111821685,0.06790631618499968,"H1,H2,DD","H2,OOS,DD",5.0
B136,NORM5,25,0.7503762717583414,21.883816969723267,0.1286644798269163,0.7099629113890066,-0.24851095887362284,0.8233011746591821,0.6208825091504584,0.7791845184662765,0.6644600809918744,0.1253090518761555,-0.24851095887362296,0.035822934111821685,0.06790631618499968,"H1,H2,DD","H1,H2,OOS,DD",5.0
B136,NORM10,0,0.7503274178328844,17.922295935407835,0.16316437830459418,1.0035676651869734,-0.2137161819084623,1.2309451622548178,0.8168110201519941,1.1680141419913217,0.8877013793890177,0.14882339136905265,-0.21371618190846187,0.07159222278693085,0.13135159010818778,"H1,H2,DD","H2,DD",10.0
B136,NORM10,10,0.7503274178328844,17.922295935407835,0.1425213779576584,0.8945662564516421,-0.21444792932259604,1.118065989470775,0.710413352662198,1.0558595059015363,0.780593339534181,0.12766905137397444,-0.21444792932259604,0.07159222278693085,0.13135159010818778,"H1,H2,DD","H2,OOS,DD",10.0
B136,NORM10,25,0.7503274178328844,17.922295935407835,0.11222575108065302,0.7306399357249023,-0.2155447512999994,0.9482197701486431,0.5504674347776026,0.8871568966203324,0.6195384444983666,0.0966486456762512,-0.2155447512999994,0.07159222278693085,0.13135159010818778,"H1,H2,DD","H1,H2,OOS,DD",10.0
B136,NORM20,0,0.7502793314621955,14.310741802245708,0.14620897388850618,1.0454701923010825,-0.19983154054596763,1.208158640684983,0.9041382414427861,1.1247401783290516,0.9861110497210088,0.14134119698337266,-0.19983154054596786,0.14200334004368342,0.24547478091689057,"H1,H2,DD",,20.0
B136,NORM20,10,0.7502793314621955,14.310741802245708,0.12992958836952506,0.9431848997615344,-0.2005204833110833,1.1047866702854356,0.8025166021122436,1.0226042049000197,0.8836022780725372,0.12454335283909401,-0.20052048331108308,0.14200334004368342,0.24547478091689057,"H1,H2,DD",H2,20.0
B136,NORM20,25,0.7502793314621955,14.310741802245708,0.10593330741535811,0.7894767167611467,-0.20155317029654185,0.9493769877220685,0.6498638573002594,0.8690864720422022,0.7295843836804319,0.09979856674461351,-0.20155317029654185,0.14200334004368342,0.24547478091689057,"H1,H2,DD","H1,H2,OOS,CAGR",20.0
B136,NORM30,0,0.7502481715407447,12.474083989706207,0.13553426255029422,1.0491378452370814,-0.20213755718716098,1.2116533762893817,0.9052673271944883,1.124789660911651,0.9907698510925401,0.1302239403698262,-0.2021375571871611,0.21160178972148092,0.3536522754969756,"H1,H2,DD",,30.0
B136,NORM30,10,0.7502481715407447,12.474083989706207,0.12146330044490328,0.952540167939817,-0.2029660741673961,1.1120005517436766,0.8112311564768436,1.02686444118253,0.8951694506747754,0.11601647704030738,-0.20296607416739576,0.21160178972148092,0.3536522754969756,"H1,H2,DD","H2,DD",30.0
