book,dSharpe_span,rho_g_CAGR,rho_g_MaxDD,CAGR_per_unit_g,reading
K1,0.0015461463955106503,0.9999997803776368,-0.9998728956872748,0.17070614009556073,pure EXPOSURE
K2,0.00046481653122043554,0.999999186700304,-0.9998928354504546,0.17243002379221814,pure EXPOSURE
K3,0.0018677177635322284,0.9999975234610133,-0.9999689597098381,0.1588701834291528,pure EXPOSURE
K4,0.005818654224375441,0.9999877565529427,-0.999869610583065,0.12017087043331706,pure EXPOSURE
K5,0.00021702611686014173,0.999995271714996,-0.9999598092263433,0.11627416829411369,pure EXPOSURE
K6,0.0009007206495310616,0.9999871608470707,-0.9997806132782793,0.18912092329008037,pure EXPOSURE
K7,0.32520971922028474,0.9999948389283931,-0.9958724757599471,0.1300923651571243,mix dial
K8,0.0007249303985523703,0.9999924784103138,-0.9999619140553804,0.14269005055368494,pure EXPOSURE
LIVE,0.00021702611686014173,0.999995271714996,-0.9999598092263433,0.11627416829411369,pure EXPOSURE
V1,0.002620427610117937,0.9998301225589188,-0.9999570762868067,0.08338113821094927,pure EXPOSURE
