panel,family,form,ladder,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,FULL_Sharpe,FULL_CAGR,FULL_MaxDD,H1,H2,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,keep4a,keep4b,fail4b
B136,momQ,MA-DG,FULL,10,1.1943447904906328,0.17602238324115604,0.9840338194628445,-0.21249960049596506,1.056966163293577,0.1732495229858364,-0.21249960049596495,1.2917336654613807,0.9003177823071992,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,DD
B136,momQ,MA-DG,TRIM1,10,1.1943447904906328,0.17602238324115604,0.9840338194628445,-0.21249960049596506,1.056966163293577,0.1732495229858364,-0.21249960049596495,1.2917336654613807,0.9003177823071992,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,DD
B136,momQ,MA-RS,FULL,10,1.273966939822349,0.19735520685701147,0.986719100844831,-0.2709246263389864,1.087258665734542,0.19976654983900732,-0.2709246263389864,1.3576599380941965,0.913239044936297,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,DD
B136,momQ,MA-RS,TRIM1,10,1.273966939822349,0.19735520685701147,0.986719100844831,-0.2709246263389864,1.087258665734542,0.19976654983900732,-0.2709246263389864,1.3576599380941965,0.913239044936297,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,DD
B136,volQ,MA-DG,FULL,1,0.9339221620735434,0.020960747885003572,0.5481421301381164,-0.08784877154891824,0.7111268894924121,0.026288790665366824,-0.08784877154891646,1.0135477041298415,0.4561521732251619,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,"H2,OOS,CAGR"
B136,volQ,MA-DG,TRIM1,9,0.8024126092833255,0.08389407416652661,0.8137109956824132,-0.14238749328771716,0.8086460260601349,0.0818739520156746,-0.14977358455660306,0.9230490027256817,0.7042617286110662,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,"H1,H2,OOS,CAGR"
B136,volQ,MA-RS,FULL,9,0.8967023714175506,0.15441479304828265,0.8344233149898244,-0.2606860009957348,0.8602603663633456,0.154266344598464,-0.2797525695486055,0.9739800349901258,0.7687947620718764,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,"H2,OOS,DD"
B136,volQ,MA-RS,TRIM1,9,0.8967023714175506,0.15441479304828265,0.8344233149898244,-0.2606860009957348,0.8602603663633456,0.154266344598464,-0.2797525695486055,0.9739800349901258,0.7687947620718764,1.105887869727878,0.07884939392053303,-0.12240985403190019,0.8767278433896203,0.15331427255204866,-0.3371595330739301,False,False,"H2,OOS,DD"
SMALL663,advQ,MA-DG,FULL,1,1.2500435923724351,0.12659992026101374,2.108099767012986,-0.06646282421640315,1.8078666985677618,0.10112549796022341,-0.09935269370221467,1.4082150931185853,2.1423688741060505,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,True,True,-
SMALL663,advQ,MA-DG,TRIM1,2,1.228181726358089,0.064062644554578,0.848427182752234,-0.14881841072786262,0.9321255250573715,0.06209953629999965,-0.14881841072786361,1.078007946195062,0.8922398526313247,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"OOS,CAGR"
SMALL663,advQ,MA-RS,FULL,3,1.024956696418581,0.11889128163983043,0.7451762697119868,-0.32988610668479657,0.8038313503092521,0.11468373427856204,-0.32988610668479723,0.8761796397209797,0.8092357376590964,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H1,H2,OOS,DD"
SMALL663,advQ,MA-RS,TRIM1,3,1.024956696418581,0.11889128163983043,0.7451762697119868,-0.32988610668479657,0.8038313503092521,0.11468373427856204,-0.32988610668479723,0.8761796397209797,0.8092357376590964,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H1,H2,OOS,DD"
SMALL663,capQ,MA-DG,FULL,3,1.0984937314216883,0.040164239420088066,0.5566250072576137,-0.13648336436703412,0.725356769624323,0.04932712340199297,-0.1364833643670348,1.073503552783694,0.49495859066387426,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H2,OOS,CAGR"
SMALL663,capQ,MA-DG,TRIM1,3,1.0984937314216883,0.040164239420088066,0.5566250072576137,-0.13648336436703412,0.725356769624323,0.04932712340199297,-0.1364833643670348,1.073503552783694,0.49495859066387426,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H2,OOS,CAGR"
SMALL663,capQ,MA-RS,FULL,2,0.9273097191032129,0.06814937151463907,0.4909827893975879,-0.4390493018269662,0.6176545692883267,0.08222034595900785,-0.4390493018269669,0.9157717637424625,0.4549125137168177,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H2,OOS,DD,CAGR"
SMALL663,capQ,MA-RS,TRIM1,2,0.9273097191032129,0.06814937151463907,0.4909827893975879,-0.4390493018269662,0.6176545692883267,0.08222034595900785,-0.4390493018269669,0.9157717637424625,0.4549125137168177,0.5600309411718114,0.037524053136749336,-0.13891550797734953,0.876714419369064,0.15331699963496637,-0.33717235283398306,False,False,"H2,OOS,DD,CAGR"
