window,path,n_POINT,n_MEAN,n_WORST,survive_worst,survive_mean,n_point
FULL,keep4b,20,16,11,11,16,20
FULL,keep4a,0,0,0,0,0,0
OOS,keep4b,17,19,11,11,15,17
OOS,keep4a,0,0,0,0,0,0
IS,keep4b,19,19,16,16,17,19
IS,keep4a,0,0,0,0,0,0
