panel,n,calmar_min,calmar_max,spread,bar,best_minus_bar
B136,10,0.6489413585042992,0.664596661799714,0.015655303295414758,0.5269431136952908,0.1376535481044232
B136,20,0.6318262269782415,0.647961675655624,0.01613544867738248,0.5269431136952908,0.12101856196033323
B136,40,0.6118824460924155,0.6298363050754957,0.017953858983080218,0.5269431136952908,0.10289319138020492
B136,80,0.5877173907578108,0.6075069627071547,0.01978957194934383,0.5269431136952908,0.08056384901186386
B136,ALL,0.5861260769850988,0.6050815442125593,0.018955467227460554,0.5269431136952908,0.07813843051726854
U56,10,0.7327229000904776,0.7455635458413548,0.012840645750877178,0.5269130856964236,0.21865046014493117
U56,20,0.6791363111375274,0.6985042129240265,0.019367901786499164,0.5269130856964236,0.17159112722760295
U56,40,0.6291794700122789,0.643900934595349,0.01472146458307011,0.5269130856964236,0.11698784889892544
U56,80,0.6409603725677652,0.6548118138881475,0.013851441320382296,0.5269130856964236,0.12789872819172388
U56,ALL,0.6409603725677652,0.6548118138881475,0.013851441320382296,0.5269130856964236,0.12789872819172388
SMALL439,10,0.24681460726139354,0.25460477208995913,0.007790164828565593,0.48891408950290294,-0.2343093174129438
SMALL439,20,0.19130955524372117,0.19841901025020656,0.007109455006485382,0.48891408950290294,-0.29049507925269635
SMALL439,40,0.160061026584277,0.166831175420515,0.006770148836237999,0.48891408950290294,-0.3220829140823879
SMALL439,80,0.13629856491266237,0.13711361922155196,0.0008150543088895901,0.48891408950290294,-0.351800470281351
SMALL439,ALL,0.09068661337224451,0.09175233134006885,0.0010657179678243422,0.48891408950290294,-0.39716175816283406
