claim_set,L,n,resolved,frac_resolved,supported,frac_supported,P_pick_mean,P_pick_min,P_pick_max,frac_beats_uniform
C_STRICT,21,12,0,0.0,0,0.0,0.5036666666666666,0.231,0.877,1.0
C_STRICT,63,12,1,0.08333333333333333,1,0.08333333333333333,0.5380833333333334,0.199,0.941,1.0
C_STRICT,126,12,1,0.08333333333333333,1,0.08333333333333333,0.5378333333333333,0.198,0.959,0.9166666666666666
C_STRICT,252,12,3,0.25,3,0.25,0.573,0.199,0.991,0.9166666666666666
C_PROX,21,36,5,0.1388888888888889,5,0.1388888888888889,0.5650555555555555,0.165,1.0,0.9166666666666666
C_PROX,63,36,8,0.2222222222222222,8,0.2222222222222222,0.5999722222222222,0.199,1.0,0.9444444444444444
C_PROX,126,36,8,0.2222222222222222,8,0.2222222222222222,0.6268333333333334,0.191,1.0,0.9444444444444444
C_PROX,252,36,11,0.3055555555555556,11,0.3055555555555556,0.660611111111111,0.188,1.0,0.9444444444444444
C_ALL,21,72,14,0.19444444444444445,14,0.19444444444444445,0.5814166666666666,0.165,1.0,0.9444444444444444
C_ALL,63,72,17,0.2361111111111111,17,0.2361111111111111,0.6125694444444445,0.199,1.0,0.9583333333333334
C_ALL,126,72,18,0.25,18,0.25,0.6399861111111111,0.191,1.0,0.9722222222222222
C_ALL,252,72,22,0.3055555555555556,22,0.3055555555555556,0.6703333333333332,0.188,1.0,0.9722222222222222
