panel,anchor_Sharpe,se_anchor_Sharpe,se_anchor_Sharpe_OOS,n_resolved_nonanchor,share_within_1SE,share_within_2SE,share_within_1SE_OOS,median_abs_dSharpe,max_abs_dSharpe
U56,1.1371863874117727,0.20069984260961587,0.2807412242320052,294,1.0,1.0,0.9863945578231292,0.00748339634445494,0.181359875565146
B136,1.0634318900924733,0.21510957637195552,0.2766995317157077,314,1.0,1.0,1.0,0.004746790699275749,0.08582912655073016
SMALL,0.5072342327234493,0.22368758070677797,0.27118718799009245,198,0.8484848484848485,1.0,0.9949494949494949,0.017317195079157632,0.2771548159666962
