panel,ladder,stat,frac,T,n_windows,floor_capped_mean,n_capped
U56,N,S_FULL,0.25,1111,4,0.27387180829137436,2
U56,N,S_OOS,0.25,1111,4,0.37388644327361975,1
U56,N,CAGR,0.25,1111,4,8.095886236974454,0
U56,N,DD,0.25,1111,4,5.52614875556668,1
U56,N,S_FULL,0.5,2222,2,0.20611136669603586,1
U56,N,S_OOS,0.5,2222,2,0.3179288913349978,0
U56,N,CAGR,0.5,2222,2,3.997876334827877,0
U56,N,DD,0.5,2222,2,6.231374039509558,1
U56,N,S_FULL,1.0,4445,1,0.1761523806496179,0
U56,N,S_OOS,1.0,4445,1,0.26405478158276907,0
U56,N,CAGR,1.0,4445,1,4.3700319617852035,1
U56,N,DD,1.0,4445,1,5.684363419230408,0
U56,H,S_FULL,0.25,1111,4,0.13252202566215612,4
U56,H,S_OOS,0.25,1111,4,0.2081992302309675,4
U56,H,CAGR,0.25,1111,4,2.519008886510166,3
U56,H,DD,0.25,1111,4,3.520275404849609,4
U56,H,S_FULL,0.5,2222,2,0.055453673721133856,2
U56,H,S_OOS,0.5,2222,2,0.1573197354335692,2
U56,H,CAGR,0.5,2222,2,1.5298664869283884,2
U56,H,DD,0.5,2222,2,5.406428397971351,2
U56,H,S_FULL,1.0,4445,1,0.06337993535645858,1
U56,H,S_OOS,1.0,4445,1,0.08847533187304535,1
U56,H,CAGR,1.0,4445,1,1.5304197924899796,1
U56,H,DD,1.0,4445,1,6.564551170891317,1
U56,GROSS,S_FULL,0.25,1111,4,0.0014021014783468233,3
U56,GROSS,S_OOS,0.25,1111,4,0.0024867006849998985,4
U56,GROSS,CAGR,0.25,1111,4,1.0332832880538048,0
U56,GROSS,DD,0.25,1111,4,0.9777583253789994,0
U56,GROSS,S_FULL,0.5,2222,2,0.0018625818804920424,2
U56,GROSS,S_OOS,0.5,2222,2,0.0014284266017814407,1
U56,GROSS,CAGR,0.5,2222,2,1.0388354952662882,0
U56,GROSS,DD,0.5,2222,2,1.048332005780722,0
U56,GROSS,S_FULL,1.0,4445,1,0.0008972093148214011,0
U56,GROSS,S_OOS,1.0,4445,1,0.0019207163003902572,0
U56,GROSS,CAGR,1.0,4445,1,1.0380692471477992,0
U56,GROSS,DD,1.0,4445,1,1.1938432556992673,0
U56,CADENCE,S_FULL,0.25,1111,4,0.09063571973916529,3
U56,CADENCE,S_OOS,0.25,1111,4,0.2542263262280674,0
U56,CADENCE,CAGR,0.25,1111,4,1.7540752097439984,3
U56,CADENCE,DD,0.25,1111,4,2.735827771715077,4
U56,CADENCE,S_FULL,0.5,2222,2,0.06589744091806521,2
U56,CADENCE,S_OOS,0.5,2222,2,0.13090913174633007,1
U56,CADENCE,CAGR,0.5,2222,2,1.016819461646536,2
U56,CADENCE,DD,0.5,2222,2,4.125201950748069,2
