corpus,n_QROLL,family,delta,null_mean,null_sd,z,p,sig
QROLL w=ALL,432,ABS,0.4074074074074074,0.3785462962962963,0.05255927196009946,0.549115503978462,0.2997002997002997,False
QROLL w=ALL,432,QEXP,0.06481481481481477,0.3763425925925926,0.05504730422972114,-5.659274003277671,1.0,False
QROLL w=ALL,432,QROLL,0.44907407407407407,0.3784074074074074,0.01709859829663824,4.132892383380949,0.000999000999000999,True
QROLL w=ALL,432,ADV,0.29166666666666674,0.009694444444444459,0.05532949657574842,5.0962369020688705,0.000999000999000999,True
QROLL w=252,108,ABS,0.4074074074074074,0.39866666666666667,0.053119246057940626,0.16454941267815848,0.47152847152847155,False
QROLL w=252,108,QEXP,0.06481481481481477,0.3981851851851852,0.05543027681953809,-6.014228856473325,1.0,False
QROLL w=252,108,QROLL,0.7222222222222222,0.3975925925925926,0.05397312556697688,6.0146531485708925,0.000999000999000999,True
QROLL w=252,108,ADV,0.5648148148148149,0.003944444444444446,0.08428743392875773,6.6542584609282915,0.000999000999000999,True
QROLL w=504,108,ABS,0.4074074074074074,0.3279722222222222,0.0519850144271379,1.528040071942682,0.07992007992007992,False
QROLL w=504,108,QEXP,0.06481481481481477,0.3248425925925926,0.05409043166245927,-4.807278658828796,1.0,False
QROLL w=504,108,QROLL,0.49999999999999994,0.3194074074074074,0.051816539977784286,3.4852306362026373,0.001998001998001998,True
QROLL w=504,108,ADV,0.3425925925925926,-0.0023981481481481436,0.08054256205584259,4.283334574104413,0.000999000999000999,True
QROLL w=1008,108,ABS,0.4074074074074074,0.2895,0.05220862463917647,2.2583894561921034,0.01898101898101898,True
QROLL w=1008,108,QEXP,0.06481481481481477,0.2863888888888889,0.05188697760519425,-4.270321462159959,1.0,False
QROLL w=1008,108,QROLL,0.38888888888888884,0.2852222222222222,0.050991466169129675,2.0330199238206377,0.028971028971028972,True
QROLL w=1008,108,ADV,0.2314814814814815,0.0014259259259259338,0.0812376725169991,2.8318826528100756,0.003996003996003996,True
QROLL w=2016,108,ABS,0.4074074074074074,0.2189259259259259,0.050763479395184545,3.712934647646728,0.001998001998001998,True
QROLL w=2016,108,QEXP,0.06481481481481477,0.22024074074074076,0.050030340074119495,-3.106633408760842,0.999000999000999,False
QROLL w=2016,108,QROLL,0.18518518518518512,0.21824074074074074,0.047292238568347404,-0.6989636472332191,0.7812187812187812,False
QROLL w=2016,108,ADV,0.02777777777777779,0.004694444444444441,0.0749310613894072,0.3080609416884168,0.7552447552447552,False
