panel,ladder,rung,N,H,gross,freq,turnover,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD,pass_4b_full,pass_4b_oos,pass_4a
U56,GROSS,0.3,20,126,0.3,W,1.2051727745821044,0.06176977027085084,1.1379126985991532,-0.07990333698484353,1.2021189307239875,1.0949660199988558,0.05531821153462757,1.110503991712609,-0.056833440148314485,0.06711038275279413,1.1622160035760587,-0.0799033369848432,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.35,20,126,0.35,W,1.3978689562982787,0.07215046274232884,1.1381505359724737,-0.09276262767838162,1.2023408746572048,1.0952346035533385,0.06459304021063916,1.1106996395637374,-0.06617692972612133,0.07841209628705603,1.1624886125240645,-0.0927626276783815,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.4,20,126,0.4,W,1.5888028639315743,0.08255153516569935,1.1383792178318644,-0.10549268657570532,1.2025532702334782,1.0954947988576893,0.0738801463629315,1.110885661172411,-0.07548248209319064,0.08974248049723443,1.1627525138809713,-0.10549268657570587,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.45,20,126,0.45,W,1.7781630791995084,0.09297140530058834,1.1385991658513437,-0.11809417065750327,1.2027565738245591,1.0957470175710884,0.0831782234579812,1.111062753224024,-0.08474962569960465,0.10109971762891212,1.163007939867685,-0.11809417065750294,True,True,True,True,False,True,True,False,False,False,True,False,False,False
U56,GROSS,0.5,20,126,0.5,W,1.966199295146568,0.10340839437440397,1.1388099079139746,-0.13056767626411248,1.2029503990654125,1.0959907190282323,0.09248592870649408,1.11123105526673,-0.09397779767464365,0.11248184168878539,1.1632539800301382,-0.1305676762641127,True,True,True,True,False,True,True,True,False,False,False,False,True,False
U56,GROSS,0.55,20,126,0.55,W,2.1532583962178538,0.11386068330886356,1.1390100939583327,-0.14291447375060684,1.203133869600626,1.0962241843796319,0.10180176980907607,1.1113894436354554,-0.10316664358683714,0.12388675263616333,1.1634891279133808,-0.14291447375060629,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,GROSS,0.6,20,126,0.6,W,2.33961941589723,0.12432649358303216,1.1391994587010634,-0.15513470953029718,1.2033044079020236,1.096449025633342,0.11112397852913714,1.1115347327346472,-0.11231605957596946,0.13531265582630647,1.163715194417186,-0.15513470953029718,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,GROSS,0.65,20,126,0.65,W,2.5255623203605775,0.13480401426794475,1.1393779211240733,-0.16728472783934845,1.2034628945890664,1.0966643661388287,0.12045115950517693,1.1116681851828996,-0.12142550898346571,0.14675738319632714,1.1639311376823183,-0.16728472783934878,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,GROSS,0.7,20,126,0.7,W,2.7113666311573272,0.14529140069614654,1.1395453097816368,-0.1793372564660306,1.2036092461967114,1.0968699697776825,0.12978177715970163,1.1117897249822555,-0.13049434774226976,0.158218821012718,1.164136719876449,-0.17933725646603071,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,GROSS,0.75,20,126,0.75,W,2.8973943077144937,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.13911411272723173,1.111898434102762,-0.1395225553008913,0.1696947758085483,1.1643314948267134,-0.19127568902302317,True,True,True,True,True,True,True,True,False,False,False,True,True,False
