difference,panel,key,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,TO_ratio,cost_share,maj_cost,flip
CADENCE M vs W,U56,M12_1_VS,5,0.75,LIT,-0.002549475433185844,0.051323098708255355,0.1321752867159457,0.015382268725111947,0.004151739806384169,-9.48973200683212,0.4299588479619192,1.0496750098367649,True,True
CADENCE D vs W,U56,M12_1_VS,5,0.75,LIT,0.06824722323262322,-0.061417934509146566,-0.25558736755733047,-0.01738588888747916,0.008863362678453113,22.194655426161308,2.333216463764049,2.111193721802214,True,True
CADENCE M vs W,U56,M12_1,5,0.75,LIT,-0.05287144530756249,-0.005089992651628794,0.06664033968245109,0.004220280441374014,-0.006356985527929959,-8.74596117904559,0.420854066303767,9.387332345292025,True,False
CADENCE D vs W,U56,M12_1,5,0.75,LIT,-0.02900258032267944,-0.1343748922081417,-0.2922890636251604,-0.032482345550898906,-0.010073264949267413,19.155658670077955,2.268462276350885,0.784166670974846,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,LIT,0.05792760019405496,0.021765915777760658,-0.03235347732827487,-0.003589902238925413,0.0018196184700063345,4.584966743925037,1.1338397431675797,1.6613904411613378,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,LIT,-0.0393222033612477,-0.05119104192123447,-0.06905517339610479,-0.018686358902345157,-0.01711700915771419,1.5459699878416817,1.1023720793799168,0.23185381884293077,False,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,LIT,0.01099976651312895,0.0052220494386496785,-0.0035202263626101793,-0.0075243706186072234,-0.006608283823400063,0.8021991600551495,1.1262208618734495,1.1064079615403408,True,False
CADENCE M vs W,U56,M12_1_VS,5,0.75,NORM,0.0013956864017512505,0.05545447456360031,0.1365854191726542,0.016333086922476037,0.005067700736822722,-9.523049211339202,0.4295892888925598,0.9748318523845979,True,False
CADENCE D vs W,U56,M12_1_VS,5,0.75,NORM,0.07278175880039695,-0.05703506431930616,-0.25143707267656035,-0.0164653838626998,0.00987186808478202,22.23389491582038,2.331763758452499,2.276087958679843,True,True
CADENCE M vs W,U56,M12_1,5,0.75,NORM,-0.04908027408487503,-0.0011207895397955525,0.07087585334273905,0.005174705607857266,-0.005438039291122632,-8.778594802626303,0.42053376062067205,42.790803127791456,True,False
CADENCE D vs W,U56,M12_1,5,0.75,NORM,-0.024659714524813525,-0.13018574083252354,-0.28833487585903816,-0.031560808994375744,-0.009069942061488145,19.194606294862766,2.267016712369881,0.8105805261995872,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,NORM,0.05815291195317296,0.021989360847445405,-0.032133628840113504,-0.00359321222138842,0.0018214858249394617,4.584912965047643,1.1334994599858643,1.6445930992091033,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,NORM,-0.03928856137203751,-0.05116131566577198,-0.06903143202259132,-0.018688637353064363,-0.017120324321330704,1.5456243440900277,1.1020251129366445,0.23206506985272068,False,False
SCALER (VS vs plain),U56,M12_1_VS,5,0.75,NORM,0.01118739911458877,0.005413948437623883,-0.0033218661926761595,-0.007530256038445593,-0.0066145842933853505,0.8011699353771284,1.125755477775366,1.066402966981116,True,False
CADENCE M vs W,U56,M12_1_VS,5,1.0,LIT,-0.0007082677023213524,0.05319922638922425,0.13410527618518664,0.02207823021882782,0.006341015337372191,-12.659319408628983,0.4295105588387322,1.0133134962741641,True,True
CADENCE D vs W,U56,M12_1_VS,5,1.0,LIT,0.0665907065630833,-0.06318649819533495,-0.2575244029468349,-0.024493484953671762,0.012277212465201526,29.603060908179373,2.334055420282601,2.053875566220248,True,True
CADENCE M vs W,U56,M12_1,5,1.0,LIT,-0.04900196361379927,-0.0011926177996741671,0.07058004407729213,0.00705505441481491,-0.007857247138757018,-11.664357039879155,0.4202829816985169,40.08773458453077,True,False
CADENCE D vs W,U56,M12_1,5,1.0,LIT,-0.030737732440754284,-0.13616030908332133,-0.2941522879436862,-0.04587943547644624,-0.014642954880744963,25.541524219434937,2.269410410941891,0.7742533587967638,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,LIT,0.057927600194055406,0.021691182795578245,-0.03253895221844516,-0.004111371826821308,0.003523154100958603,6.131037556777699,1.1342691311800908,1.6705597726032702,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,LIT,-0.03940083880978218,-0.05128262809240813,-0.06916683721529648,-0.025497322349595786,-0.023397013244987885,2.0695008680332627,1.1028539222939462,0.2316922849822693,False,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,LIT,0.00889285710169574,0.003109216096490286,-0.00564160510740197,-0.010474146545582874,-0.009198750768858677,1.0745384992834346,1.1270677736405526,1.8601605117553857,True,False
CADENCE M vs W,U56,M12_1_VS,5,1.0,NORM,0.0031385773551870777,0.05723892740284753,0.13843390865442307,0.023385761002821415,0.00759939381017305,-12.705538174594672,0.42904317951231363,0.9451670830045823,True,False
CADENCE D vs W,U56,M12_1_VS,5,1.0,NORM,0.0711316769616992,-0.058795578888339195,-0.2533635385176469,-0.023213320486419997,0.013699434080756356,29.655003751194645,2.332625696028233,2.2098133619330107,True,True
CADENCE M vs W,U56,M12_1,5,1.0,NORM,-0.045306410477230274,0.002685561056389396,0.0747315470721015,0.008368903656134519,-0.006593389459587096,-11.709143904898488,0.4198858897274379,17.87037066963672,True,True
CADENCE D vs W,U56,M12_1,5,1.0,NORM,-0.026388726090035286,-0.1319626835697093,-0.2901860570962811,-0.0445981630829857,-0.013231462657365078,25.59285936850001,2.267964503850455,0.8000288765263293,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,NORM,0.05815291195317318,0.021914734090742516,-0.03231882697891608,-0.0041164565477969095,0.0035279543897048793,6.130999451355919,1.1339316779054598,1.6535987939611292,True,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,NORM,-0.0393674910985613,-0.051252370590627594,-0.06914134555755025,-0.02550129914436261,-0.023402942348416556,2.0688550686612857,1.102498699066909,0.23188936150866848,False,False
SCALER (VS vs plain),U56,M12_1_VS,5,1.0,NORM,0.00907749673385605,0.003300995755830538,-0.005438983975228684,-0.010484441797675714,-0.00921015907865641,1.0724607989651016,1.1265430890352353,1.7499268115757183,True,False
CADENCE M vs W,U56,M12_1_VS,10,0.75,LIT,0.026021279627812532,0.08146385195782924,0.16460996645484682,0.017680808127491066,0.00902372517010841,-7.557797658678911,0.4328350706821243,0.6805788211281395,True,False
CADENCE D vs W,U56,M12_1_VS,10,0.75,LIT,0.03137264296303499,-0.1024076385301701,-0.3030069513571957,-0.01844421456591605,0.002346197692284946,18.229632514074773,2.3680186614235637,1.3063506142053296,True,True
CADENCE M vs W,U56,M12_1,10,0.75,LIT,0.04886885236697558,0.09728369487695576,0.16988131521407912,0.02141658572636218,0.013518958116812252,-6.8915065048625195,0.43535428867284415,0.4976665675703949,False,False
CADENCE D vs W,U56,M12_1,10,0.75,LIT,0.006362849006037452,-0.11181305632750971,-0.28886269489714667,-0.0206266813968492,-0.001412738542017955,16.864761121366385,2.3817900386537403,1.0569061361438876,True,True
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,LIT,0.052445838337354944,0.024984572289470264,-0.016427290666263028,-0.0019886323982127863,0.0008380554495459602,2.485434460716707,1.0854989348784365,1.0991289236301323,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,LIT,0.027436044380357405,0.015579154492130654,-0.0022830342062140074,-0.004171099229145936,-0.0029208807847569407,1.1205630680083196,1.0918117294347849,0.7610740296731704,True,False
