panel,k,n_names,ndraw,sd_H1,sd_H2,sd_OOS,sd_DD,sd_CAGR
U56,28,56,120,0.11617292083830347,0.0868936372938284,0.08032670948799572,0.01055598927539336,0.009736291096283423
B136,68,136,120,0.060923088297614406,0.06284986079860846,0.06043638628920674,0.006808516416169336,0.0057915162677369975
SMALL439,220,439,120,0.07085906378234337,0.06459211842866454,0.06245424296114076,0.011235455917428952,0.00339180917960823
BSTK100,50,100,120,0.059228139805940216,0.07223137119894223,0.06912997119763396,0.00801608336415571,0.006402916198225573
