SET,BAR,base_chooser,move_rate_KEY,move_rate_VALUE,mean_OOS_Sharpe,delta_vs_ANCHOR,SE,t
NG,A_NONE,H_RUNNERUP,0.047619047619047616,0.047619047619047616,1.0178922348340091,-0.0183298104871139,0.01581147244356723,-1.1592728351224009
NG,A_NONE,H_NARROWEST,0.023809523809523808,0.023809523809523808,1.0368332784688883,0.0006112331477652756,0.0006112331477652755,1.0000000000000002
NG,A_NONE,H_ANY,0.09523809523809523,0.09523809523809523,1.0393935428000856,0.0031714974789626782,0.02256412535626587,0.14055485993309197
NG,A_NONE,CH_RAW,1.0,1.0,0.9677438007570123,-0.06847824456411071,0.051421291128337585,-1.3317099407948019
NG,A_NONE,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_POS,H_RUNNERUP,0.047619047619047616,0.047619047619047616,1.0178922348340091,-0.0183298104871139,0.01581147244356723,-1.1592728351224009
NG,A_POS,H_NARROWEST,0.023809523809523808,0.023809523809523808,1.0368332784688883,0.0006112331477652756,0.0006112331477652755,1.0000000000000002
NG,A_POS,H_ANY,0.09523809523809523,0.09523809523809523,1.0393935428000856,0.0031714974789626782,0.02256412535626587,0.14055485993309197
NG,A_POS,CH_RAW,1.0,1.0,0.9677438007570123,-0.06847824456411071,0.051421291128337585,-1.3317099407948019
NG,A_POS,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_MED,H_RUNNERUP,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_MED,H_NARROWEST,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_MED,H_ANY,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_MED,CH_RAW,0.42857142857142855,0.42857142857142855,1.0221567565026564,-0.01406528881846653,0.031865077310457374,-0.44140137120742623
NG,A_MED,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_90,H_RUNNERUP,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_90,H_NARROWEST,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_90,H_ANY,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_90,CH_RAW,0.09523809523809523,0.09523809523809523,1.0272534725906597,-0.008968572730463368,0.007473286671257907,-1.2000841296448987
NG,A_90,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_95,H_RUNNERUP,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_95,H_NARROWEST,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_95,H_ANY,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_95,CH_RAW,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_95,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_99,H_RUNNERUP,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_99,H_NARROWEST,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_99,H_ANY,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_99,CH_RAW,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG,A_99,CH_ANCHOR,0.0,0.0,1.036222045321123,0.0,0.0,0.0
NG_D,A_NONE,H_RUNNERUP,0.047619047619047616,0.047619047619047616,1.0178922348340091,-0.0183298104871139,0.01581147244356723,-1.1592728351224009
NG_D,A_NONE,H_NARROWEST,0.8809523809523809,0.8809523809523809,0.9875276491522175,-0.048694396168905495,0.050219307289613276,-0.9696349630648295
NG_D,A_NONE,H_ANY,0.8809523809523809,0.8809523809523809,0.9875276491522175,-0.048694396168905495,0.050219307289613276,-0.9696349630648295
