panel,frame,cost_bps,rival,gate_at_W,gate_at_rival,interaction
U56,LIVE,10.0,D,-0.05046010962650471,-0.04407601072234146,-0.006384098904163249
U56,LIVE,10.0,M,-0.05046010962650471,-0.03318056600185426,-0.01727954362465045
U56,LIVE,10.0,Q,-0.05046010962650471,-0.043953148115415064,-0.006506961511089648
U56,LIVE,25.0,D,-0.05635612983467331,-0.051807116587716084,-0.004549013246957223
U56,LIVE,25.0,M,-0.05635612983467331,-0.0372303098040907,-0.019125820030582608
U56,LIVE,25.0,Q,-0.05635612983467331,-0.04475582300016445,-0.011600306834508856
U56,INC,10.0,D,0.01755900399413557,-0.06544454162393532,0.08300354561807088
U56,INC,10.0,M,0.01755900399413557,-0.04293356007112137,0.06049256406525694
U56,INC,10.0,Q,0.01755900399413557,0.10098173311099568,-0.0834227291168601
U56,INC,25.0,D,0.016195756782521498,-0.06632895034701325,0.08252470712953475
U56,INC,25.0,M,0.016195756782521498,-0.044305983751991906,0.060501740534513404
U56,INC,25.0,Q,0.016195756782521498,0.09978218605978761,-0.08358642927726612
B136,LIVE,10.0,D,-0.03517285065619946,-0.028144374599998745,-0.0070284760562007165
B136,LIVE,10.0,M,-0.03517285065619946,-0.015727070846668134,-0.019445779809531327
B136,LIVE,10.0,Q,-0.03517285065619946,-0.0344331881753317,-0.0007396624808677643
B136,LIVE,25.0,D,-0.03911889152713255,-0.03372564332803418,-0.005393248199098366
B136,LIVE,25.0,M,-0.03911889152713255,-0.018529637795028142,-0.020589253732104407
B136,LIVE,25.0,Q,-0.03911889152713255,-0.03500727892021094,-0.004111612606921611
B136,INC,10.0,D,-0.01753102260537842,0.048607050247217454,-0.06613807285259587
B136,INC,10.0,M,-0.01753102260537842,-0.061108043219851194,0.04357702061447277
B136,INC,10.0,Q,-0.01753102260537842,-0.007000992155182573,-0.010530030450195849
B136,INC,25.0,D,-0.020896791929372105,0.04702527537246881,-0.06792206730184092
B136,INC,25.0,M,-0.020896791929372105,-0.062365313376904874,0.04146852144753277
B136,INC,25.0,Q,-0.020896791929372105,-0.008707973714620176,-0.012188818214751929
SMALL,LIVE,10.0,D,-0.125328406642766,-0.1142738273150008,-0.011054579327765213
SMALL,LIVE,10.0,M,-0.125328406642766,-0.09770428804390596,-0.027624118598860048
SMALL,LIVE,10.0,Q,-0.125328406642766,-0.12702398971234252,0.0016955830695765117
SMALL,LIVE,25.0,D,-0.14488914597925073,-0.14097277164215594,-0.003916374337094797
SMALL,LIVE,25.0,M,-0.14488914597925073,-0.10965127850955858,-0.03523786746969215
SMALL,LIVE,25.0,Q,-0.14488914597925073,-0.12943244614281924,-0.015456699836431498
SMALL,INC,10.0,D,-0.10753177945138093,-0.17869189317875878,0.07116011372737785
SMALL,INC,10.0,M,-0.10753177945138093,-0.29889665714058095,0.19136487768920002
SMALL,INC,10.0,Q,-0.10753177945138093,-0.2560517137143499,0.148519934262969
SMALL,INC,25.0,D,-0.1105302905424741,-0.17979625181422948,0.06926596127175538
SMALL,INC,25.0,M,-0.1105302905424741,-0.30250152546666154,0.19197123492418744
SMALL,INC,25.0,Q,-0.1105302905424741,-0.2592590889188465,0.14872879837637243
