panel,family,con,level,cad,isSharpe,oCAGR,oSharpe,oMaxDD,CAGR,Sharpe,MaxDD,H1,H2,p4a_SAMEv2,p4a_SAMEv2_noSPY,p4a_CROSSv2,p4a_SAMEv1,p4a_CROSSv1,p4b,beats_v2_oos_same,beats_v2_oos_cross,beats_spy_oos
U56,QUANTILE,RESPREAD,0.5,M,1.2665498788630485,0.15950305839199985,1.2163948203489579,-0.1980354091219657,0.15466689605354178,1.2358655565489407,-0.19803540912196604,1.3517629057597753,1.145415747594737,False,False,False,False,False,True,False,False,True
U56,QUANTILE,DEGROSS,0.5,M,1.2604964298408001,0.07980738539876797,1.216805981845462,-0.10323053237023794,0.07710525848013994,1.23349025038398,-0.1032305323702375,1.3467859843975085,1.1451873375236814,False,False,False,True,True,False,False,False,True
U56,MA-THRESH,RESPREAD,0.2,Q,1.4087617749438113,0.21198336025018794,0.932599397596303,-0.32510636115067615,0.2865534518734518,1.1550536134152036,-0.32663211227518707,1.4087027615010985,0.8950353641020098,False,False,False,False,False,False,False,False,True
U56,MA-THRESH,DEGROSS,0.3,Q,1.240224086950208,0.010419867115684323,0.5655439867477883,-0.03380058509596817,0.0123254870261158,0.7780969382722495,-0.03380058509596906,1.227088284616553,0.534611290853001,False,False,False,False,False,False,False,False,False
B136,QUANTILE,RESPREAD,0.9,Q,1.1700160890737041,0.13852930233666005,1.1261503071799828,-0.24650540532220688,0.13985398451162467,1.1458031242453595,-0.24650540532220677,1.2651423342798505,1.0400923106698876,False,False,False,False,False,False,True,False,True
B136,QUANTILE,DEGROSS,0.9,Q,1.1707637493305465,0.12496337696997828,1.1284481246686338,-0.22334553438842197,0.12614490101168618,1.147438859988017,-0.22334553438842186,1.2658028792760818,1.0423115233236893,False,False,False,False,False,False,True,False,True
B136,MA-THRESH,RESPREAD,0.2,Q,1.4584969655039113,0.21106474661139196,1.0664525071109843,-0.2952507655794452,0.24898701131244616,1.2397996241770315,-0.2952507655794451,1.520172580270519,0.986379562687951,False,False,False,False,False,False,False,False,True
B136,MA-THRESH,DEGROSS,-0.25,Q,1.2156044088420448,0.13580129917386707,1.1384051662705013,-0.24163593668050287,0.13479446776827442,1.1706052207749704,-0.24163593668050265,1.3161779937849671,1.0543153553441043,False,False,False,False,False,False,True,False,True
SMALL439,QUANTILE,RESPREAD,0.8,Q,0.7262496219569458,0.09186693152643799,0.6169033768661533,-0.35072630041994124,0.09239360368868632,0.6510788505001367,-0.35072630041994135,0.7500025813468609,0.5938241172539986,False,False,False,True,False,False,True,False,False
SMALL439,QUANTILE,DEGROSS,0.8,Q,0.7288904889119842,0.07585537286673993,0.6224746887478702,-0.28164619150256986,0.07582510012801102,0.6557025508781101,-0.2816461915025693,0.7522210641864351,0.6000062835209953,False,False,False,True,False,False,True,False,False
SMALL439,MA-THRESH,RESPREAD,0.3,M,0.8874006931164304,0.2402298578506441,1.1041600612175628,-0.3077804460589927,0.20863583726120072,1.0263797481904382,-0.3077804460589928,0.9383222299117573,1.1088748778643929,False,False,False,True,False,False,True,False,True
SMALL439,MA-THRESH,DEGROSS,-0.4,Q,0.736840849882774,0.07975352536349556,0.5874263980687732,-0.32467668866448296,0.08355893765469569,0.6372238025347893,-0.32467668866448296,0.7487748926080389,0.5644641303368209,False,False,False,True,False,False,True,False,False
