fallback,cadence,n_emptied,real,null_mean,null_p05,null_p95,pct,outside90
FB_CASH,D,9,-0.8939,-0.8312,-0.9378,-0.7204,0.19,False
FB_CASH,W,6,-0.8502,-0.8315,-0.8984,-0.7583,0.36,False
FB_CASH,M,3,-0.5665,-0.5272,-0.5945,-0.4508,0.1415,False
FB_CASH,Q,3,-0.374,-0.3808,-0.4676,-0.253,0.4725,False
FB_SPY,D,9,-0.0188,0.0449,-0.067,0.1612,0.1755,False
FB_SPY,W,6,0.0239,0.0428,-0.0248,0.1177,0.3585,False
FB_SPY,M,3,0.3104,0.3514,0.2824,0.426,0.131,False
FB_SPY,Q,3,0.5029,0.4955,0.4093,0.6225,0.468,False
FB_LIVE,D,9,0.0871,0.1506,0.0409,0.2681,0.1785,False
FB_LIVE,W,6,0.0682,0.0874,0.0194,0.1622,0.349,False
FB_LIVE,M,3,-0.0064,0.0345,-0.0344,0.1093,0.1325,False
FB_LIVE,Q,3,0.1862,0.1798,0.0925,0.3057,0.4625,False
