cset,rule,n_units,n_with_K,n_no_K,n_over,share_over,n_adjudicable,n_load_bearing,share_load_bearing,median_extra,max_extra
C_STRICT,R_ORDER,921,349,572,134,0.3839541547277937,158,2,0.012658227848101266,0.0,4.0
C_STRICT,R_BINOM,921,349,572,193,0.5530085959885387,158,2,0.012658227848101266,1.0,4.0
C_WIDE,R_ORDER,4712,864,3848,332,0.38425925925925924,354,6,0.01694915254237288,0.0,6.0
C_WIDE,R_BINOM,4712,864,3848,487,0.5636574074074074,354,6,0.01694915254237288,1.0,5.0
