panel,cost_bps,g_CAGR,g_DD,n_pass4b
U56,0.0,0.85,1.25,9
U56,5.0,0.85,1.25,9
U56,10.0,0.85,1.25,9
U56,25.0,0.9,1.25,8
U56,50.0,0.95,1.25,7
B136,0.0,1.0,1.25,6
B136,5.0,1.0,1.25,6
B136,10.0,1.05,1.25,5
B136,25.0,1.1,1.25,4
B136,50.0,1.15,1.25,3
SMALL,0.0,,1.15,0
SMALL,5.0,,1.1,0
SMALL,10.0,,1.1,0
SMALL,25.0,,1.05,0
SMALL,50.0,,1.0,0
