panel,n,rung,metric,argmax_COMP,argmax_V1KEY,same,val_COMP,val_V1KEY,spread_COMP,spread_V1KEY,loss_on_V1KEY_from_COMP_pick,loss_on_COMP_from_V1KEY_pick
B136,5,10,Sharpe,OFF,0.80,False,0.9739057449750855,0.642914681436697,0.3375833993253625,0.08468342572578735,0.0,0.03854244168000942
B136,5,10,CAGR,OFF,0.80,False,0.21191777934610267,0.06479394099103741,0.14556228486303646,0.014494209280065506,0.0,0.02051877891476983
B136,5,10,OOS_Sharpe,OFF,0.80,False,0.9163184194467094,0.5902319040623648,0.45614608382132976,0.149313765180358,0.0,0.05043644758780563
B136,5,25,Sharpe,OFF,0.80,False,0.8497010111745975,0.22742667408739747,0.6378891972359465,0.13619178036956509,0.0,0.05349465851579782
B136,5,25,CAGR,OFF,0.80,False,0.1788731918264277,0.018751719350940776,0.1613692609906625,0.01460789761642256,0.0,0.021885414579758677
B136,5,25,OOS_Sharpe,OFF,0.80,False,0.8054159132483022,0.1694117493158626,0.7766414027201188,0.20416071627407698,0.0,0.06973489741240879
B136,20,10,Sharpe,0.80,0.80,True,1.0226038601286846,0.8608868159361918,0.20662221194794128,0.0259169582790868,0.0,0.0
B136,20,10,CAGR,OFF,OFF,True,0.1466309996034283,0.08970789740097196,0.07901996008268375,0.02349630891560217,0.0,0.0
B136,20,10,OOS_Sharpe,0.80,OFF,False,0.9660749676997912,0.7645623248143338,0.34412729533700126,0.10841638476192395,0.0003646896390833154,0.05016200222102407
B136,20,25,Sharpe,0.80,OFF,False,0.8837425039172723,0.6068426036955464,0.41160321881108214,0.11070481878609173,0.003241369325744592,0.025318928817057218
B136,20,25,CAGR,OFF,OFF,True,0.12424823126699658,0.060887291588757275,0.08713655132828313,0.023451058208774578,0.0,0.0
B136,20,25,OOS_Sharpe,0.80,OFF,False,0.8292633595794354,0.5178673067294444,0.5693731902196675,0.220624583054515,0.009538221380513412,0.040413647959783194
SMALL439,5,10,Sharpe,OFF,0.40,False,0.6761895365703603,0.6103201294279953,0.37068653745915164,0.4407390578689141,0.013521159750441547,0.1847056621365592
SMALL439,5,10,CAGR,OFF,OFF,True,0.18181429989771702,0.0799034266471681,0.15200935437608254,0.06718575001970173,0.0,0.0
SMALL439,5,10,OOS_Sharpe,0.50,OFF,False,0.8553758065991267,0.5446664180869696,0.6872878877468909,0.43807486153155606,0.024810750187828634,0.10159040326316837
SMALL439,5,25,Sharpe,OFF,OFF,True,0.5769024157495807,0.2649268810773396,0.7018852047191311,0.49516796571226046,0.0,0.0
SMALL439,5,25,CAGR,OFF,OFF,True,0.14424859937790968,0.02853866214090295,0.16617191850121515,0.05988401224780193,0.0,0.0
SMALL439,5,25,OOS_Sharpe,OFF,OFF,True,0.6617698085899533,0.22353436421931863,0.9243835432520812,0.5116612464955654,0.0,0.0
SMALL439,20,10,Sharpe,OFF,OFF,True,0.7473654343945813,0.5143191692355265,0.6016784976691976,0.3436193585581898,0.0,0.0
SMALL439,20,10,CAGR,OFF,OFF,True,0.14156890105892161,0.06010193812147446,0.13369679497794862,0.050642619661484645,0.0,0.0
SMALL439,20,10,OOS_Sharpe,OFF,0.50,False,0.784849366248052,0.36410373281728287,0.8411715767565257,0.3681891380255093,0.002945353497313896,0.3022168484095926
SMALL439,20,25,Sharpe,OFF,OFF,True,0.6282495869200463,0.23156550228218706,0.8837682723524523,0.4542335518123607,0.0,0.0
SMALL439,20,25,CAGR,OFF,OFF,True,0.11396437353688427,0.021879276022559013,0.13460061429699666,0.0396033034953438,0.0,0.0
SMALL439,20,25,OOS_Sharpe,OFF,OFF,True,0.6709185870515811,0.08364195071699994,1.1080803863491244,0.45914269219412124,0.0,0.0
U56,5,10,Sharpe,OFF,OFF,True,1.131487042191078,0.6804218587670363,0.5530748432358114,0.17995325144386098,0.0,0.0
U56,5,10,CAGR,OFF,OFF,True,0.22976937424057797,0.06642197217509316,0.17728197692775205,0.026370755749307806,0.0,0.0
U56,5,10,OOS_Sharpe,0.50,OFF,False,1.067428427586835,0.7741155531126964,0.5187722122948165,0.28878407685953855,0.02705342796167698,0.01950814254403377
U56,5,25,Sharpe,OFF,OFF,True,1.0168360822501654,0.3333182911519198,0.8109683505178087,0.2263953522599343,0.0,0.0
U56,5,25,CAGR,OFF,OFF,True,0.20181036657328666,0.029289226546909797,0.18646118595398553,0.02378270093762902,0.0,0.0
U56,5,25,OOS_Sharpe,OFF,OFF,True,0.9444427573879915,0.42647883545676607,0.7781640967415162,0.34691379370983216,0.0,0.0
U56,20,10,Sharpe,OFF,OFF,True,1.1469055650245492,1.0270027550320604,0.39637943697526057,0.2640617355238558,0.0,0.0
U56,20,10,CAGR,OFF,OFF,True,0.14267271928243286,0.10542484668618846,0.09144382018867092,0.05540522959679639,0.0,0.0
U56,20,10,OOS_Sharpe,0.40,OFF,False,1.2169705073119323,1.0855302740883004,0.4901243711771536,0.37911955175879863,0.12285789072768727,0.04625034446882936
U56,20,25,Sharpe,OFF,OFF,True,1.034948992398671,0.8713053971739918,0.5122997556717591,0.33698917423356756,0.0,0.0
U56,20,25,CAGR,OFF,OFF,True,0.1270659494955284,0.08790284181917074,0.0923921084006687,0.05378789896373504,0.0,0.0
U56,20,25,OOS_Sharpe,0.40,OFF,False,1.0784654414371495,0.9336870223268596,0.5946106112278281,0.47216014567881137,0.13784758800184793,0.009756301709145543
