panel,q,constr,gross,cadence,n_pass,n,n_pass4a,mean_CAGR,mean_Sharpe,mean_MaxDD,mean_turn,rate,se,seed887
U56,1.0,RESPREAD,0.75,M,20,20,0,0.1253278424495549,1.1539105100588445,-0.1822936873138955,3.261951590962068,1.0,0.0,True
U56,0.9,DEGROSS,0.75,M,20,20,0,0.11093495859896958,1.1329521300776082,-0.16743428411926187,4.282401337639232,1.0,0.0,True
U56,1.0,RESPREAD,0.75,W,20,20,0,0.11496200458339209,1.087009117713713,-0.1864737205261988,7.606849975034609,1.0,0.0,True
B136,1.0,RESPREAD,0.75,W,20,20,0,0.115317883897194,1.0485884199190767,-0.2012320976120489,7.843401997578843,1.0,0.0,True
U56,0.9,RESPREAD,0.75,M,20,20,0,0.12383297055922086,1.1362776935275252,-0.18307641661007956,4.7498035937210545,1.0,0.0,True
B136,0.9,DEGROSS,0.75,M,18,20,0,0.10938613564734549,1.073407477110292,-0.19735784559261388,4.431241027118735,0.9,0.06708203932499368,True
U56,0.7,DEGROSS,1.0,M,17,20,0,0.11234570419064722,1.0918900523734707,-0.17812196926337645,7.2087718388759985,0.85,0.07984359711335656,True
U56,0.7,RESPREAD,0.75,M,16,20,0,0.12023366571124935,1.0921323411528014,-0.18950369939481093,7.723365745858369,0.8,0.08944271909999157,True
U56,0.9,RESPREAD,0.75,W,12,20,0,0.10650670183072541,1.0084395762924256,-0.1880072924939467,14.81869318223913,0.6,0.10954451150103323,True
U56,0.7,DEGROSS,0.95,M,10,20,0,0.10665779394688708,1.0916588078673313,-0.16977301805571152,6.852900177880885,0.5,0.11180339887498948,True
B136,0.7,DEGROSS,0.95,M,10,20,0,0.10647503157971219,1.0555938409558387,-0.19450893169661546,6.959543996159255,0.5,0.11180339887498948,False
B136,0.7,DEGROSS,1.0,M,9,20,0,0.11215329850237585,1.0558076388112883,-0.2040496619912242,7.320819199110714,0.45,0.11124297730643495,False
U56,0.5,RESPREAD,0.75,M,9,20,0,0.11661980206793757,1.0358210156779264,-0.20322684194307278,10.691906833139464,0.45,0.11124297730643495,False
B136,0.9,RESPREAD,0.75,W,6,20,0,0.10690571553411816,0.9780976376601075,-0.2025800078021039,14.884911823703453,0.3,0.10246950765959598,False
B136,0.3,RESPREAD,0.75,M,6,20,0,0.11288943972404095,0.9673687282291841,-0.2229114845057934,13.666687489549972,0.3,0.10246950765959598,True
U56,0.4,RESPREAD,0.75,M,5,20,0,0.11348558883747302,0.9925302896616177,-0.21397260634563034,12.225789488242066,0.25,0.09682458365518543,False
U56,0.2,RESPREAD,0.75,M,4,20,0,0.11645263141935976,0.9336298922840669,-0.2575027529925544,15.173761684718219,0.2,0.0894427190999916,False
U56,0.3,RESPREAD,0.75,M,4,20,0,0.11347604290410576,0.9671606315890836,-0.2184158403060446,13.681000791664127,0.2,0.0894427190999916,False
B136,0.5,RESPREAD,0.75,M,3,20,0,0.11760897845827441,1.0263550672886197,-0.21553624583781988,10.7325373898219,0.15,0.07984359711335656,False
B136,0.4,RESPREAD,0.75,M,3,20,0,0.11469562217859122,0.9943958643404237,-0.21924936405445833,12.20583245801518,0.15,0.07984359711335656,False
B136,0.1,RESPREAD,0.75,M,2,20,0,0.10993574534281744,0.863392041422161,-0.242715349418169,16.58018194803818,0.1,0.0670820393249937,False
U56,0.15,RESPREAD,0.75,M,2,20,0,0.11379365827828111,0.8772015063586197,-0.27324738617437844,15.845129462388673,0.1,0.0670820393249937,False
U56,0.4,RESPREAD,0.95,M,2,20,0,0.14386549629092377,0.9940027857637244,-0.26534198239875695,15.455604875072734,0.1,0.0670820393249937,False
U56,0.3,RESPREAD,0.95,M,1,20,0,0.14372312388505815,0.9688506549742151,-0.2706860047681056,17.29934745809878,0.05,0.04873397172404482,False
U56,0.4,RESPREAD,1.0,M,1,20,0,0.15145795772867707,0.9943646967185291,-0.27783017077430594,16.26143372994359,0.05,0.04873397172404482,False
B136,0.15,RESPREAD,0.75,M,1,20,0,0.10866399556839046,0.8882299796557025,-0.23746370859353885,15.89866597577523,0.05,0.04873397172404482,False
B136,0.05,RESPREAD,0.75,M,1,20,0,0.1054466433175951,0.762968459047787,-0.2826701549783852,17.30938049303211,0.05,0.04873397172404482,False
U56,0.5,RESPREAD,0.95,M,1,20,0,0.14801645906123445,1.037097291077234,-0.2521703610016692,13.51031499301937,0.05,0.04873397172404482,False
U56,0.9,DEGROSS,0.95,M,1,20,0,0.14111839237518162,1.1340425336187703,-0.2086370472241208,5.393866186631727,0.05,0.04873397172404482,False
U56,0.5,RESPREAD,1.0,M,1,20,0,0.15587578400515995,1.0374108602529026,-0.264082243442227,14.213114975741743,0.05,0.04873397172404482,False
U56,0.3,RESPREAD,1.0,M,1,20,0,0.15127282109578793,0.969266096062535,-0.28338505575716716,18.202305337262995,0.05,0.04873397172404482,False
