panel,estimator,S,bias,bias_net,sd,mc_se,D_200
B136,mean,5,0.0003515257214385392,0.0,0.06001958038830756,0.0013420786172926892,-0.07202247617349104
B136,mean,10,-0.00014679813326868665,0.0,0.04199426334609905,0.0009390202750690525,-0.07202247617349104
B136,mean,20,-5.806588812118952e-05,0.0,0.029382278669799308,0.0006570077243951334,-0.07202247617349104
B136,mean,50,-0.00021419126447986178,0.0,0.016856465963347066,0.0003769220375445552,-0.07202247617349104
B136,mean,100,4.4262943178095586e-05,0.0,0.009693918923342452,0.00021676261680965295,-0.07202247617349104
B136,mean,200,0.0,0.0,0.0,0.0,-0.07202247617349104
B136,median,5,-0.0034227060468348266,-0.003774231768273366,0.07306201401944235,0.0016337162992051573,-0.06630243213423832
B136,median,10,-0.003009059593424901,-0.0028622614601562144,0.05022644071329808,0.0011230973570279753,-0.06630243213423832
B136,median,20,-0.0027284302845425094,-0.0026703643964213195,0.0359043065388343,0.000802844701058237,-0.06630243213423832
B136,median,50,-0.002293484089341972,-0.0020792928248621104,0.0207031072216038,0.0004629355509297289,-0.06630243213423832
B136,median,100,-0.0015093354940997929,-0.0015535984372778884,0.01192443059595266,0.0002666383740552847,-0.06630243213423832
B136,median,200,0.0,0.0,0.0,0.0,-0.06630243213423832
B136,trimmed10,5,-0.0013812765930623638,-0.001732802314500903,0.06001958038830756,0.0013420786172926892,-0.07028967385899014
B136,trimmed10,10,-0.0005883273588509265,-0.0004415292255822399,0.043262089740977124,0.0009673697350952112,-0.07028967385899014
B136,trimmed10,20,-0.000460382316395522,-0.00040231642827433245,0.03048040306251566,0.0006815625322937778,-0.07028967385899014
B136,trimmed10,50,-0.0003825320638040433,-0.00016834079932418153,0.01743019948303715,0.0003897511090545276,-0.07028967385899014
B136,trimmed10,100,-5.1183256339927076e-05,-9.544619951802266e-05,0.010011332820451723,0.00022386020731904747,-0.07028967385899014
B136,trimmed10,200,0.0,0.0,0.0,0.0,-0.07028967385899014
SMALL,mean,5,-0.0006369143066734991,0.0,0.0916496091654931,0.002049347562053303,-0.12289906866426542
SMALL,mean,10,0.0011146748804544578,0.0,0.06424988728054497,0.0014366711550599764,-0.12289906866426542
SMALL,mean,20,-0.0001567541649381878,0.0,0.04398958130634159,0.0009836369410273378,-0.12289906866426542
SMALL,mean,50,-0.00029044361858295703,0.0,0.025137197465859778,0.0005620848229749791,-0.12289906866426542
SMALL,mean,100,9.605373193563582e-05,0.0,0.014557883668323246,0.0003255241749090478,-0.12289906866426542
SMALL,mean,200,0.0,0.0,0.0,0.0,-0.12289906866426542
SMALL,median,5,-0.00641087398247174,-0.0057739596757982415,0.1086945641863839,0.002430484343054685,-0.11276515705392968
SMALL,median,10,-0.0021956565017198664,-0.0033103313821743244,0.07402221941176766,0.0016551871445011697,-0.11276515705392968
SMALL,median,20,-0.002470990787530656,-0.002314236622592468,0.05156810485989207,0.0011530978793755592,-0.11276515705392968
SMALL,median,50,-0.0017283510847012906,-0.0014379074661183336,0.030274293312041716,0.0006769537781649251,-0.11276515705392968
SMALL,median,100,-0.0015071798168775328,-0.0016032335488131687,0.017479553411917235,0.00039085469645385324,-0.11276515705392968
SMALL,median,200,0.0,0.0,0.0,0.0,-0.11276515705392968
SMALL,trimmed10,5,-0.004155794255478994,-0.003518879948805495,0.0916496091654931,0.002049347562053303,-0.11938018871545991
SMALL,trimmed10,10,0.00033812235713522504,-0.0007765525233192327,0.06602165918253336,0.001476289179194678,-0.11938018871545991
SMALL,trimmed10,20,-0.00029187688097023307,-0.00013512271603204526,0.0451532514485182,0.0010096573964402753,-0.11938018871545991
SMALL,trimmed10,50,-0.00031718562346094253,-2.6742004877985486e-05,0.025680149775313226,0.0005742256056997632,-0.11938018871545991
SMALL,trimmed10,100,6.733057397720575e-05,-2.8723157958430074e-05,0.015020853658517457,0.0003358764986052145,-0.11938018871545991
SMALL,trimmed10,200,0.0,0.0,0.0,0.0,-0.11938018871545991
U56,mean,5,7.450196267011048e-05,0.0,0.054666313263444836,0.0012223759253636101,-0.06735941587035622
U56,mean,10,-0.000555424890039475,0.0,0.037965734028411184,0.0008489396210320433,-0.06735941587035622
