CLAIM_SET,BOUND,N_SATURATED,RE_EXPRESSIBLE,UNCHECKABLE_NO_K,share_uncheckable,N_MOVED,median_move,max_move,FLOOR_LEFT_UNREPAIRED
C_STRICT,B_POINT,31,21,10,0.3225806451612903,0,0.0,0.0,0
C_STRICT,B_ONE,31,21,10,0.3225806451612903,21,0.0014858841010401136,0.11111111111111116,6
C_STRICT,B_TWO,31,21,10,0.3225806451612903,21,0.0014858841010401136,0.11111111111111116,0
C_STRICT,B_CP,31,21,10,0.3225806451612903,21,0.004448013088078628,0.31234397806636793,6
C_PROX,B_POINT,31,21,10,0.3225806451612903,0,0.0,0.0,0
C_PROX,B_ONE,31,21,10,0.3225806451612903,21,0.0014858841010401136,0.11111111111111116,6
C_PROX,B_TWO,31,21,10,0.3225806451612903,21,0.0014858841010401136,0.11111111111111116,0
C_PROX,B_CP,31,21,10,0.3225806451612903,21,0.004448013088078628,0.31234397806636793,6
C_ALL,B_POINT,43,22,21,0.4883720930232558,0,0.0,0.0,0
C_ALL,B_ONE,43,22,21,0.4883720930232558,22,0.0014858841010401136,0.11111111111111116,6
C_ALL,B_TWO,43,22,21,0.4883720930232558,22,0.0014858841010401136,0.11111111111111116,0
C_ALL,B_CP,43,22,21,0.4883720930232558,22,0.004448013088078628,0.31234397806636793,6
