rule,m_max,n,abs_pass,rel_pass,flips_to_pass,flips_to_fail
ddctl-abs-8/recover,1.0,18,1,1,0,0
ddctl-abs-8/recover,1.3,18,5,6,1,0
ddctl-abs-8/high,1.0,18,0,0,0,0
ddctl-abs-8/high,1.3,18,3,1,0,2
ebud-abs-0.10,1.0,18,4,4,0,0
ebud-abs-0.10,1.3,18,4,4,0,0
ebud-abs-0.20,1.0,18,5,5,0,0
ebud-abs-0.20,1.3,18,5,5,0,0
