CLAIM_SET,NO_EFFECT_RULE,checkable,FAILS,FAILS_share,FAILS_VACUOUS,FAILS_IN_DOMAIN,FAILS_IND_CARRIED,FAILS_IND_NO_VERDICT,median_inflation
C_STRICT,R_MIN,96,39,0.40625,31,8,4,2,1.8998723242597495
C_STRICT,R_MAX,96,19,0.19791666666666666,16,3,2,0,1.8998723242597495
C_STRICT,R_BAND,96,38,0.3958333333333333,30,8,4,2,1.8998723242597495
C_PROX,R_MIN,129,46,0.35658914728682173,36,10,5,3,1.5827348717741971
C_PROX,R_MAX,129,23,0.17829457364341086,19,4,3,0,1.5827348717741971
C_PROX,R_BAND,129,45,0.3488372093023256,35,10,5,3,1.5827348717741971
C_ALL,R_MIN,129,46,0.35658914728682173,36,10,5,3,1.5827348717741971
C_ALL,R_MAX,129,23,0.17829457364341086,19,4,3,0,1.5827348717741971
C_ALL,R_BAND,129,45,0.3488372093023256,35,10,5,3,1.5827348717741971
